sac of skin that hangs 129
sad at heart and full 79
sad if those had been 63
sad in seeing our best 48
sad it made her feel 43
sad my life has been 61
sad to find that there 50
sad to have him away 91
sad to know that many 58
sad to know that some 55
sad to know that there 68
sad to note that even 171
sad to note that many 116
sad to note that most 136
sad to note that only 86
sad to note that some 123
sad to note that there 77
sad to note that when 49
sad to think how many 601
sad to think how much 1264
sad to think how soon 80
sad to think she must 89
sad to think that even 379
sad to think that many 168
sad to think that most 148
sad to think that nothing 43
sad to think that only 107
sad to think that poor 43
sad to think that some 138
sad to think that such 950
sad to think that their 99
sad to think that there 445
sad to think that these 349
sad to think that those 97
sad to think that what 86
sad to think that when 153
sang it loud and clear 48
sang it over and over 2318
sang no less than three 41
sang of beck and tarn 42
sang of love and wine 133
sang of their old wars 44
sang the hymn with great 63
sang the same song over 120
sang the theme song from 83
sang the tune that rose 48
sang to keep off evil 44
sang to their own tune 43
sap to rise and break 46
sat an hour with lord 42
sat at home and knew 79
sat at home and made 47
sat at home and spun 40
sat at home doing nothing 74
sat at home with their 41
sat in what had been 177
sat in what had once 63
sat me down and gave 387
sat me down and made 119
sat me down and said 1293
sat me down and told 1266
sat me down and took 55
sat me down and went 63
sat me down and wept 62
sat on deck and gave 56
sat on till his eyes 60
sat on till long past 67
sat on till she fell 50
sat on what was left 69
sat so late that when 50
sat the good old dame 92
sat the young man down 46
sat up late and made 53
sat up late and rose 99
sat up more than half 44
sat up till long past 50
sat up when she heard 103
sat us down and gave 90
sat us down and said 207
sat us down and told 218
saw an aged man upon 83
saw an angel who said 45
saw an angel who told 58
saw an ugly man look 59
saw as their own best 43
saw at last that there 160
saw at last that these 42
saw at least one other 52
saw at least two more 88
saw at least two other 48
saw at once how great 52
saw at once how much 594
saw at once how well 84
saw at once not only 44
saw at once that even 83
saw at once that here 577
saw at once that hers 112
saw at once that john 40
saw at once that many 72
saw at once that miss 128
saw at once that none 55
saw at once that nothing 310
saw at once that only 212
saw at once that some 278
saw at once that such 630
saw at once that their 401
saw at once that there 5224
saw at once that these 452
saw at once that those 62
saw at once that what 491
saw at once they were 296
saw at once with what 244
