sacred and secular has been 45
saddle with weakness and pain 69
safety and brought them back 54
sailed for america with their 48
saints and martyrs and other 51
saints and martyrs are made 72
saints and martyrs had been 93
saints and martyrs that have 66
saints and martyrs who have 304
saints and martyrs who were 100
saints and mystics who have 62
saints and sinners who have 73
sample are weighed out into 65
sampling was carried out along 105
sampling was carried out during 273
sampling was carried out from 185
sampling was carried out over 55
saplings and covered with bark 41
savory and pleasant that ever 84
scales are smaller than those 103
scales that covered its body 50
scales that overlap each other 103
scarce any penance they will 51
scarce see occasion for adding 53
scenes and fancies are many 55
scenes are notable for their 56
scenes hath occasion for many 48
scheme for effecting that union 42
scheme for extending his stay 111
scheme was adopted with very 251
scheme was devised for bringing 71
scheme was finally put into 45
school and brought her home 77
school and brought him home 141
school and brought them back 47
school and college age were 40
school and college age young 63
school and college age youth 171
school and college and even 49
school and college and have 68
school and college and into 83
school and college are full 67
school and college are much 42
school and college can give 107
school and college going boys 54
school and college had been 114
school and college has been 176
school and college who have 51
school are visited not just 80
school had parents who were 51
school was replete with more 234
scored one hundred per cent 104
scouts had brought him word 49
scraps that crumble all away 73
screen for alcohol and drug 46
screen for alcohol and other 144
seaport and secured his berth 41
searching for answers that were 46
searching for insects and other 59
searching for objects that have 43
searching for purpose and meaning 110
searching for records that meet 43
searching his pockets for some 47
second day brought them into 134
second set receive and test 43
second they entered they were 51
second was brought him from 68
secret that concern has been 96
section one hundred and five 413
section one hundred and four 933
section one hundred and nine 376
section one hundred and three 308
section that follows for more 55
section that follows you will 43
section two hundred and five 127
section two hundred and four 59
section two hundred and nine 80
section two hundred and three 238
sector may account for only 44
secure new markets for their 42
secure one hundred per cent 121
seemed both natural and just 44
seemed now certain that their 51
seemed one impulse that made 48
seemed that everything had been 452
seemed that everything had gone 69
seemed that everything was done 47
seemed that everything was lost 129
seemed that everything was over 108
seized and brought him back 46
seized and carried her away 42
seized and carried off from 184
seized and carried off into 197
seized and carried off some 54
seized and carried them away 47
seized and carried them into 55
seized and offered for sale 62
seized her against her will 40
seized with cholera and died 156
seized with concern for their 41
seized with illness and died 165
seldom any occasion for making 50
seldom had leisure for paying 77
select his editors with more 46
senate and consuls with many 46
senate had granted him only 156
senses and muscles are used 58
series are smaller than those 43
series may diverge for other 61
sermon and prayers for good 45
