sea divides this heavenly land 49
so absorbing that everything else 45
so awkward and bashful among 77
so because they advance what 63
so because they believe their 64
so because they refrain from 57
so coveted all worldly pomp 59
so deluded and carried away 70
so distant and removed from 66
so excited and carried away 42
so expired his blessed soul 45
so general and current among 61
so general with savages when 46
so impress his thoughts upon 48
so intense that everything else 140
so ordered and settled upon 84
so quickly and sharply look 91
so steadily and strongly upon 234
so superior that objects seen 89
so upright and sincere will 55
