sat for the entrance exam 99
saw and he ordained other 42
saw fit to exercise their 50
saw for the hundredth time 63
saw him on primrose hill 80
saw how the children were 54
saw that he believed what 41
saw that he expected none 66
saw that he remarked what 83
saw that he suffered from 49
saw that it emanated from 47
saw that the american flag 50
saw that the austrians were 54
saw that the branches were 49
saw that the children were 778
saw that the citizens were 77
saw that the colonies were 59
saw that the contents were 67
saw that the creatures were 74
saw that the curtains were 191
saw that the disciple whom 92
saw that the egyptians were 55
saw that the europeans were 52
saw that the federals were 48
saw that the horsemen were 44
saw that the interest rate 44
saw that the japanese were 153
saw that the majority were 93
saw that the mexicans were 51
saw that the musicians were 45
saw that the officers were 124
saw that the pictures were 65
saw that the problems were 43
saw that the prussians were 50
saw that the puritans were 69
saw that the servants were 68
saw that the settlers were 45
saw that the shutters were 332
saw that the soldiers were 527
saw that the spaniards were 306
saw that the spartans were 49
saw that the strangers were 99
saw that the struggle must 73
saw that the students were 141
saw that the sunshine came 53
saw that the visitors were 66
saw who the visitors were 46
say but my daughter will 52
say for the beautiful form 65
say for the hundredth time 137
say for the thousandth time 74
say for the twentieth time 40
say for the umpteenth time 56
say that an adequate theory 47
say that an essential part 50
say that an untimely birth 122
say that he actually came 48
say that he believed there 336
say that he believes there 77
say that he believes what 65
say that he declares upon 49
say that he despised those 57
say that he differed from 67
say that he proceeds from 129
say that he returned from 41
say that he revolted from 51
say that he suffered from 173
say that if everyone were 43
say that in missouri there 56
say that in ordinary life 93
say that in practice there 89
say that it contains many 54
say that it contains more 72
say that it contains much 130
say that it contains nothing 99
say that it contains only 51
say that it contains some 139
say that it deflects from 81
say that it depended upon 56
say that it deserves like 40
say that it probably will 57
say that it proceeds from 150
say that it requires more 140
say that it resulted from 109
say that it sustains such 151
say that no attempts have 48
say that the accident brings 113
say that the allusions just 45
say that the american army 40
say that the american city 47
say that the american dream 55
say that the ancients were 163
say that the apostles were 351
say that the argument from 122
say that the articles were 43
say that the atlantic ocean 66
say that the brilliant work 44
say that the catholics have 46
say that the catholics were 64
say that the children have 171
say that the children must 96
say that the children were 412
say that the children will 81
say that the christian faith 270
say that the christian life 209
say that the christian must 66
say that the christian view 73
say that the churches have 83
say that the churches were 70
say that the classics were 46
say that the colonies were 134
say that the computer will 63
say that the conscious mind 89
say that the conscious work 41
say that the contract must 43
say that the contract will 55
say that the cripples went 50
say that the crusades were 40
say that the decisions were 40
say that the delivery must 46
say that the distance from 334
say that the dominant note 48
say that the egyptians were 126
say that the elections were 105
say that the elections will 63
say that the employer must 60
say that the essential part 66
say that the europeans have 41
say that the europeans were 45
say that the evidence from 126
say that the evidence here 42
say that the evidence must 43
say that the happiest days 53
say that the happiest years 40
say that the historian must 54
say that the horrible dread 122
say that the hydrogen atom 131
say that the inflation rate 54
say that the interest rate 274
say that the internet will 45
say that the japanese have 344
say that the japanese were 299
say that the liberals were 49
say that the linguistic sign 43
say that the literary work 66
say that the majority have 103
say that the majority were 146
say that the majority will 50
say that the marginal cost 165
say that the marginal rate 105
say that the marshall plan 80
say that the mexicans were 42
say that the minister will 41
say that the movement from 105
say that the murderer must 46
say that the officers were 118
say that the officials were 42
say that the ordinary meaning 85
say that the original home 42
say that the original meaning 49
say that the original name 44
say that the original plan 67
say that the original text 40
say that the pastoral life 44
say that the patients have 40
say that the physical body 103
say that the pictures have 46
say that the pictures were 48
say that the prevailing view 45
say that the problems have 58
say that the problems were 109
say that the progress made 118
say that the prophets were 109
say that the puritans were 66
say that the questions were 72
say that the religious life 127
say that the salvation army 87
say that the settlers were 48
say that the situation here 59
say that the situation there 121
say that the situation will 111
say that the soldiers were 206
say that the spaniards have 94
say that the spaniards were 121
say that the spartans were 93
say that the specific evil 89
say that the straight line 210
say that the struggle will 63
say that the students have 76
