sad office of handing you 117
sad plight in which they 42
sang pieces of music with 57
sat across the aisle and 148
sat across the aisle with 42
sat across the table and 456
sat across the table with 146
sat around the fires and 54
sat around the house all 216
sat around the house and 220
sat around the house for 138
sat around the house with 48
sat around the stove and 172
sat around the table and 2004
sat around the table eating 621
sat around the table for 417
sat around the table that 263
sat around the table with 851
sat before the table and 50
sat behind the pilot and 64
sat behind the table and 125
sat behind the table with 58
sat behind the wheel and 967
sat behind the wheel for 445
sat behind the wheel with 251
sat beside my mother and 51
sat beside the river and 55
sat beside the stove and 56
sat beside the stream and 46
sat beside the table and 74
sat beside the table with 52
sat gently on cheek and 56
sat through the first act 163
sat through the first two 50
sat through the meeting with 53
sat through the night and 94
sat through the night with 128
saw across the lobby she 68
saw around me every day 52
saw before the reason why 58
saw clearly it could not 56
saw clearly the danger that 111
saw clearly the folly and 83
saw clearly the reason for 40
saw clouds of smoke and 56
saw combat in world war 374
saw crowds of people and 53
saw crowds of people going 41
saw enough of abuse and 41
saw enough to cause her 47
saw flocks of sheep and 81
saw hordes of armed men 71
saw hugged up under his 40
saw indeed the light and 60
saw myself as others saw 45
saw plenty of action and 47
saw seemed to please him 40
saw something he could not 175
saw something of girls with 51
saw something we could not 64
saw through the glass that 99
saw through the gloom that 40
saw through the leaves that 43
saw through the lower jaw 48
saw through the press and 54
saw through the press for 47
saw through the press his 118
saw through the shams and 46
saw through the smoke and 61
saw through the smoke that 134
saw through the trees that 152
saw through the trick and 508
saw twenty or thirty men 95
saw visions of angels and 41
say before he opens his 62
say loudly to every man 43
say should be taken with 42
say something he could not 142
say something he ought not 45
say something he would not 64
say something in reply but 64
say something to cheer her 91
say something to cheer him 110
say something to sober him 73
say something to soothe her 55
say something to upset her 69
say something to upset him 54
say something to upset you 637
say something to which she 54
say touching the signs and 56
say whence the lines are 53
say whether he might not 63
say whether he thinks that 92
say whether he would not 74
say whether it might not 117
say whether it would not 370
say whether the author was 71
say whether the child was 79
say whether the house was 50
say whether the money was 40
say whether the reason for 45
say whether the woman was 57
say whether the words are 80
seat across the aisle and 185
seat across the aisle was 94
seat across the table and 52
seat before he could get 53
seat before we could see 49
seat behind the bench and 48
seat behind the pilot and 137
seat behind the table and 61
seat behind the wheel and 184
seat myself to write you 257
seat whence he could see 90
see across the parking lot 50
see across the river and 64
see anyone or anything that 191
see around me every day 98
see around us every day 1483
see around us today are 47
see before me order and 48
see before the winds how 65
see before the world did 43
see better at night than 751
see better by night than 352
see boston in ashes than 83
see canada the right arm 55
see christ in every man 49
see clearly the reason for 119
see clearly the reason why 130
see combat in world war 241
see enough to prove that 40
see faults in others than 49
see flocks of sheep and 61
see ghosts in broad day 67
see inside the black box 41
see issues in black and 95
see itself as others see 235
see little to cheer him 64
see myself as anything but 54
see myself as others saw 163
see myself as others see 1366
see myself at fifty with 49
see myself in heaven and 167
see neither the enemy nor 76
see plenty of people who 96
see sheets of paper with 105
see sights the whole day 79
see something he could not 72
see something we could not 71
see sooner or later that 106
see through the ceiling and 42
see through the crack that 41
see through the crowd and 230
see through the dense fog 69
see through the drift and 43
see through the dusky sky 65
see through the glass and 86
see through the glass that 262
see through the gloom and 43
see through the gloom that 40
see through the mists and 50
see through the mists that 40
see through the press his 66
see through the shams and 45
see through the smoke and 411
see through the smoke that 228
see through the trees and 149
see through the trees that 205
see through the trick and 61
see through the trick that 90
see through the walls and 121
see through the whims and 51
see through the woods that 45
see through the words and 46
see traces of norma jean 69
see twenty or thirty lie 71
see twenty or thirty men 58
see undone in egypt all 107
see visions of angels and 65
see whence it comes and 72
see whether an error has 46
see whether he could bring 111
see whether he could get 658
see whether he could hear 61
see whether he could not 2065
see whether he could put 80
see whether he could read 47
see whether he could see 98
see whether he could use 52
see whether he might not 577
see whether he really was 92
see whether he still had 79
see whether he would get 70
see whether he would heal 420
see whether he would not 381
see whether he would say 86
see whether it comes out 146
see whether it could not 294
see whether it helps you 181
see whether it makes any 116
see whether it might not 700
see whether it really does 128
see whether it really was 199
see whether it throws any 70
see whether it turns out 45
see whether it wants them 40
see whether it works for 121
see whether it would bear 43
see whether it would fit 95
see whether it would not 676
see whether it would pay 69
see whether the author has 144
see whether the cause thus 69
see whether the change was 48
see whether the child can 137
see whether the child had 40
see whether the child has 126
see whether the child was 147
see whether the class can 79
see whether the coast was 166
see whether the devil and 54
see whether the enemy had 78
see whether the enemy was 117
see whether the facts are 53
see whether the facts bear 49
see whether the fault was 60
see whether the goals are 43
see whether the house was 54
see whether the light had 48
see whether the model can 72
see whether the money was 52
see whether the noise had 77
see whether the others are 114
see whether the others had 51
see whether the parts can 97
see whether the people are 123
see whether the people had 46
see whether the people who 60
see whether the place was 46
see whether the roots are 65
see whether the seeds are 48
see whether the train was 57
see whether the vines had 55
see whether the water had 129
see whether the water has 49
see whether the water was 110
see whether the white man 51
see whether the woman was 63
see whether the world was 99
see whether the worms had 78
see whether we could get 340
see whether we could not 859
see whether we could use 58
see whether we might not 91
see whether we shall not 128
see whither it would lead 55
see without my telling you 48
set afloat the notion that 226
set amount of money and 243
set amount of money each 231
set amount of money for 802
set amount of money per 267
set amount of money that 226
set around the edges and 55
set around the edges but 109
set before me under that 57
set before me water and 79
set before the civil war 198
set before the people and 96
set before the reader are 80
set before the reader with 122
set before the world for 40
set before us every day 43
set behind the hills and 87
set behind the people who 66
set behind the trees and 40
set beyond the river and 48
set events in motion and 49
set events in motion that 468
set forces in motion that 963
set higher or lower than 112
set itself in motion and 126
set itself in motion with 53
set itself to carry out 47
set limits to change and 44
set myself in writing this 53
set myself to carry out 54
set myself to drive that 87
set myself to study how 122
set myself to study them 73
set myself to watch for 40
set myself to watch them 99
set number of hours and 205
set number of hours each 249
set number of hours for 92
set number of hours per 800
set number of times and 121
set number of times each 73
set number of times per 200
set number of walks and 78
set prices at which they 42
set something in motion and 113
set something in motion that 293
set speech of thanks for 50
set wheels in motion for 107
set wheels in motion that 143
sex created to please and 130
sex organs of males and 78
sex should be saved for 77
she agreed to allow her 49
she agreed to allow him 84
she agreed to carry out 52
she agreed to change her 72
she agreed to dance with 76
she agreed to elope with 68
she agreed to limit her 60
she agreed to marry her 72
she agreed to marry him 2614
she agreed to marry you 102
she agreed to share her 54
she agreed to sleep with 98
she agrees to elope with 77
she agrees to marry her 63
she agrees to marry him 944
she agrees to marry you 52
she agrees to sleep with 63
she appears to agree with 59
she argued the point with 59
she backed up until she 104
she became an adult and 118
she became an adult she 41
she became an agent for 51
she became so dizzy that 139
she became so moved that 60
she became so rigid all 71
she became so tired that 71
she became so upset that 381
she became the first and 176
she became the first dean 57
she became the first head 94
she became the first non 101
she became the leader and 48
she became the model for 137
she became the woman she 51
she begged he would not 120
