sag with doubt nor shake 232
sang and acted not amiss 101
sang and wrote with taste 52
sang them again and again 46
sang with taste and feeling 165
sap for syrup and sugar 92
sat and cried and cried 78
sat and mused and drank 41
sat and stood and knelt 48
sat day after day under 58
sat for about two hours 190
sat for hours and hours 288
sat for nearly two hours 197
sat his father and mother 46
sat that evening all alone 46
sat with bowed head while 42
saw and spread her apron 114
saw any cause for alarm 49
saw any reason for calling 41
saw both large and small 43
saw but could not avoid 65
saw her about two months 46
saw her after that night 62
saw her again and again 176
saw her again she would 64
saw her again that evening 112
saw her again that night 51
saw her again this morning 114
saw her clasp her hands 124
saw her cross her knife 60
saw her father and mother 883
saw her mother and began 57
saw her mother and father 1096
saw her mount her horse 44
saw her nursing his child 51
saw her raise her hands 56
saw her rolling and tossing 43
saw her since that night 55
saw him about six months 44
saw him about two hours 86
saw him about two weeks 56
saw him after that night 179
saw him after they found 128
saw him again and again 519
saw him again and asked 64
saw him again and found 42
saw him again and never 108
saw him again she would 169
saw him again that evening 115
saw him again that night 111
saw him again this morning 363
saw him check his watch 70
saw him clasp his hands 115
saw him click his heels 57
saw him enter his house 63
saw him every day after 42
saw him every day while 45
saw him grave and uneasy 116
saw him healthy and never 48
saw him later that evening 91
saw him later that night 61
saw him licking his hands 45
saw him mount his horse 319
saw him pouring his awful 54
saw him raise his hands 195
saw him raise his rifle 115
saw him raise his right 71
saw him sitting all alone 51
saw him sitting all naked 41
saw his father and mother 1655
saw his glory and spake 333
saw his glory and spoke 378
saw his mother and david 45
saw his mother and father 1328
saw his mother and uncle 40
saw his trunk and limbs 95
saw how easily she could 51
saw how easily they could 93
saw how fatal this would 53
saw that alice was bound 45
saw that blood was flowing 151
saw that blood was pouring 106
saw that blood was running 64
saw that jacob was still 53
saw that night was falling 43
saw that noble and worthy 99
saw that pedro was reeking 42
saw them again and again 119
saw they could not avoid 46
saw they could not carry 54
saw they could not catch 46
saw they could not force 45
saw they could not stand 56
saw this again and again 60
saw you cross that river 45
say all which you ought 59
say but could not quite 49
say his father and mother 68
say his mother had lived 80
say his place was aloof 44
say our bones are dried 46
say she could not abide 91
say she could not marry 49
say she could not sleep 44
say she could not stand 93
say she knows all about 79
say she would not marry 67
say that after six months 42
say that again and again 866
say that again you shall 41
say that black and white 288
say that black was white 126
say that civil war would 43
say that either song would 54
say that esther has never 48
say that every being which 40
say that every man makes 62
say that every man might 117
say that every man ought 325
say that every man shall 253
say that every one knows 120
say that every one ought 90
say that every one thinks 41
say that father and mother 56
say that flesh and blood 61
say that greek and latin 106
say that greek and roman 84
say that learning has taken 102
