sack the richest city upon 56
said he doubted very much 197
said in hanover once more 43
said in perfect good faith 43
said it sounded just like 173
said it sounded more like 303
said the germans were coming 61
said the haughty young lord 49
said the unhappy young lady 51
said to conduce very much 164
said to consume more beef 75
said to contain more iron 40
said to contain some good 48
said to contain some rare 61
said to contain some very 53
said to himself once more 191
said to possess free will 51
said to prevail among some 51
said to produce very good 40
said to recover soon from 99
said to solicit help from 52
said to sparkle some time 47
sail of madeira there came 124
sake of borrowing from those 67
sake of brevity these will 41
sake of mankind many more 48
sake of utility part when 62
sale of produce from their 99
sale or exchange giving rise 51
salt va teaspoon baking soda 91
salt vi teaspoon baking soda 280
same be divided into four 63
same is equally true when 46
same is evident also from 170
same is evident from what 47
same is largely true also 55
same is perhaps even more 59
same thing applies even more 44
same thing follows from their 61
same thing happens when there 133
save in defense will draw 83
save my country from ruin 156
save the british army from 40
save the company from ruin 238
save the country from great 41
save the country from ruin 2407
save the country from some 82
save the country from such 312
save the country from their 48
save the country from these 159
save the country from what 165
save the egyptian third army 144
save the lawless among their 56
save the national debt from 52
save the patient from having 50
save the patient from much 112
save the patient much pain 45
save the precious seed from 65
save the student much time 51
save the workmen from their 74
saving the country from ruin 165
saving the country from what 55
saying the plotter once more 125
seats in congress from such 327
seats of flowery turf were 153
sect is divided into three 48
seeing an officer ride upon 43
seeing my admirer once more 61
seeing the alliance move away 43
seeing the british flag flying 67
seeing the carriage coming back 51
seeing the edifice grow more 64
seek an advance ruling from 49
seek an increase from your 61
seek the emperor once more 48
seek to achieve their aims 214
seek to achieve their ends 217
seek to achieve their goal 48
seek to achieve these aims 104
seek to achieve these ends 83
seek to benefit from their 66
seek to convert those poor 55
seek to destroy your soul 54
seek to enhance their self 186
seek to explain away their 41
seek to express their love 42
seek to impress upon their 56
seek to improve their health 50
seek to improve their living 103
seek to improve their work 85
seek to increase their wealth 112
seek to protect their jobs 46
seek to recover their lost 88
seek to satisfy their need 63
seem so totally free from 99
seem to account very well 44
seem to believe very much 195
seem to benefit from having 62
seem to benefit from such 140
seem to benefit from their 136
seem to benefit from these 78
seem to benefit less from 55
seem to benefit more from 471
seem to benefit most from 472
seem to benefit much from 83
seem to command their fate 73
seem to contain much more 118
seem to crumble away like 139
seem to deserve much more 45
seem to detract from their 160
seem to develop over time 93
