safe keeping in some bank 41
safe place in those days 59
safe place in your home 139
safe place in your mind 60
safe place to call home 73
safe place to give birth 123
safe place to hide from 234
safe place to keep their 202
safe place to keep your 169
safe place to leave their 114
safe place to leave your 62
safe place to make camp 41
safe place to park your 49
safe place to pull over 190
safe under the same roof 59
safe until the next time 62
safe until the time came 43
safe which it will make 123
saga seems to have been 105
said about me were true 45
said about the last days 45
said about the last time 105
said about the many other 50
said about the other side 144
said about the other three 94
said about the same time 264
said about the time when 95
said about the work done 52
said above to have been 65
said after he came back 42
said anything to hurt your 147
said canal if such ship 68
said canal to lake erie 63
said could he have seen 124
said court of rome most 56
said court to make such 44
said either to have been 160
said first to have been 570
said first to have made 86
said first to have seen 42
said holding the door open 71
said jesus to those jews 1110
said later to have been 138
said might as well have 46
said money or fund from 71
said motion in such sort 46
said never to have been 2940
said never to have come 79
said never to have died 57
said never to have done 56
said never to have gone 104
said never to have heard 49
said never to have left 296
said never to have lost 219
said never to have made 137
said never to have paid 67
said never to have seen 247
said never to have sunk 166
said never to have used 85
said never to have worn 97
said often to have been 128
said ought to have been 334
said period of five days 55
said period of five years 1664
said period of four years 307
said period of three years 705
said rather to have been 195
said really to have been 53
said seems to have been 125
said slave by such means 83
said still to have been 67
said tract of land from 61
said tract of land unto 123
said tract of land upon 92
said where he came from 67
said where it came from 57
said women of high rank 108
said would do very well 47
sail about the same time 311
sail could be seen from 79
sail seems to have been 122
sail under the same flag 102
sail until we were well 158
sake seems to have been 42
sake shall be made rich 78
sale could be made only 46
sale ought to have been 57
sale price of your home 75
sale seems to have been 250
sale shall be made good 53
sale shall be made only 55
sale shall be made upon 79
sale shall be paid into 607
sale shall be paid over 441
sale shall be upon such 63
salt below the root zone 52
salt nearly an inch thick 49
salt seems to have been 164
salt spray in your face 211
salt spray on your face 41
salt until no more will 81
salt water at high tide 491
salt water in their eyes 177
salt water is very much 47
salt water to flow into 97
same appear to have been 72
same appear to have made 55
same author to have been 109
same basis as their male 45
same basis as those from 140
same brand the next time 46
same breed of dogs fast 50
same claim if there were 46
same class as those from 71
same class as those held 101
same class as those just 112
same class as those used 84
same class in bringing back 75
same color as your eyes 230
same color as your hair 259
same could be said also 117
same could be said even 81
same could be said when 139
same daily in their heads 41
same depths as those from 55
same error is made when 47
same evening the poor soul 55
same facts as those used 51
same feeling of dread over 80
same field of view will 108
same footing as other free 69
same footing as other work 88
same footing as those from 64
same footing as those other 41
same force as must have 50
same force as other laws 52
same forms as those used 80
same frame of mind when 92
same gifts to their gods 49
same goods in their home 55
same headings as those used 70
same image is also used 41
same issue of young india 55
same lapse of time from 44
same level as many other 42
same level as their male 169
same level as their more 47
same level as those from 82
same level as those paid 75
same level as your heart 42
same level of health care 229
same lines as have been 160
same lines as laid down 193
same lines as many other 62
same lines as those along 41
same lines as those just 184
same lines as those laid 272
same lines as those made 56
same lines as those upon 102
same lines as those used 482
same magic as made these 67
same meanings as when used 87
same method is also used 265
same method is used here 57
same method is used when 197
same method to some other 61
same method we have used 62
same might be heard when 42
same might be said also 149
same might be said even 66
same might be true also 42
same model is also used 62
same names as those used 96
same night he said unto 45
same night the five young 70
same night the land army 42
same night the lord said 66
same notion in their heads 43
same order as those dealt 113
same order as those from 115
same order as those made 75
same order as those seen 62
same order as those used 171
same order or even less 47
same ought to have been 1050
same ought to hold good 69
same ounce of gold here 87
same people to whom lord 64
same people we once were 55
same people we were when 130
same period in other years 47
same period is even more 93
same period it rose from 50
same period of five years 242
same period of four years 157
same period of life when 94
same period of nine years 44
same period of three years 165
same period of time also 66
same period of time during 208
same period of time from 356
same period of time have 124
same period of time many 41
same period of time must 68
same period of time only 60
same period of time other 50
same period of time over 53
same period of time there 856
same period of time were 190
same period of time when 374
same period of time will 180
same period the birth rate 107
same period the cape boers 46
same period we also find 47
same period we also have 49
same period we have also 56
same period we have been 64
same period we have seen 163
same piece of land during 68
same piece of land from 76
same piece of land over 44
same piece of land will 66
same piece of work many 50
same place as last time 486
same place in three days 78
same place in your heart 45
same place the next time 54
same place the same pain 52
same point in mind when 124
same point in their life 156
same point in time during 74
same point in time when 80
same point is also made 407
same point is even more 85
same point is made clear 54
same point is made even 170
same point is made from 63
same point is made more 642
same point is made when 129
same point of time there 44
same point of view also 51
same point of view blue 305
same point of view even 41
same point of view from 393
same point of view more 114
same point of view must 94
same point of view when 424
same point of view will 120
same power in these very 61
same power of making rain 47
same power to give life 75
same power to make laws 49
same price of food there 65
same price or even less 44
same pride in their work 105
same rates as those paid 94
same rates as were paid 42
same reason as many other 42
same reason as those upon 250
same reason he took much 55
same reason it will also 46
same reason so many other 45
same reason to rely upon 132
same reason we have also 58
same reason we have been 47
same reason we must also 50
same reason we pass over 42
same right of dating from 60
same right of earning their 463
same right to have their 102
same right to make laws 49
same right to take part 40
same rules as have been 90
same rules as laid down 41
same rules as those laid 74
same rules as those used 181
same scale at same time 91
same seems to have been 1815
same seems to have held 44
same seems to hold good 154
same seems to hold true 604
same sense as most other 40
same sense as those just 45
same sense as those poor 67
same sense as were those 42
same sense of fair play 79
same sense of having been 76
same shade as their hats 80
same shall at once take 65
same shall be free from 78
same shall be from time 108
same shall be held upon 66
same shall be held void 308
same shall be kept open 109
same shall be kept there 93
same shall be made good 229
same shall be paid from 149
same shall be paid into 469
same shall be paid over 739
same shall be paid when 55
same shall be used only 49
same shall so have been 72
same shape as those from 65
same shape as those made 40
same shape as those used 213
same shape as those worn 84
same since he came back 44
same space of time during 73
same space of time from 84
same space of time have 224
same space of time john 67
same space of time more 46
same space of time there 108
same speed at full load 43
same stage in their life 155
same stage of their life 193
same state as when last 157
same state of mind when 100
same state of mind will 43
same steps as those used 93
same steps as were used 44
same story is also told 244
same story is told also 41
same story is told from 118
same story is told more 62
same story is told over 216
same study to make their 73
same style as those from 47
same style as those made 40
same style as those used 129
same style as those worn 58
same sugar is made into 46
same terms as have been 122
same terms as their male 57
same terms as these were 104
same terms as those from 97
same terms as those laid 44
same terms as those made 139
same terms as those upon 291
same terms as those used 2620
same terms as were used 216
same tests as those used 61
same times the same dull 90
same title as those sent 56
same title in book form 48
same tools as those used 109
same track of life fall 74
same tract of land upon 43
same trail we came down 90
same trait in those most 43
same trend is also seen 77
same trend is even more 51
same troop in many ways 79
same types as have been 45
same types as those from 54
same types as those used 141
same units as those used 513
same units as were used 59
same until the next term 40
same value as those from 52
same views as those held 125
same views on these same 47
same voice he used when 55
same wages as their male 99
same wages as those paid 103
same wages as were paid 83
same water is used over 591
same which in some other 40
same which we call port 50
same which we have been 48
same which we have seen 125
same while the fine arts 45
same within the said last 49
same within the said time 53
same words as those used 608
same words as were used 191
same words in those same 58
same words on their lips 42
same would be even more 57
same would be true also 77
same would be true even 302
same would be true here 44
same would be true were 260
same would be true when 246
same yield if there were 40
sand about an inch thick 159
sand above the high tide 95
sand above the tide line 111
sand seems to have been 137
sand shall be free from 60
sand under my bare feet 66
sand which is free from 53
sand which the next tide 72
sate pulling the thread from 49
save hours or even days 46
save israel by mine hand 391
save money by buying cheap 58
save money by buying from 43
