sad calamity put the jews 77
sad shepherd saw the tall 67
sat opposite and the young 45
sat silently for the rest 45
say concerning them is from 56
say farewell and to know 47
say farewell for the last 91
say otherwise for the joke 59
say whatever can be said 117
say whatever was on their 147
seal schooner with the lazy 53
see appendix for the full 57
see examples all the time 42
see likewise that no length 41
see profusion that he must 316
see somewhat that is very 129
see straight and to think 43
see yourself doing in five 144
see yourself doing the same 98
see yourself that it will 45
see yourself that we have 57
see yourself with the same 50
set blankets for the lama 51
set containing one or more 124
set containing two or more 42
set contains one or more 268
set contains two or more 51
set examples for the rest 69
set includes all the rest 43
set includes one or more 40
set indorses two or more 363
set invitingly near the fire 125
set parallel with the axis 148
set parallel with the line 43
sex education for the young 251
sex hormones are at their 44
sex relations with the wife 55
she abruptly got up from 47
she accepted him at once 53
she accepted them as part 49
she accepted with as much 51
she accepted with the same 40
she accepted you we said 43
she actually had in mind 61
she actually saw the blue 125
she admitted him at once 64
she admitted that the name 41
she affected not to have 64
she affected not to know 103
she answered him at last 75
she answered him at once 62
she answered him in kind 69
she answered him in these 55
she answered that he must 49
she answered that we were 49
she answered with as much 235
she answered with the same 292
she answered with the truth 42
she ascended two or three 103
she beckoned him to come 159
she beckoned him to join 48
she believed all he said 53
she believed for the last 56
she believed him to have 226
she believed that at last 61
she believed that he felt 44
she believed that he meant 59
she believed that he must 92
she believed that he took 41
she believed that if there 43
she believed that in some 46
she believed that in time 53
she believed that it must 52
she believed that the best 94
she believed that the great 53
she believed that the lord 98
she believed that the love 71
she believed that the more 42
she believed that the most 124
she believed that the only 228
she believed that the other 42
she believed that the time 103
she believed that the work 55
she believed that the young 60
she believed was the best 57
she believed was the only 154
she believed was the truth 45
she believes are the most 67
she believes him to have 121
she believes that he will 152
she believes that it will 232
she believes that the best 63
she believes that the most 110
she believes that the only 227
she believes that the other 63
she believes that the soul 72
she besought him to come 120
she besought him to give 65
she besought him to keep 48
she besought him to take 124
she besought them to save 49
she condemns not at once 50
she consoled him by saying 42
she continue long in such 82
she declared that he must 68
she declared that the only 82
she declared that the young 41
she declared was the most 85
she declares that the ending 41
she declined doing by more 74
she demanded that he give 63
she demanded that he leave 82
she demanded that he stop 44
she demanded that he take 65
she demanded that he tell 42
she departed for the south 92
she deprived them of their 47
she despised both the work 48
she directed him to stop 61
she directed him to take 71
she disliked him as much 50
she disliked him so much 340
she disliked him the more 99
she disturbs one of these 49
she enjoined them to flay 51
she entreated god to have 59
she entreated him to calm 40
she entreated him to come 104
she entreated him to keep 68
she entreated him to leave 122
she entreated him to stop 114
she entreated him to take 75
she entreated him to tell 54
she entreated him to wait 60
she entreated them to give 41
she exhorted them to bury 47
she expected her to grow 40
she expected him to call 147
she expected him to come 515
she expected him to deny 40
she expected him to fall 62
she expected him to find 54
she expected him to give 184
she expected him to have 185
she expected him to help 83
she expected him to jump 67
she expected him to keep 102
she expected him to kiss 336
she expected him to know 159
she expected him to leave 147
she expected him to lift 76
she expected him to live 52
she expected him to look 90
she expected him to make 398
she expected him to meet 60
she expected him to mind 48
she expected him to play 47
she expected him to pull 56
she expected him to react 62
she expected him to show 108
she expected him to speak 286
she expected him to stay 80
she expected him to stop 66
she expected him to take 390
she expected him to tell 152
she expected him to turn 121
she expected him to walk 103
she expected him to work 47
she expected them to come 58
she expected them to have 51
she expected them to show 40
she expected them to work 45
she expected you to come 43
she finished off the last 97
she finished with the last 96
she flounced out the door 56
she followed him to rome 75
she followed him to their 61
she grappled with the fact 46
she happened not to have 95
she happened not to like 65
she happened not to love 44
she hastened out to meet 42
she hastened with the least 44
she imagined all the more 62
she imagined him to have 126
she imagined that he must 122
she imagined that it must 54
she imagined that the news 58
she implored him to come 198
she implored him to give 71
she implored him to leave 41
she implored him to pray 62
she implored him to save 44
she implored him to stay 73
she implored him to stop 68
she implored him to take 138
she implored him to tell 101
she informed him of what 145
she informed them of their 43
she insisted that at least 49
she insisted that he call 44
she insisted that he come 168
she insisted that he give 88
she insisted that he have 45
she insisted that he keep 62
she insisted that he leave 79
she insisted that he move 40
she insisted that he must 225
she insisted that he stay 115
she insisted that he take 224
she insisted that he tell 51
she insisted that it must 79
she insisted that the lady 59
she insisted that the only 58
she insisted that the word 49
she insisted that the young 54
she insisted that we come 67
she insisted that we must 78
she insisted that we stay 49
she insisted that we take 73
she intended him to feel 44
she intended not to have 60
she launched him at once 87
she likewise had of late 47
she listened with an eager 47
she listened with the most 223
she listened with the same 48
she observed that he wore 44
she observed that the girl 88
she observed that the same 40
she observed that the young 46
she outshone all the other 48
she overheard two or three 44
she polished off the last 97
she predicts that he will 51
she prepared for the birth 44
she prepared for the next 98
she prepared for the trip 87
she presided with as much 104
she pretends not to care 58
she pretends not to have 59
she pretends not to know 226
she pretends she is used 53
she probably got it from 53
she probably had as much 94
she probably had at least 40
she probably had in mind 145
she probably had no more 115
she probably had the same 50
she probably has in mind 44
she produced for the good 55
