sacred city was being plundered 40
safely treat her with indignity 90
sample size for each population 58
scales came off and glistened 41
scales over all that continent 45
scarce ever had any influence 144
scarce more than one fortnight 51
scarce think but they appertain 84
scenes from his own childhood 50
scenes like that now described 49
scheme there are two objections 207
school must owe its influence 47
school site that has purchased 3355
school there and was graduated 93
school when she was seventeen 107
seasons when they are available 40
second data set was collected 101
second part was not published 131
second play was too different 80
second time with new proposals 49
second very long and thoughtful 45
second wife and her daughters 42
second wife and two daughters 47
second wife had two daughters 44
secret core and his sanctuary 60
secret from all his household 41
secret from all his ministers 77
secure base for his operations 47
seemed best for all concerned 57
seemed like one long nightmare 40
seized from him and suppressing 42
seized prior and his associates 119
seized upon all his substance 40
seldom heard any one commended 203
seldom mingling with its substance 45
seldom seen but with reverence 84
select more than one candidate 43
select more than one character 49
select more than one paragraph 128
select more than one worksheet 85
series data are not available 281
series when they are connected 66
serious joke was his practical 42
served more than one generation 45
served their day and generation 1048
severe loss she had sustained 61
severe loss they had sustained 109
severe skin and eye irritation 58
sexual health and hiv prevention 54
shells from our own batteries 52
shewed some wit and discretion 41
shores more than two centuries 69
should call him and apologize 42
should come for our resumption 53
should come with his crucibles 52
should feed them with knowledge 45
should find out for ourselves 61
should find out for themselves 177
should find that each additional 65
should form for his advantage 57
should give all his substance 89
should give them that toleration 82
should have but few companions 45
should have for its foundation 66
should have for its objective 113
should have for its principal 123
should have got his character 40
should have had any hesitation 40
should have had any influence 122
should have had any knowledge 107
should have had that appearance 44
should have her own apartment 72
should have its due proportion 61
should have its own character 81
should have its own committee 46
should have its own dedicated 184
should have its own executive 40
should have its own insurance 55
should have its own integrity 43
should have its own newspaper 43
should have its own paragraph 44
should have its own parliament 130
should have its own permanent 71
should have its own political 93
should have its own resources 42
should have its own structure 56
should have met with opposition 80
should hope for any amendment 80
should hope for any effectual 43
should know that they themselves 79
should leave all our interests 285
should live has not prevented 52
should look out for ourselves 43
should look out for themselves 228
should make its own evaluation 47
should meet them this afternoon 69
should meet with any opposition 126
should note that our discussion 51
should note that this conclusion 68
should note that this definition 142
should note that this discussion 129
should note that this procedure 59
should note that this statement 85
should note that this technique 61
should only use this technique 55
should seek his own advantage 46
should seek his own happiness 95
should seek its own advantage 52
should seek out and encourage 46
should show you his mutilated 76
should show you this knowledge 41
should soon bring this meditation 151
should stop and ask ourselves 147
should stop and ask themselves 60
should tell you how important 68
should think fit and necessary 118
should think long and carefully 50
should think that they proceeded 43
should think this too hazardous 53
should work out for themselves 113
showed more zeal than discretion 111
shrink back and are destroyed 285
silent lips sad and tremulous 174
silken cord that was connected 90
silver loving cup was presented 113
simile when you are surprised 76
simple birth and death processes 130
simple truth they had forgotten 70
simply have not yet developed 40
simply means that our knowledge 45
simply will not let themselves 42
sinner among all this multitude 60
slaves into its own territory 98
slaves till they can gradually 50
smelting iron ore with anthracite 154
smiled upon him that peculiarly 86
smoked more than one cigarette 102
solely from its own resources 59
solely upon him for happiness 94
solely upon his own initiative 75
solely upon his own resources 216
solely upon its own resources 104
someone asks you for directions 63
something else did not interfere 48
something else for its existence 329
something else that was different 162
something else that was important 125
something else that was interesting 95
something less than his customary 64
something less than two centuries 74
something like this was necessary 47
something more than and different 446
something more than his customary 63
something more than they bargained 43
something more than two centuries 100
something more than was contained 65
something only you can determine 84
something other than and different 73
something very big and important 63
something very new and different 95
something very real and important 82
something wrong with her appearance 40
something wrong with his appearance 268
something wrong with his grandsons 62
something wrong with that statement 46
something wrong with this conclusion 46
sought help for her depression 47
sought only his own advantage 61
sounds from her had previously 63
spanning more than one generation 55
spanning more than two centuries 152
special care with her appearance 138
speech acts that are performed 54
speech having its own character 94
spending more than was necessary 47
spending time with her boyfriend 118
spending time with his daughters 42
sphere what she had previously 52
spinal cord and are associated 45
spinal cord and its associated 75
spinal cord and its envelopes 64
spinal cord and its membranes 2177
spinal cord and its surrounding 269
spinal cord with its membranes 67
spinning yarn with that elsewhere 76
sports teams are our favorites 55
spurning from him his footstool 49
square baking pan with vegetable 92
square feet for each additional 304
square foot for each additional 57
square inch for each additional 49
standing crop and net production 85
stands upon its own foundation 48
states have not yet addressed 45
states have not yet developed 151
states have not yet recovered 62
states when they are disturbed 42
stayed there with his disciples 69
stayed till she was recovered 46
stolen from him and published 55
strange unto any who considers 107
strange work with our affections 61
strange work with this limestone 77
strength left for any sentiment 42
strike over pay and conditions 185
strike those who had descended 50
struck down all who attempted 78
struck down but not destroyed 332
struck even foes with admiration 49
struck some that are admirable 44
subtle ways that are difficult 76
sudden open fly with impetuous 419
suffer from his own adversity 52
suffer more than his intellect 55
suffer more than one aberration 105
suffer more than was necessary 113
suffer these things for ourselves 41
suffer when they are separated 41
summer heats had not commenced 42
summer when she was seventeen 44
supply from her own resources 147
supply from his own knowledge 68
supply from his own resources 90
supply from its own resources 299
surely clear that its perfection 84
surely cora was not forgotten 102
surest sign that his confession 55
surgeon when you are kidnapped 66
survey data are not available 258
system also has its drawbacks 72
system there are two different 84
