saddest news that ever my 85
sadness left you just as 44
saffron mist and seem to 86
sailors from all over the 517
sailors knew not what to 95
sailors were not able to 335
sailors were not used to 43
sailors were put into the 93
salient nose with chin to 47
sallied forth and drew up 62
sallied forth and fell on 42
sallied forth and took the 108
sallied forth with some of 64
sallied from her hive to 83
saluted more than once as 50
salvage what was left of 3160
salvaging what was left of 217
samples from all over the 740
samples from each type of 60
samples from this part of 58
samples show that there is 65
samples were all from the 52
samples were cut along the 51
samples were cut from the 652
samples were not used in 63
samples were put into the 99
samples were then sent to 138
samples were then used to 149
sarcasm when she heard it 57
satisfy even one half of 83
satisfy more and more of 104
satisfy more than just the 55
satisfy their own eyes at 50
satisfy their own need to 73
satisfy those for whom it 143
satisfy those who seek to 59
satisfy those who want the 52
satisfy those who want to 214
satisfy those who wish to 301
saunter away his time of 44
savages were all come on 197
savants from all over the 52
savored more and more of 48
sawdust legs and arms so 74
scalped more than half the 47
scalped your old fool of 49
scandal there has been in 71
scarred body his heart at 66
scarred here and there by 135
scenario over and over in 112
scenery along this part of 150
scenery along this road is 59
scented breath and look so 136
scented there was food in 56
scepter more than what is 44
schemes have not been as 91
scholar will not fail to 52
schools from all over the 325
schools from new york to 73
schools have cut back on 70
schools have long been the 82
schools have not been as 205
schools have not been in 117
schools have not been so 97
schools have not been the 63
schools have not made the 42
schools here and there in 92
schools more than half of 54
schools more than half the 51
schools must not only be 70
schools other than those in 140
schools other than those of 170
schools there has been an 92
schools there has been no 75
schools were all part of 51
schools were being used as 86
schools were being used by 40
schools were being used to 104
schools were not able to 423
schools were not free in 43
schools were not only the 47
schools were not only to 69
schools were not open to 146
schools were not part of 122
schools were not ready to 54
schools were not seen as 100
schools were not slow to 59
schools were now open to 43
schools when they were in 51
schools will not have the 120
schools will not have to 83
schools will not only be 59
science deals with what is 109
science from all over the 101
science have long been at 68
science lies not only in 43
science must not only be 80
science there has been an 69
science were set forth in 41
science will not deny the 40
science will not fail to 51
science will not give us 44
science will not save us 64
scoured away and turn to 70
scraped what was left of 52
screamed over and over as 122
screamed over and over in 67
screamed when she heard the 88
screamed when you trod on 97
screwed into one side of 42
scrolling back and forth to 54
scrubbing pots and pans in 133
scurrying back and forth in 163
scurrying back and forth on 86
scurrying back and forth to 159
scurrying from one side of 103
scurrying here and there in 83
scurrying here and there on 91
scurrying here and there to 49
seaboard from new york to 182
seaports from new york to 63
searched what was left of 49
searches when they leave the 59
seasonal rise and fall in 165
seasonal rise and fall of 516
seasonal waxing and waning of 104
seconds there was nothing to 73
seconds there was only the 100
secrete food and wine in 45
secrets from each other in 67
secrets from each other on 65
sections dealing with some of 49
sections four and five of 414
sections north and south of 191
sections other than those in 42
sections other than those of 50
sections show that there is 113
sections tell you what to 42
sections three and five of 109
sections three and four in 49
sections three and four of 680
sections were cut from the 729
sectors north and south of 67
sectors other than those in 49
sectors were not able to 47
secular rise and fall of 93
secured from all risk of 49
secured from our fears of 52
secured less than half the 70
secured more and more of 50
secured more than half of 100
secured more than half the 117
secured what was left of 44
seduced from her duty by 89
seduced from his desk to 77
seduced from his duty by 127
seedlings have two sets of 62
seekers from all over the 688
seesawing back and forth in 68
segment bears one pair of 99
segment less than half the 57
segment more than once in 56
seismic data are used to 43
seizure will not turn an 150
selecting some things from the 85
selecting those that will be 51
selecting those who were to 272
selecting those who will be 143
selecting what they want to 155
selecting what they wish to 44
selecting what you want to 297
selects those who will be 51
selects those with whom he 40
sellers from all over the 231
seminal work was done by 57
senator from each town or 59
senator from new york by 55
senator from new york in 296
senator from new york is 133
senator from new york on 53
senator from new york or 80
senator from new york to 120
senator lost his life by 112
senator open his lips to 42
sensory loss and loss of 100
sensory loss may also be 64
seraphs writ with beams of 121
sergeant fled out into the 61
sergeant took one look at 88
serpent biting its tail is 44
serpent puts off among the 40
servant also was owed the 44
servant came and told me 152
servant came out from the 73
servant came out saying it 60
servant girl was sent to 45
servant girl who came to 57
servant girl who kept the 48
servant girl with whom he 62
servant went out into the 160
servant when you grow up 40
servant will not give it 48
service back and forth to 63
service during his stay in 60
service during his term of 75
service from all over the 166
service from his lips of 50
service from key west to 42
service from new york to 2123
service from new york via 68
service from one part of 41
service from san jose to 56
service from san juan to 54
service from two years to 448
service here and there in 43
service laws for work of 110
service means that there is 55
service more than once in 54
service must not only be 89
service only was paid to 44
service there had been no 62
service there has been no 54
service when they came to 47
service when they need it 261
service when they reach the 57
service when you come to 44
service when you need it 516
service when you want it 103
service when you want to 55
service will not only be 78
servile ways they took to 41
sessions were all held in 45
sessions were being held in 90
sessions were not open to 59
settled down all over the 69
settled down and came to 41
settled down and gave up 50
settled down and made it 80
settled down and made the 97
settled down and ready to 61
settled down and there is 55
settled down and told me 50
settled down and took on 56
settled down and took the 64
settled down and took to 41
settled down and took up 100
settled down and went on 40
settled down and went to 357
settled down for good in 295
settled down for life as 49
settled down for life in 106
settled down for what he 81
settled down for what we 54
settled from that time to 94
settled here and there in 421
settled here and there on 153
settled into her role as 110
settled into her room at 44
settled into his life in 58
settled into his part or 51
settled into his role as 200
settled into his room at 75
settled into its role as 185
settled into our seats in 42
settled into our seats on 55
settled land for mining or 59
settled land has come to 203
settled laws that down the 47
settled more and more by 45
settled more and more on 59
settled more and more to 44
settled north and south of 56
settled north and west of 105
settled over him like the 42
settled over him when he 62
settled rule that when the 52
settled there and made it 75
settled upon and sent to 53
settled upon his eyes in 52
settled when they came to 162
seventy days they wash the 41
seventy five per cent of 776
seventy years ago from the 59
seventy years ago when he 80
seventy years ago when it 55
seventy years ago when the 214
seventy years and more of 65
seventy years and more the 42
seventy years has been the 107
seventy years old when he 1468
seventy years old when the 233
seventy years they were in 63
several acts set forth in 49
several areas that must be 84
several areas that need to 179
several days ago when he 66
several days ago when the 70
several days and came to 60
several days and during the 54
several days and must be 49
several days and note the 45
several days and there is 111
several days and went to 48
several days and when he 130
several days and when it 42
several days and when the 62
several days and will be 44
several days each month in 44
several days each month to 91
several days each week at 79
several days each week in 128
several days each week on 41
several days each week to 88
several days for want of 103
several days going over the 125
several days had been the 107
several days had gone by 258
several days has been as 50
several days old when it 52
several days they came to 162
several days they were in 47
several days was held in 42
several days with nothing to 83
several feet out from the 285
several feet out into the 89
several here who make it 45
several jobs are ready to 91
several leading men among the 40
several odds and ends of 53
several other men from the 212
several other men went to 75
several other things must be 78
several other things such as 52
several pass them over in 40
several paths are open to 43
several pros and cons of 66
several pros and cons to 62
several sums set forth in 92
several ways and means of 84
several ways and means to 72
several ways are open to 46
several ways that make it 51
several ways that will be 57
several years ago among the 55
several years ago during the 194
several years ago from an 87
several years ago from the 407
several years ago into the 64
several years ago made the 45
several years ago over the 80
several years ago some of 43
several years ago told me 68
several years ago upon the 71
several years ago when an 127
several years ago when he 1414
several years ago when it 594
several years ago when my 294
several years ago when the 1576
several years ago when we 562
several years and came to 86
several years and died at 52
several years and died in 245
several years and during the 81
several years and find it 48
several years and knew the 94
several years and many of 107
several years and most of 68
several years and none of 52
several years and some of 121
several years and there is 251
several years and want to 47
several years and went to 51
several years and when he 65
several years and when the 64
several years and will be 192
several years for lack of 76
several years for some of 65
several years for want of 56
several years had been an 79
several years had been in 241
several years had been my 47
several years had been the 484
several years had been to 64
several years had gone by 216
several years had held the 43
several years has been an 133
several years has been in 278
several years has been on 80
several years has been so 85
several years has been the 1174
several years has been to 428
several years has held the 51
several years has made it 61
several years may have to 45
several years not only in 41
several years old when the 53
several years that there is 81
several years they were in 65
several years they were the 101
several years they will be 53
several years this type of 51
several years too late to 89
several years too young to 44
several years was able to 105
several years with some of 46
several young men among the 43
several young men came to 59
several young men fond of 111
several young men from the 283
several young men went to 40
several young men whom he 59
severed from each other as 154
severed from each other by 546
severed from each other in 112
severed from her body at 138
severed from her body by 124
severed from her mass of 60
severed from his body at 538
severed from his body by 892
severed from his body in 156
severed from his body on 97
severed from his body the 43
severed from its body by 82
severed from its cell of 76
severed from real life as 106
shadows damp oft seen in 257
shadows down and made the 60
shadows from being cast on 66
shadows from one side of 52
shadows here and there on 52
shadows were long upon the 189
shallow bowl and pour the 58
shallow breath and held it 42
shallow dish and pour the 241
shallow herd who throw an 49
shallow pits dug into the 82
shallow rise and fall of 388
sharper eyes than those of 90
sharper teeth than teeth of 118
sharply from each other in 308
sharply from one part of 56
sharply from one side to 65
shatter what was left of 229
shelled eggs are laid in 66
shelves along one side of 89
shelves along one wall of 56
sheriff came and took my 56
shields were hung along the 42
shifted back and forth as 554
shifted back and forth at 44
shifted back and forth by 143
shifted back and forth in 752
shifted back and forth on 426
shifted back and forth so 41
shifted back and forth to 191
shifted from any part of 70
shifted from being part of 51
shifted from being seen as 84
shifted from each other by 126
shifted from her eyes to 60
shifted from her face to 209
shifted from his face to 115
shifted from new york to 409
shifted from one bank to 99
shifted from one base to 74
shifted from one camp to 116
shifted from one cell to 52
shifted from one city to 93
shifted from one crop to 73
shifted from one face to 75
shifted from one firm to 42
shifted from one foot to 9549
shifted from one form of 70
shifted from one form to 73
shifted from one hand to 193
shifted from one home to 125
shifted from one kind of 243
shifted from one line of 50
shifted from one line to 143
shifted from one meaning to 77
shifted from one mode of 46
shifted from one pair of 82
shifted from one part of 996
shifted from one part to 218
shifted from one plot to 64
shifted from one pole to 99
shifted from one post to 103
shifted from one role to 59
shifted from one room to 112
shifted from one sect to 66
shifted from one ship to 67
shifted from one side of 845
shifted from one side to 1183
shifted from one site to 111
shifted from one spot to 160
shifted from one task to 116
shifted from one type of 380
shifted from one type to 65
shifted from one unit to 71
shifted here and there in 55
shifted here and there to 41
shifted more and more in 420
shifted more and more of 514
shifted more and more to 3458
shillings into one side of 192
shipped back and forth to 44
shipped from all over the 130
shipped from any part of 48
shipped from any port in 67
shipped from new york by 76
shipped from new york in 111
shipped from new york on 81
shipped from new york to 1136
shipped from one part of 242
shipped from one port to 113
shipped from that port to 93
shipped from this port in 61
shipped from this port to 134
shipped more than half of 46
shocked more than once by 40
shocked when she heard of 199
shocked when she heard the 276
shocked when she hears of 165
shocked when she told me 421
shocked when she went to 40
shocked when they came to 47
shocked when they heard of 236
shocked when they heard the 403
shocked when they told me 169
shocked when you heard of 42
shocked when you told me 73
shorten sail and heave to 48
shorten till you come to 63
shorter life than those of 46
shorter range than those of 58
shorter time than most of 67
shorter time than those at 41
shorter time than those in 231
shorter time than those of 181
shorter time than when it 52
shorter time than when the 128
shouted back and forth as 59
shouted back and forth at 75
shouted back and forth in 107
shouted back and forth to 197
shouted from all over the 40
shouted over and over as 126
shouted over and over in 60
shouted some one from the 126
shouted when they came in 47
shouted when they heard the 249
shredding what was left of 40
shrines even then most in 40
shrinking from any kind of 50
shudder when they speak of 47
shudder when they think of 327
shudder when you think of 170
shuffle back and forth in 161
shuffle from one foot to 219
shuffling back and forth in 162
shuffling back and forth of 61
shuffling back and forth on 64
shuffling back and forth to 96
shuffling from one foot to 1005
shunted back and forth by 43
shunted back and forth in 82
shunted back and forth on 54
shunted back and forth to 44
shunted from one home to 54
shunted from one line to 50
shunted from one side of 47
shuttle back and forth as 185
shuttle back and forth at 52
shuttle back and forth by 57
shuttle back and forth in 387
shuttle back and forth on 138
shuttle back and forth to 511
shuttle from new york to 116
shuttle from one hand to 67
shuttle from one side of 133
shuttle from one side to 84
shuttling back and forth as 200
shuttling back and forth at 64
shuttling back and forth by 71
shuttling back and forth in 1154
shuttling back and forth of 333
shuttling back and forth on 252
shuttling back and forth to 1116
sidereal days are there in 47
sighted were not able to 149
sightings from all over the 44
signals back and forth to 114
signals from all over the 205
signals from any part of 54
signals from each pair of 67
signals from one cell to 361
signals from one form to 186
signals from one pair of 50
signals from one part of 726
signals from one side of 154
signals from one type of 60
signals from one wire to 40
signals other than those of 73
signals sent out from the 538
signals were being sent to 76
signals were fed into an 50
signals were fed into the 64
signify what was meant by 88
silence best can speak the 68
silence from any want of 237
silence gave her time to 43
silence made her look up 101
silence made him look up 91
silence there was only the 64
silence till they came to 584
silence upon that part of 45
silence when they heard the 97
silence will not make it 74
silvery mist hung over the 64
similar call was made by 62
similar case can also be 72
similar case has come to 45
similar case was made by 68
similar find was made in 81
similar form was used in 42
similar form with those at 41
similar from one case to 80
similar from one city to 42
similar from one part of 49
similar from one site to 90
similar from one type of 46
similar kind was made to 46
similar laws all over the 40
similar look and feel to 288
similar means are used to 51
similar move was made by 92
similar move was made in 126
similar move was made to 42
similar note was sent to 135
similar ones all over the 47
similar plan has been in 48
similar plan was used in 109
similar raid was made on 47
similar rise and fall in 137
similar rise and fall of 99
similar rule has been on 47
similar ruling was made by 176
similar ruling was made in 418
similar size and form to 60
