sac has been opened and 204
sad and sole relief she 82
sad but sure remedy for 73
sad dye more readily than 83
sad that their writer did 51
sang out their feelings long 58
sang out their mellow lay 85
sang with great spirit and 67
sat her down beside her 43
sat her down beside him 212
sat him down beside her 165
sat him down beside him 104
sat out four dances with 60
sat two rows behind her 44
sat with arms folded and 100
sat with eyes closed and 144
saw all those cities and 208
saw and bare record that 645
saw and heard around her 91
saw and heard around him 162
saw and heard around them 119
saw and heard something that 44
saw and heard strange things 67
saw each other except for 42
saw far more clearly than 334
saw her cast adrift and 51
saw her come toward him 41
saw her coming toward him 588
saw her coming toward them 82
saw her dive thought she 41
saw her eyes bright with 56
saw her eyes darken and 152
saw her eyes darken with 61
saw her eyes filled with 142
saw her eyes narrow and 55
saw her eyes swimming with 54
saw her face before him 74
saw her face before she 49
saw her face clearly for 95
saw her just before her 41
saw her just before she 164
saw her laid beside her 49
saw her lips quiver and 57
saw her look better than 47
saw her more clearly than 146
saw her more lovely than 40
saw her stop before one 47
saw her take something out 98
saw her turn around and 49
saw her turn toward him 71
saw her walk behind him 43
saw her were filled with 40
saw him come toward her 43
saw him coming toward her 702
saw him coming toward him 53
saw him coming toward them 143
saw him ever forgot him 51
saw him fish something out 53
saw him have butter and 49
saw him just before his 101
saw him more clearly than 175
saw him move toward her 62
saw him moving farther and 72
saw him reach inside his 65
saw him riding toward her 44
saw him take something out 137
saw him turn around and 118
saw him turn toward her 60
saw him were filled with 96
saw his duty before him 49
saw his duty clearly and 84
saw his eyes darken and 170
saw his eyes darken with 135
saw his eyes filled with 128
saw his eyes narrow and 183
saw his eyes narrow with 52
saw his eyes searching for 43
saw his eyes watching her 40
saw his face before her 57
saw his face cleared and 45
saw his face clearly for 138
saw his face darken and 50
saw his face darken with 77
saw his face soften and 51
saw his face soften with 44
saw his fate before him 54
saw his feet sticking out 113
saw his goal before him 62
saw his life before him 175
saw his lips quiver and 47
saw his only chance was 55
saw his part before him 54
saw his poor friend lying 83
saw his road before him 48
saw how much better they 40
saw mrs clay fairly off 48
saw not less clearly that 145
saw one single street yet 41
saw that land sooner than 69
saw that life itself was 66
saw that more clearly than 89
saw that some remark was 83
saw that south africa was 98
saw that their master was 62
saw that their number was 41
saw that their object was 44
saw that three indians with 54
saw that true policy did 46
saw them coming toward her 63
saw them coming toward him 126
saw them just before they 64
saw them more clearly now 50
saw them more clearly than 113
saw they were filled with 194
saw things more clearly and 76
saw things more clearly than 340
saw this book through its 47
saw this more clearly than 2419
saw this most clearly was 66
saw this very clearly and 87
saw with great relief that 100
saw with some dismay that 83
saw with some relief that 402
saw you having dinner with 43
saw you look better than 94
say all your family are 50
say any more except that 135
say for sure whether any 53
say for sure whether she 141
say for sure whether that 71
say for sure whether they 214
say for sure whether this 165
say how deep inside you 48
say how many aliases are 57
say how much better off 51
say how much better she 42
say how much better they 60
say how much nobler this 50
say she must resign her 47
say that fire causes heat 88
say that five sheets are 45
say that jane austen was 56
say that life begins with 89
say that many wicked men 45
say that most touching and 159
say that nothing exists but 68
say that only through two 43
say that other nations are 125
say that some actions are 77
say that some events are 61
say that some person has 42
say that some regard for 59
say that south africa has 81
say that south africa was 56
say that such actions are 276
say that such another way 44
say that such bodies are 228
say that such changes are 182
say that such claims are 296
say that such events are 199
say that such feelings are 160
say that such groups are 42
say that such issues are 121
say that such methods are 103
say that such notions are 120
say that such theories are 153
say that such values are 43
say that such writings are 69
say that such yearnings and 92
say that their actions are 212
say that their bodies are 49
say that their fathers and 96
say that their feelings are 52
say that their houses are 50
say that their methods are 52
say that their mothers are 52
say that their object was 114
say that their prices then 56
say that their states are 64
say that their values are 80
say that there exists any 91
say that there exists not 144
say that there exists one 47
say that there should not 839
say that these actions are 154
say that these bodies are 126
say that these causes are 65
say that these changes are 304
say that these claims are 93
say that these duties are 48
say that these essays are 63
say that these events are 202
say that these feelings are 157
say that these findings are 102
say that these forces are 81
say that these groups are 161
say that these houses are 57
say that these images are 129
say that these issues are 175
say that these latter are 82
say that these methods are 170
say that these models are 94
say that these notions are 52
say that these papers are 53
say that these pieces are 74
say that these places are 50
say that these points are 83
say that these powers are 96
say that these proofs are 66
say that these reasons are 48
say that these rights and 56
say that these rights are 166
say that these should not 52
say that these skills are 64
say that these sounds are 62
say that these states are 65
say that these theories are 124
say that these topics are 62
say that these traits are 50
say that these values are 175
say that these verses are 40
say that these writings are 42
say that those changes are 56
say that those grants are 45
say that those reasons are 45
say that time changes things 117
say that time wastes things 58
say that very little has 111
say that what passes for 57
