sacred and apparently so well 91
safety and continuity of care 68
safety and destruction or loss 64
safety and efficiency of their 83
safety and efficiency of these 42
safety and prosperity of their 204
safety and prosperity of these 50
safety and prosperity of those 77
safety and reliability as well 43
safety and reliability in mind 51
safety and reliability of their 81
safety and reliability of these 66
salads and sandwiches as well 68
salary and emoluments of such 151
salved his conscience by giving 44
sample are comparable to those 49
sample are essentially the same 49
sample was considered to have 45
sample was determined by means 131
sample was determined to have 44
sample was essentially the same 41
sample was restricted to only 47
sample was restricted to those 207
sample was stratified by race 55
sample was stratified by size 151
sampling and examination of mine 173
scales are comparable to those 46
scales are essentially the same 88
scales for measurement of pain 70
scenes and characters the most 43
scheme for compensating the loss 71
scheme was discovered in time 49
scheme was essentially the same 47
scheme was foredoomed to fail 41
scheme was introduced in july 56
scheme was introduced in june 49
school and university as well 81
school are accustomed to call 41
school are essentially the same 43
school for instruction in reading 134
school was considered the best 60
scores are calculated by adding 79
scores are comparable to those 80
scores are considered to have 44
scores are determined by adding 54
scores are essentially the same 55
scores are indicative of more 86
searching for information on their 49
searching for information to help 77
second and positively the last 46
section and substituting in lieu 166
section are essentially the same 86
section are restricted to those 40
section for information on these 54
section for literature as well 53
section was considered to have 45
sector was encouraged to take 40
secure and internally at peace 42
secure due recognition of their 70
secure for generations to come 198
secure his neutrality at least 68
seemed for wantonness to weep 66
seemed not dissimilar to those 62
seemed that everywhere he went 57
seemed that everywhere we went 84
seemed too frightened to move 60
seemed too frightened to speak 58
seemed too preoccupied to care 49
seized and imprisoned in fort 44
seized and imprisoned the duke 53
seldom any difficulty in making 49
seldom any difficulty in seeing 47
select any combination of these 83
senses and experience is nothing 107
senses and imagination of lady 66
senses and imagination on their 52
senses and imagination to rest 43
senses was sufficient to warn 40
series are comparable to those 45
series are essentially the same 55
series are structured to grow 55
served with distinction at fort 44
served with distinction in four 40
served with distinction in india 302
served with distinction in korea 59
served with distinction in many 323
served with distinction in north 232
served with distinction in south 179
served with distinction in their 56
served with distinction on many 62
settling and ascertaining the same 128
severe and intolerant in their 69
severe and monumental in their 73
shaded area represents the loss 86
shaded area represents the range 871
shaded area represents the time 89
shaded area represents the work 368
shaded area represents the zone 117
shades and affinities of some 40
shades and delicacies of truth 40
shadow being expressive of some 73
