sales of passenger cars and 149
sales of products other than 98
sales of property held for 104
sales of property other than 179
sales of slightly less than 115
sales of slightly more than 69
salts of carbonic acid are 173
salts of tartaric acid are 98
sandy or gravelly soil and 95
sandy or gravelly soil with 101
saved the children from being 42
saves the customer time and 42
savings in computer time and 128
savings in computer time can 50
savings in processing time and 47
sayings as expressing best his 44
scale is commonly used for 150
scene by children from two 90
scene of military pomp and 66
scene of religious wars and 70
scent of lavender from her 41
sealed in polythene bags and 51
sealed the contract upon her 70
search of suitable food for 73
search of suitable land for 46
search the american ship for 65
season he detached five men 90
seeds of divisions among them 87
seeking an absolute good and 40
seeking to discover their own 41
seeking to discover what had 41
seeking to discover what was 75
seeking to identify those who 42
seeking to maintain their own 197
seeking to maximize their net 51
seeking to maximize their own 702
seeking to overcome evil with 54
seeking to overcome their own 49
seeking to preserve their own 302
seeking to preserve what they 147
seeking to strengthen their own 76
seeks to discover what they 63
seeks to identify those who 58
seeks to maintain peace and 88
seeks to overcome evil with 66
seeks to purchase from his 57
seeming to approach from all 67
seems an unlikely site for 70
seems an unlikely spot for 96
seems so obviously true that 95
seems to approach very near 56
seems to coincide well with 50
seems to conclude from this 63
seems to derogate from his 48
seems to disappear from his 49
seems to disappear into thin 68
seems to disappear when you 42
seems to dissolve into thin 47
seems to indicate also that 271
seems to indicate here that 103
seems to indicate more than 189
seems to indicate only one 51
seems to indicate only that 102
seems to indicate there are 92
seems to indicate there was 54
seems to indicate what was 55
seems to maintain clear and 81
seems to perceive nothing that 40
seems to preclude their being 47
seems to resonate more with 49
seems to resonate well with 61
seems to separate these two 70
selling of trinkets among them 73
selling or otherwise dealing with 373
sells or exchanges less than 109
sending of messages from one 186
sense is distinct from that 57
sense of absolute peace and 46
sense of artistic form and 99
sense of betrayal when she 72
sense of betrayal when they 97
sense of brotherly love and 51
sense of christian duty and 227
sense of complete union with 41
sense of conjugal love and 41
sense of cultural loss and 90
sense of direction other than 88
sense of direction told him 121
sense of direction when she 49
sense of direction when they 87
sense of direction when you 50
sense of disgrace mixing with 40
sense of distance from all 42
sense of distance from and 68
sense of distance from god 393
sense of distance from her 138
sense of distance from his 198
sense of distance from one 51
sense of distance from that 48
