sat was 62 sat him 66
saw and 153 see you 50
she and 54 she and 40
she all 44 she her 42
she and 74 she with 53
she with 183 she and 40
she and 44 she her 42
she and 65 she had 186
she was 294 she she 65
she had 59 she was 48
she was 84 she was 66
she has 45 she not 84
she and 111 she and 68
she and 42 she for 47
she her 84 she and 177
she him 51 she with 134
she and 591 she for 55
she and 755 she and 48
she with 40 she and 77
she and 92 she out 114
she with 89 she and 62
she and 92 she that 85
she that 481 she that 309
she with 68 she and 55
she and 124 she with 45
she and 63 she and 78
she and 50 she with 51
she and 43 she and 60
she and 51 she and 56
she with 105 she and 53
she and 44 she and 382
she she 52 she with 58
she and 69 she him 59
she was 42 she that 179
she and 193 she with 74
she and 72 she her 69
she was 43 she and 43
she with 76 she her 61
she with 78 she and 191
she her 53 she and 118
she for 148 she and 43
she and 268 she and 41
she and 119 she for 99
she she 41 she with 51
she and 61 she her 54
she and 219 she for 42
she and 47 she and 54
sit new 43 six out 94
six men 85 sum six 47
