sack of bull durham and 164
safe at home before them 64
safe at home without any 76
said as many clever things 41
said as much before him 48
said as tears filled her 118
said at last through her 55
said by some authors that 381
said by those around her 52
said by those around him 59
said he also thought they 57
said he felt better and 173
said he felt better now 58
said he felt better than 124
said he felt better this 48
said he felt guilty for 47
said he knew better than 148
said he knew someone who 283
said he knew something was 117
said he left behind him 71
said he more kindly than 54
said he must confer with 43
said he must insist that 43
said he once showed this 63
said he only wanted one 49
said he only wished that 44
said he soon learned that 49
said in high places that 54
said in like manner that 59
said in many places that 304
said in other places that 138
said in some places that 129
said in south africa that 146
said in their behalf that 193
said in their excuse that 41
said in their letter that 146
said in their praise that 131
said in their report that 437
said in your letter than 43
said in your letter that 2270
said in your letter you 232
said in your report that 177
said in your speech that 226
said it loud enough for 796
said it loud enough that 261
said it more clearly than 80
said it much better than 114
said it only showed that 42
said it very simply and 56
said it very slowly and 91
said it were better for 93
said it were better that 100
said it will follow that 115
said my good nights and 45
said of john wesley that 82
said of other famous men 123
said of other traits that 113
said of their armies and 171
said on their behalf that 312
said or done around him 79
said or done something that 1884
said or done something you 51
said or even hinted that 83
said or even thought that 98
said or heard before and 46
said or heard someone say 58
said so last monday was 48
said so many bitter things 64
said so many obliging things 83
said so many pretty things 156
said so many severe things 43
said so many strange things 43
said so many stupid things 41
said the girl beside him 41
said the good simple man 49
said the great spirit had 152
said the great spirit was 44
said the holy spirit had 47
said the holy spirit was 82
said the kind little old 45
said the lace collar she 73
said the lady beside him 72
said the last speaker had 70
said the less chosen for 56
said the mock turtle with 200
said the most charming things 91
said the most horrid things 40
said the most obliging things 40
said the most polite and 40
said the most shocking things 40
said the most solemn things 62
said the nice little man 48
said the only person who 110
said the only remedy was 63
said the other little man 103
said the poor fellow with 50
said the poor little man 52
said the same before him 92
said the third little pig 109
said the very little that 90
said the word before his 92
said the young fellow near 66
said the young fellow who 52
said the young fellow with 116
said to find strength and 51
said to hate myself for 44
said to have abused his 97
said to have abused its 73
said to have adored him 58
said to have agreed and 44
said to have agreed not 50
said to have agreed that 652
said to have agreed with 388
said to have already had 66
said to have always had 145
said to have amused his 42
said to have argued for 112
said to have argued that 1192
said to have argued with 67
said to have arisen and 52
said to have arisen for 42
said to have arisen out 1632
said to have arisen with 68
said to have atoned for 56
said to have avowed his 60
said to have avowed that 170
said to have become for 66
said to have become his 174
said to have become ill 45
said to have become its 47
said to have become mad 44
said to have become man 69
said to have become one 799
said to have become that 45
said to have become too 73
said to have begged him 58
said to have begged his 72
said to have begged with 125
said to have bitten off 99
said to have bought and 62
said to have bought for 193
said to have bought him 48
said to have bought his 189
said to have bought one 45
said to have breathed his 162
said to have broken all 49
said to have broken her 64
said to have broken his 539
said to have broken new 116
said to have broken off 113
said to have broken out 1625
said to have broken with 172
said to have buried him 53
said to have buried his 314
said to have buried them 41
said to have burned all 67
said to have burned for 101
said to have burned his 127
said to have called for 525
said to have called her 205
said to have called him 782
said to have called his 317
said to have called out 1357
said to have called that 108
said to have called them 204
said to have called this 181
said to have carved his 82
said to have carved out 174
said to have caught his 85
said to have caused all 88
said to have caused any 68
said to have caused death 200
said to have caused her 191
said to have caused him 358
said to have caused his 661
said to have caused its 73
said to have caused one 49
said to have caused that 221
said to have caused them 133
said to have caused this 132
said to have changed for 87
said to have changed her 95
said to have changed his 746
said to have changed its 345
said to have changed our 42
said to have chosen for 86
said to have chosen him 47
said to have chosen his 177
said to have chosen one 46
said to have chosen that 72
said to have chosen this 166
said to have clearly had 56
said to have closed his 218
said to have closed its 41
said to have closed with 502
said to have copied his 78
said to have copied out 98
said to have created all 287
said to have created and 146
said to have created any 76
said to have created for 134
said to have created him 69
said to have created his 179
said to have created its 66
said to have created man 220
said to have created men 53
said to have created new 69
said to have created one 40
said to have created that 120
said to have created them 145
said to have created this 211
said to have created two 137
said to have cursed him 69
said to have cursed his 168
said to have danced and 48
said to have danced for 48
said to have danced with 152
said to have denied his 61
said to have denied that 538
said to have dipped his 72
said to have donned his 44
said to have dreamed that 492
said to have driven all 78
said to have driven her 106
said to have driven him 279
said to have driven his 149
said to have driven off 64
said to have driven out 609
said to have driven them 176
said to have dubbed him 41
said to have eloped with 119
said to have engaged his 61
said to have engaged with 91
said to have envied his 63
said to have failed and 90
said to have failed for 120
said to have fairly set 42
said to have fallen and 114
said to have fallen dead 66
said to have fallen far 45
said to have fallen for 131
said to have fallen ill 127
said to have fallen near 74
said to have fallen off 716
said to have fallen out 676
said to have fallen that 209
said to have fallen with 167
said to have fasted for 131
said to have filled all 45
said to have filled his 162
said to have filled two 41
said to have filled with 130
said to have fitted out 80
said to have flowed with 42
said to have forced him 54
said to have forced his 147
said to have forced them 70
said to have formed and 71
said to have formed any 162
said to have formed for 58
said to have formed his 346
said to have formed man 48
said to have formed one 535
said to have formed our 45
said to have formed this 57
said to have fought and 239
said to have fought for 264
said to have fought his 107
said to have fought with 931
said to have framed any 40
said to have framed for 71
said to have framed them 49
said to have gained any 128
said to have gained for 73
said to have gained him 100
said to have gained his 374
said to have gained its 158
said to have gained this 58
said to have gotten his 162
said to have gotten its 157
said to have guided its 53
said to have gushed out 110
said to have helped her 95
said to have helped him 339
said to have helped his 94
said to have helped them 66
said to have helped with 98
said to have hidden his 97
said to have hidden out 64
said to have hinted that 183
said to have hunted for 40
said to have hurled his 146
said to have issued his 65
said to have issued out 52
said to have joined her 74
said to have joined him 162
said to have joined his 129
said to have joined them 132
said to have joined this 58
said to have joined with 212
said to have jumped out 151
said to have kicked her 50
said to have killed all 145
said to have killed and 201
said to have killed her 237
said to have killed him 548
said to have killed his 852
said to have killed off 209
said to have killed one 511
said to have killed six 168
said to have killed them 89
said to have killed two 593
said to have killed with 147
said to have kissed his 47
said to have landed and 88
said to have landed near 68
said to have landed with 110
said to have lasted but 42
said to have lasted for 1374
said to have lasted one 51
said to have lasted six 73
said to have lasted ten 130
said to have lasted two 195
said to have learned all 55
said to have learned and 58
said to have learned his 399
said to have learned how 129
said to have learned that 279
said to have learned this 80
said to have levied war 83
said to have lifted his 63
said to have lingered for 46
said to have lodged with 118
said to have looked for 91
said to have looked out 148
said to have looked with 189
said to have marked him 44
said to have marked his 133
said to have marked its 48
said to have marked out 121
said to have merged with 117
said to have missed his 43
said to have netted him 77
said to have netted its 56
said to have opened and 108
said to have opened her 50
said to have opened his 205
said to have opened out 44
said to have opened with 306
said to have opinion but 133
said to have parted with 200
said to have passed and 63
said to have passed for 101
said to have passed her 60
said to have passed his 613
said to have passed its 204
said to have passed off 149
said to have passed out 528
said to have passed that 51
said to have passed this 93
said to have passed with 68
said to have picked out 79
said to have placed her 84
said to have placed him 84
said to have placed his 459
said to have placed one 47
said to have placed them 53
said to have placed this 42
said to have played and 48
said to have played any 119
said to have played for 71
said to have played his 167
said to have played its 81
said to have played off 41
said to have played this 47
said to have played with 209
said to have pleaded for 85
said to have pleaded with 129
said to have pleased him 65
said to have poured out 225
said to have prayed and 63
said to have prayed for 319
said to have prayed that 529
said to have prayed with 48
said to have proved her 47
said to have proved him 50
said to have proved his 184
said to have proved its 149
said to have proved that 952
said to have proved this 50
said to have pulled his 40
said to have pulled off 55
said to have pulled out 174
said to have pushed for 46
said to have pushed his 101
said to have raised him 69
said to have raised his 326
said to have raised its 50
said to have raised them 54
said to have raised this 46
said to have raised two 48
said to have reached any 124
said to have reached her 101
