sat among his books and 116
sat back and drank his 74
sat back and gazed out 172
sat back and laced his 77
sat back and shook her 130
sat back and shook his 380
sat back and spread his 79
sat back and toyed with 41
sat back and wiped her 115
sat back and wiped his 173
sat biting her inner lip 42
sat biting his fingers and 85
sat biting his lower lip 54
sat cold and white and 80
sat down and asked for 392
sat down and asked her 161
sat down and asked him 284
sat down and asked his 46
sat down and asked how 146
sat down and asked them 72
sat down and began eating 493
sat down and began going 62
sat down and began her 78
sat down and began his 220
sat down and began our 47
sat down and began singing 47
sat down and began with 65
sat down and bowed her 75
sat down and bowed his 139
sat down and burst out 93
sat down and could not 219
sat down and cried and 262
sat down and cried for 540
sat down and cried out 85
sat down and cried too 44
sat down and cried with 253
sat down and dined with 150
sat down and dozed off 75
sat down and drank and 41
sat down and drank her 66
sat down and drank his 120
sat down and drank with 66
sat down and faced each 97
sat down and faced her 141
sat down and faced him 129
sat down and faced his 57
sat down and faced one 43
sat down and faced them 48
sat down and fired off 84
sat down and fixed her 79
sat down and fixed his 87
sat down and found that 110
sat down and gazed out 211
sat down and gazed with 62
sat down and leaned her 415
sat down and leaned his 551
sat down and shook her 80
sat down and shook his 302
sat down and shook out 62
sat down and spoke with 102
sat down and spread her 108
sat down and spread his 140
sat down and spread out 199
sat down and stuck his 42
sat down and toyed with 54
sat down and tried not 157
sat down and typed out 409
sat down and waved his 44
sat down and wiped her 131
sat down and wiped his 496
sat down and would not 215
sat down and wrote all 91
sat down and wrote and 148
sat down and wrote for 229
sat down and wrote her 1259
sat down and wrote him 1384
sat down and wrote his 1476
sat down and wrote long 66
sat down and wrote off 233
sat down and wrote one 1041
sat down and wrote out 5340
sat down and wrote that 480
sat down and wrote them 240
sat down and wrote this 622
sat down and wrote thus 91
sat down and wrote two 503
sat down and wrote with 239
sat down and wrote you 134
sat down but could not 70
sat down day after day 52
sat down for about ten 47
sat down for lunch and 91
sat down for lunch with 200
sat down one evening and 275
sat down one evening with 54
sat down one morning and 66
sat down one morning with 46
sat down one night and 281
sat down she could not 61
sat down that evening and 124
sat down that night and 243
sat down this morning and 61
sat down with jesus and 357
sat down with paper and 235
sat down with trent and 50
sat here day after day 127
sat late and drank too 64
sat late that night with 46
sat some way below her 157
sat swinging his purse and 88
sat there all night and 131
sat there all night long 276
sat there all night with 66
sat there and could not 168
sat there and cried and 152
sat there and cried for 266
sat there and drank and 70
sat there and shook his 128
