sac to 98 sac the 43
sad to 43 sad of 41
sang at 70 sang in 136
sat it 51 sat in 93
sat on 45 sat in 52
sat in 546 sat on 45
sat in 688 sat in 47
sat the 46 sat in 174
sat on 59 sat of 82
sat in 41 saw as 238
saw in 42 saw in 50
saw of 208 saw the 90
saw on 41 saw by 124
saw me 250 saw us 72
saw up 49 saw to 46
saw the 56 saw up 73
saw on 55 saw as 68
saw the 286 saw as 58
saw in 84 saw me 440
saw the 116 saw us 132
saw as 53 saw to 144
saw the 628 saw of 44
saw the 44 saw up 92
saw on 53 saw the 82
saw the 47 saw at 46
saw at 49 saw by 83
saw on 59 saw to 55
saw on 100 saw on 105
saw as 72 saw to 112
saw as 83 saw in 56
saw in 171 saw on 59
saw to 59 saw in 44
saw he 56 saw as 47
saw as 57 saw the 44
saw of 107 saw of 60
saw to 68 saw to 55
saw to 56 saw me 81
saw us 70 saw in 41
saw on 105 saw at 43
saw to 112 saw of 63
saw by 41 saw in 44
saw by 67 saw to 46
saw me 43 saw to 132
saw the 115 saw the 115
saw the 74 saw the 123
saw the 104 saw the 47
saw on 46 saw me 83
saw it 73 say it 59
say he 90 say it 44
say the 51 say the 71
say he 130 say it 112
say the 120 say of 49
say of 218 say of 42
say he 44 say we 73
say it 362 say to 79
say it 200 say me 49
say my 55 say the 820
say the 69 say is 82
say to 49 say of 127
say of 107 say to 119
say is 249 say of 78
say he 278 say it 140
say of 58 say the 413
say we 196 say on 49
say of 113 say of 182
say of 78 say is 96
say of 187 say on 173
say to 148 say on 57
say by 141 say in 92
say to 43 say of 64
say of 97 say do 40
say of 203 say do 49
say of 201 say of 189
say is 49 say of 81
say of 396 say of 98
say of 40 say is 176
say is 454 say is 412
say as 92 say of 281
say is 206 say is 325
say as 125 say or 173
say is 107 say as 81
say is 40 say to 92
say is 133 say of 46
say is 70 say in 45
say is 146 say is 157
say is 42 say to 121
say to 46 say to 85
say is 163 say is 141
say is 88 say do 81
say or 45 say in 67
say is 94 say is 54
say is 80 say in 42
say is 139 say is 212
say is 73 say in 42
say is 52 say to 153
say in 70 say no 73
say of 158 say do 47
say of 44 say in 73
say do 49 say in 58
say of 50 say of 83
say of 93 say at 433
say to 49 say to 64
say is 192 say in 325
say is 125 say on 48
say to 234 say is 257
say to 40 say of 72
say me 83 say to 51
say of 47 say of 62
say is 132 say is 157
say is 61 say is 346
say is 185 say is 50
say is 56 say is 51
say is 46 say is 83
say in 40 say is 61
say is 51 say is 93
say to 58 say to 56
