sacks of flour were piled 119
sails to every wind which 65
sales to cover their costs 40
sandy or sandy loam soils 633
sandy to sandy loam soils 313
saved as ascii text files 99
saved my people from hunger 48
saved the house from burning 61
saved the nation from total 40
saved the people from utter 67
saved the world from total 51
sayings of jesus were first 41
scale is still used today 60
scale of human life which 43
scale on which such costs 73
scale on which these savings 103
scale on which these works 41
scalp of every male indian 162
scars of which will never 52
scene in annie hall where 50
scene in words well worthy 40
scene of action took place 70
scene of which there could 92
scent of blood back again 47
scope of change taking place 49
score of shots were fired 40
scorn to stand upon terms 475
scrap of paper from which 170
scrap of paper upon which 822
search of lower wage costs 45
search the world over until 66
season by winning their first 42
season is about four months 41
season of about five months 89
season of about four months 122
season of about three months 146
season or period during which 83
seeds of which were first 40
seeds of which were found 46
seeking to carry some state 55
seeking to change their lives 88
seeking to please your wives 56
seeks to avert will occur 48
seeks to deter from crime 86
seeks to spread over every 72
seems as though just about 41
seems as though many people 58
seems as though most people 98
seems as though nothing could 131
seems as though some people 104
seems as though there could 166
seems as though there might 94
seems as though there ought 75
seems as though there would 130
seems to annoy some people 121
seems to appear more often 85
seems to appear most often 63
seems to appear only after 51
seems to arise from within 86
seems to arise most often 77
seems to bother some people 56
seems to breathe from every 49
seems to burst into flame 53
seems to cover just about 41
seems to cross their minds 120
seems to enter their minds 94
seems to exude from every 45
seems to imply some doubt 45
seems to occur less often 86
seems to occur more easily 44
seems to occur more often 941
seems to occur most often 695
seems to occur only after 114
seems to occur only under 93
seems to occur when people 75
seems to really care about 153
seems to reveal more about 62
seems to shine from within 140
seems to shine only twice 55
seems to thrive best where 63
seems to worry much about 89
seems to yield only danger 107
seize by force some ships 70
selling the lands upon which 75
sends an arrow from every 68
sense in which lord bacon 58
sense in which many people 124
sense in which most people 266
sense in which other people 48
sense in which seeing comes 68
sense in which some people 118
sense in which such terms 117
sense in which such words 124
sense in which there could 63
sense in which there really 44
sense in which there would 68
sense in which these people 87
sense in which these rules 54
sense in which these terms 1895
sense in which these words 1667
sense in which those mists 107
sense in which those parts 89
sense in which those terms 762
sense in which those words 1073
sense of beauty aims rather 41
sense of civic duty rather 103
sense of civic duty seems 40
sense of civic duty which 112
sense of danger from which 43
sense of every word which 51
sense of feeling good about 137
sense of filial duty which 49
sense of guilt even though 40
sense of guilt from which 203
sense of humor also helps 107
sense of humor even though 84
sense of humor even under 64
sense of humor will carry 54
sense of humor will often 50
sense of knowing more about 60
sense of moral duty which 62
sense of power from viewing 96
sense of power only broke 94
sense of power over others 382
sense of power over women 41
sense of power seem often 73
sense of smell also helps 46
sense of smell also plays 65
sense of smell more acute 60
sense of social duty which 86
sense of social duty would 97
sense of unity among people 114
sense to alter those parts 67
sense to spend more money 73
serum or fetal calf serum 132
serve as axioms from which 48
serve as bases from which 677
serve as bases upon which 91
serve me jolly well right 86
serve on board their fleet 81
serve on every other party 350
serve to bound other cells 52
serve to build into stone 89
serve to caulk many ships 41
serve to prove what power 69
serve to raise these bones 40
serve to weaken their sense 151
setting in which most people 144
setting in which their lives 56
setting in which these people 54
setting in which young people 213
setting it apart from others 91
setting the horse upon eight 40
setting the stage upon which 53
seven of which were built 47
seven of which were found 74
seven of which were given 42
seven of which were spent 196
seven of which were still 54
seven of which were taken 68
seven or eight days after 1239
seven or eight days later 387
seven or eight days longer 171
seven or eight days since 70
seven or eight days until 75
seven or eight feet above 2514
seven or eight feet apart 308
seven or eight feet below 862
seven or eight feet beneath 45
seven or eight feet broad 184
seven or eight feet lower 47
seven or eight feet under 62
seven or eight feet water 132
seven or eight other girls 41
seven or eight other people 187
seven or eight other women 48
seven or eight very large 62
seven or eight were taken 46
seven or eight years after 2539
seven or eight years hence 64
seven or eight years later 4039
seven or eight years longer 336
seven or eight years older 1653
seven or eight years since 1189
seven or eight years spent 74
seven or eight years under 87
seven or eight years until 181
seven or eight years which 198
seven or eight years would 108
seven or eight young people 94
seven or eight young women 69
seven to eight days after 288
seven to eight feet above 245
seven to eight feet apart 82
seven to eight years after 222
seven to eight years later 83
seven to eight years longer 145
sever the child from close 44
shade of color from white 117
shaft of light from above 374
shaft of light from heaven 77
shaking of hands took place 300
shall be acted upon until 312
shall be acted upon within 120
shall be added unto power 58
shall be based upon merit 104
shall be based upon sound 62
shall be beaten into pruning 50
shall be binding upon buyer 74
shall be binding upon either 147
shall be binding upon every 276
shall be blown into ruins 65
shall be drawn three miles 117
shall be falling from heaven 166
shall be fifty years hence 52
shall be filed such parts 188
shall be fined five cents 46
shall be fined five times 66
shall be freed from debts 71
shall be freed from enemy 60
shall be freed from every 59
shall be freed from lending 86
shall be fully made known 93
shall be given full force 142
shall be given only after 199
shall be given three months 60
shall be holding during until 62
shall be meted unto every 51
shall be quite well again 286
shall be right back where 44
shall be ruler over israel 51
shall be running what might 115
shall be seven days under 112
shall be seven other chief 40
shall be shown more fully 45
shall be smiting your breast 47
shall be staying here until 49
shall be still more amply 50
shall be still more happy 68
shall be taken even though 68
shall be taken from every 81
shall be taken from hence 61
shall be taken from table 63
shall be taken only after 138
shall be talking more about 51
shall be talking only about 83
shall be thirty days after 47
shall be under such rules 96
shall be under those larch 143
shall be valid even though 81
shall be valid only after 119
shall be valid only until 132
shall be valid only within 63
shall be voted upon within 88
shall be waiting there alone 40
shall be wiped from every 178
shall be within their place 45
shall be within their power 160
shall be within three months 82
shall be woven into wreaths 58
shall eat every tree which 148
shall go about from place 54
shall in every case award 68
shall in every case where 50
shall no doubt find waiting 89
shall no longer envy judah 52
shall no longer have anything 59
shall no longer have cause 79
shall no longer have power 97
shall no longer have reason 53
shall no longer take place 111
shall no longer talk about 58
shall the foxes have holes 186
shall the lambs feed after 129
shall the people give thanks 70
shall the stream rise above 49
shall we climb your tower 81
shall we never meet again 75
shall we sound what skill 54
shame he would have given 62
shape in which their money 54
shape it could have taken 52
shape it might have taken 171
shape the dough into balls 65
shape the dough into small 46
shape the human body ought 43
shard of white bone comes 54
share he would have taken 177
share in every good which 211
share of every other sense 56
share of people living below 121
share of total bank lending 151
share of total bank loans 99
share of total food sales 67
share of total wealth owned 55
share the error into which 52
share the gains from trade 92
share the nobel peace prize 249
share to which such child 44
sharing the nobel peace prize 53
sharp as flint from which 44
sheep to spain took place 45
sheet of dirty blue paper 59
sheet of glass upon which 62
sheet of light blue paper 66
sheet of metal from which 98
sheet of paper from beneath 55
sheet of paper from under 216
sheet of paper from which 352
sheet of paper held above 46
sheet of paper into eight 87
sheet of paper into small 145
sheet of paper into thirds 104
sheet of paper onto which 93
sheet of paper over which 159
sheet of paper these words 40
sheet of paper three times 41
sheet of paper upon which 1817
sheet of water five miles 58
sheet of water four miles 67
sheet of water from which 121
sheet of water into which 90
sheet of water like cedar 41
sheet of water like plate 49
sheet of water nine miles 64
sheet of water over which 61
sheet of water some fifty 94
sheet of water some thirty 46
sheet of water three miles 79
sheet of water upon which 79
sheet of white bond paper 154
sheet of white typing paper 171
sheet on which were glued 66
shelf on which were piled 55
shelf on which young wives 62
shift in focus from teaching 73
shift in power from local 66
shift in power took place 64
shift in thinking took place 58
shift of people from rural 150
shift of power from local 83
shift of power from state 140
shift of power took place 81
shift of water from cells 125
shift of water into cells 98
shift of writing their names 84
shift the blame onto others 164
shift the blame upon others 62
shift the focus from women 43
shift to longer wave lengths 117
shift to spend three times 47
ships is often very black 48
ships of every other nation 48
ships to carry their goods 158
ships to enter their ports 66
ships to within three miles 64
shock it would have given 74
shock of black hair falling 162
shock of black hair which 164
shock of blond hair falling 80
shock of brown hair falling 45
shock of parting from henry 65
shock of raven hair which 55
shock of white hair above 66
shock of white hair falling 45
shock of white hair stood 57
shock of white hair which 77
shoot the white girl first 286
shore in about three hours 75
shore to shore till moons 129
shore to shore years hence 382
short of knowing mark twain 54
short of meeting their needs 73
short the period during which 70
shots of which were fired 50
shout at child during visit 63
shout or raise your voice 49
showing of facts from which 99
showing the basis upon which 112
showing the exact spot where 55
showing the facts upon which 100
showing the lines along which 124
shown in every case where 49
shown the exact spot where 191
shown the world what could 44
shown to lower high blood 121
shown to moses upon mount 48
shown to occur more often 81
shows the basis upon which 59
shows the crude birth rates 40
shows the exact spot where 50
shows the first four steps 43
shows the first three modes 91
shows the first three steps 61
shows the gains from trade 46
shows the lines along which 291
