sea and land excluded all 60
sea and were cheerful and 156
sea are more dangerous and 90
sea with their families and 43
so are less suitable for 48
so are more suitable for 93
so are very suitable for 41
so bad when compared with 70
so did their children and 41
so doing have resigned her 41
so far been achieved and 129
so far been achieved with 121
so far been advanced for 42
so far been approved for 71
so far been attended with 115
so far been employed for 64
so far been examined and 52
so far been examined for 47
so far been isolated and 134
so far been mentioned are 86
so far been observed and 43
so far been observed for 57
so far been observed with 76
so far been obtained and 52
so far been obtained are 54
so far been obtained for 173
so far been obtained with 148
so far been occupied with 59
so far been possible for 167
so far been possible with 50
so far been prepared for 59
so far been produced for 65
so far been proposed and 45
so far been proposed for 173
so far been provided for 123
so far been provided with 174
so far been received for 85
so far been recorded for 68
so far been reported and 68
so far been reported for 252
so far been reported with 45
so far been reserved for 121
so far been scrawled and 85
so far been selected for 53
so far forth communion with 66
so far from abandoning his 56
so far from accounting for 152
so far from accurate that 57
so far from anywhere that 266
so far from arrogating any 59
so far from attempting any 71
so far from attempting one 42
so far from cherishing and 46
so far from cherishing them 41
so far from coalescing with 43
so far from coinciding that 58
so far from coinciding with 298
so far from compelling them 49
so far from complete that 374
so far from conceiving that 478
so far from concluding that 194
so far from concurring with 122
so far from condemning him 41
so far from condemning our 40
so far from condemning them 52
so far from conferring any 114
so far from confirming his 49
so far from containing any 134
so far from contending that 58
so far from delivering this 68
so far from despoiling them 82
so far from destroying our 66
so far from destroying them 41
so far from destroying this 58
so far from dispensing with 131
so far from displaying any 102
so far from exercising any 58
so far from exhibiting any 287
so far from exhibiting that 267
so far from explaining things 123
so far from expressing any 407
so far from finished that 41
so far from forbidding them 87
so far from forgetting her 44
so far from frequent that 51
so far from fulfilling his 65
so far from furnishing any 92
so far from furnishing him 43
so far from furnishing his 77
so far from indicating any 168
so far from indicating that 229
so far from inflicting any 56
so far from intimating that 54
so far from justifying any 63
so far from magnifying his 52
so far from mitigating her 41
so far from neglecting this 66
so far from perceiving any 62
so far from perceiving that 95
so far from performing his 40
so far from persuading her 53
so far from possessing any 297
so far from presenting any 139
so far from prevailing with 80
so far from preventing them 42
so far from preventing war 93
so far from probable that 68
so far from proceeding thus 53
so far from protecting them 79
so far from regretting his 46
so far from regretting that 176
so far from regretting this 50
so far from rescinding and 128
so far from satisfying his 97
so far from satisfying our 46
so far from satisfying them 56
so far from separating him 42
so far from soliciting his 49
so far from suggesting any 104
so far from suggesting that 424
so far from supplies for 72
so far from supporting his 46
so far from supporting this 51
so far from surprising his 44
so far from suspecting any 85
so far from suspecting her 59
so far from suspecting his 61
so far from suspecting that 272
so far from sustaining his 53
so far from testifying any 40
so far from warranting any 157
so far from washington and 44
so far from withdrawing his 51
so far from withdrawing its 42
so far have imitated his 48
so far have involved one 88
so far have mistaken his 48
so far into intimacy with 56
so far like penelope that 53
so far made indicate that 247
so far more brilliant and 81
so far more powerful than 47
so far more valuable than 110
so far nothing concrete has 73
so far nothing definite has 66
so far well grounded that 55
so far were obtained with 75
so few when compared with 40
so had been outlined for 58
so his great capacity for 48
so his only recourse was 47
so long been contending for 44
so long been deceived and 43
so long been overawed and 63
so long been prepared for 50
so long been received for 41
so long been reflecting our 44
so long been regarded with 73
so long been struggling for 70
so long when compared with 94
so low when compared with 128
so near their maturity that 140
so not much attention was 41
so not only deprives him 44
so now were restored and 94
so one must conclude that 572
so she just shrugged and 49
so she went upstairs and 101
so that data transfer can 47
so that early detection and 169
so that early diagnosis and 210
so that early treatment can 341
so that early treatment may 110
so that eddy currents are 127
so that even barnabas was 776
so that even children can 44
so that even children who 41
so that even hundreds are 75
so that even students who 87
so that four segments are 71
so that full attention can 300
so that full attention may 53
so that good decisions can 136
so that good practice can 94
so that having observed how 43
so that lady penelope had 42
so that less attention was 260
so that many children are 216
so that many children can 163
so that many children who 45
so that many patients are 141
so that many patients can 97
so that many patients with 115
so that many problems can 83
so that many students are 116
so that many students can 96
so that miss sullivan did 46
so that more accurate and 71
so that more attention can 344
so that more attention may 112
so that more attention was 108
so that more calories are 144
so that more children are 106
so that more children can 338
so that more children may 97
so that more citizens are 118
so that more emphasis can 94
so that more families can 117
so that more patients can 127
so that more powerful and 77
so that more students can 486
so that more students may 101
so that most patients are 134
so that most patients can 127
so that most patients with 42
so that most probably they 50
so that most students can 205
so that much confusion has 44
so that none remained but 77
so that none remained for 134
so that nothing definite can 96
so that nothing remained but 1562
so that nothing remained for 620
so that nothing whatever can 109
so that only patients with 93
so that other children are 109
so that other children can 502
so that other children may 190
so that other controls can 48
so that other functions can 84
so that other machines can 42
so that other programs can 550
so that other remedies may 40
so that other scholars can 148
so that other scholars may 110
so that other students are 100
so that other students can 725
so that other students may 254
so that poor families can 86
so that poor students may 115
so that some children are 168
so that some children can 44
so that some children may 118
so that some elements are 42
so that some estimate can 42
so that some estimate may 40
so that some patients are 99
so that some patients may 112
so that some patients with 40
so that some progress can 51
so that some students are 65
so that some students can 50
so that some students may 45
so that some subjects had 40
so that such children are 141
so that such children can 88
so that such patients are 119
so that such patients may 102
so that such problems are 170
so that such problems can 158
so that their accounts can 42
so that their accuracy can 154
so that their activity can 90
so that their activity may 59
so that their approach was 52
so that their attention can 111
so that their attention may 117
so that their attention was 160
so that their audience can 87
so that their benefits are 166
so that their benefits can 110
so that their benefits may 47
so that their branches may 52
so that their business may 100
so that their capacity for 165
so that their children and 693
so that their children are 702
so that their children can 3108
so that their children did 81
so that their children had 57
so that their children may 1829
so that their citizens can 102
so that their commerce with 44
so that their concerns are 150
so that their concerns can 117
so that their condition can 152
so that their condition may 144
so that their condition was 221
so that their contents are 747
so that their contents can 734
so that their contents may 492
so that their curiosity was 101
so that their currents are 58
so that their daughter can 40
so that their decisions and 129
so that their decisions are 444
so that their decisions can 141
so that their decisions may 181
so that their diameters are 127
so that their distance can 49
so that their economic and 136
so that their education and 93
so that their education may 52
so that their elements are 182
so that their elements may 41
so that their energies are 245
so that their energies can 117
so that their energies may 104
so that their families and 96
so that their families are 101
so that their families can 545
so that their families may 304
so that their functions are 341
so that their functions can 148
so that their homeland can 94
so that their husbands and 92
so that their husbands can 290
so that their husbands may 147
so that their identity and 102
so that their identity can 250
so that their identity may 152
so that their identity was 55
so that their interest and 115
so that their messages are 103
so that their operation can 92
so that their operation may 138
so that their outlines are 230
so that their outlines can 41
so that their partners can 130
so that their patients can 137
so that their physical and 170
so that their positions and 89
so that their positions are 148
so that their positions can 308
so that their positions may 167
so that their positive and 121
so that their potential can 137
so that their potential for 226
so that their presence and 123
so that their presence can 511
so that their presence does 420
so that their presence had 82
so that their presence has 48
so that their presence may 376
so that their presence was 390
so that their problems are 98
so that their problems can 130
so that their problems may 96
so that their products and 101
so that their products are 364
so that their products can 390
so that their products may 340
so that their programs can 113
so that their progress can 263
so that their progress was 198
so that their relations are 237
so that their relations may 159
so that their relations with 271
so that their services are 282
so that their services can 308
so that their services may 321
so that their situation was 61
so that their stomachs are 82
so that their students are 120
so that their students can 561
so that their students may 222
so that their surfaces are 770
so that their surfaces may 133
so that their validity can 188
so that their variations may 52
so that their voltages add 267
so that their voltages are 137
so that there remained but 431
so that there remained for 364
so that there remained not 405
so that there remained with 127
so that there scarcely was 124
so that there survived not 48
so that these accounts can 47
so that these agencies can 136
so that these behaviors are 50
so that these children are 300
so that these children can 779
so that these children may 444
so that these citizens can 41
so that these concepts are 40
so that these concepts can 123
so that these decisions are 118
so that these decisions can 132
so that these elements are 420
so that these elements can 402
so that these elements may 172
so that these equations are 170
so that these equations can 110
so that these equations may 42
so that these families can 55
so that these functions are 218
so that these functions can 162
so that these functions may 109
so that these materials are 336
so that these materials can 338
so that these materials may 133
so that these messages are 52
so that these officials may 40
so that these patients are 336
so that these patients can 310
so that these patients may 185
so that these patterns are 48
so that these patterns can 49
so that these problems are 388
so that these problems can 554
so that these problems may 178
so that these products are 67
so that these products can 135
so that these products may 147
so that these programs can 186
so that these projects can 40
so that these questions are 186
so that these questions can 139
so that these relations are 57
so that these relations may 44
so that these services are 145
so that these services can 154
so that these services may 104
so that these solutions are 42
so that these students are 69
so that these students can 510
so that these students may 55
so that these surfaces are 42
so that these variables are 142
so that these variables can 136
so that these variations are 52
so that these variations can 40
so that those affected can 119
so that those children can 40
so that those children who 367
so that those citizens who 42
so that those involved are 47
so that those involved can 322
so that those involved with 43
so that those patients who 139
so that those patients with 41
so that those students who 516
so that three separate men 98
so that what followed was 49
so that what formerly was 46
so that what happened was 82
so that what remained was 356
so that what resulted was 95
so that when children are 165
so that when combined with 424
so that when compared with 172
so that when decisions are 123
so that when expanded they 51
so that when finished they 185
so that when required they 114
so that when students are 53
so that wise decisions can 55
so that young children are 165
so that young children can 529
so that young children may 106
so that young citizens may 104
so that your attorney can 47
so that your audience can 1340
so that your audience does 104
so that your audience has 140
so that your audience may 41
so that your business can 177
so that your buttocks are 195
so that your children and 393
so that your children are 225
so that your children can 1110
so that your children may 591
so that your computer can 798
so that your computer does 88
so that your comrades who 50
so that your daughter can 109
so that your employer can 448
so that your fairness and 71
so that your fingertips are 252
so that your highness may 225
so that your kindness may 41
so that your knuckles are 143
so that your lordship may 462
so that your opponent can 408
