sap from maple trees to 113
sat clay could count the 47
sat down again close to 76
sat down again under the 284
sat down again while the 87
sat down quite close to 623
sat down right where he 77
sat down still holding the 43
sat down within sight of 106
sat there talking about the 126
sat there thinking about it 449
sat there thinking about my 71
sat there thinking about the 368
sat very still looking at 68
sat very still under the 46
sat very still until the 53
sat very still while he 126
sat very still while the 158
saw high green hills on 43
saw many large herds of 56
saw nothing funny about it 216
saw nothing funny about the 120
saw nothing which could be 57
saw some black spots on 56
saw some human bones of 56
saw some trees growing in 56
saw their faces light up 140
saw their first action in 68
saw thick smoke curling up 67
saw those eight ships to 55
say into whose hands it 40
say just about anything he 69
say just about anything in 63
say just about anything to 408
say kind words about the 41
say more about later in 100
say more below about the 55
say more later about the 207
say nothing about either the 87
say nothing about where the 66
say nothing either about the 40
say nothing until after the 89
say nothing which could be 153
say nothing which might be 99
say nothing which would be 61
say some months after the 42
say some words about my 42
say some words about the 458
say their first words at 73
say there would never be 42
say these birds build in 40
say these goods belong to 74
say these words after me 111
say three months after the 50
say were either right or 69
say what first comes to 40
say what might serve as 64
say what people spoke of 45
say what would count as 160
say when asked about it 51
say when asked about the 146
say when people asked me 41
say when talking about the 90
seal into place until it 63
see also cases cited in 475
see also model rules of 52
see also under names of 13441
see also under types of 105
see also works cited in 42
see arab league league of 76
see into whose hands the 40
see more easily found in 40
see more fully later in 44
see more fully later on 754
see more money spent on 255
see more older people on 76
see nothing funny about it 137
see nothing funny about the 48
see nothing which ought to 41
see other cases cited in 113
see pine trees growing on 48
see saul again until the 93
see some steps taken to 45
see such pleasing hours as 225
see such strong feeling in 63
see such tales within the 44
see taking place under the 43
see their faces again in 46
see their faces change so 42
see their faces light up 790
see their father alive he 44
see their money spent on 106
see these brave forms of 77
see these naked spars at 53
see three birds about the 66
see very small reason in 68
see what action could be 98
see what action would be 142
see what could still be 82
see what could touch me 42
see what jesus would do 143
see what light might be 63
see what makes sense to 41
see what method might be 40
see what might offer in 65
see what might still be 68
see what money could be 47
see what money would do 52
see what moses would do 43
see what others would do 115
see what people found so 56
see what people would do 79
see what really needs to 60
see what savings could be 45
see what sense could be 69
see what steps could be 243
see what steps might be 64
see what steps would be 49
see what still needs to 67
see what takes place at 54
see what takes place in 503
see what takes place on 49
see what terms could be 177
see what would appear to 66
see what would count as 246
see young people walking in 55
see your color storm the 51
see your father about it 90
see your point about the 242
see your white faces as 63
set down short notes of 53
set foot again within the 96
set forth above apply to 103
set forth above could be 99
set forth above shall be 954
set forth above under the 128
set forth above would be 182
set forth again about the 100
set forth below shall be 246
set forth below under the 206
set forth facts showing the 53
set forth quite fully in 52
set forth shall apply to 53
set forth under which the 56
set forth until after the 49
set into motion after the 41
set into motion plans to 56
set into motion under the 46
set into motion within the 57
set into rapid motion by 122
set into right frame of 47
set meet every night at 48
set some upper limit on 72
set upon piles where the 40
set your alarm clock to 325
set your glory above the 506
set your goals based on 43
she also lived under the 68
she also looks after the 49
she also talks about the 97
she also wrote about the 84
she came every morning to 91
she came quite close to 274
she came running after me 135
she came within sight of 1047
she done broke loose en 105
she drew quite close to 50
she drop about sending me 68
she even thinking about it 43
she ever really loved me 68
she ever talks about is 255
she ever thinks about is 125
she fell again under the 49
she felt awful about it 59
she felt badly about it 75
she felt could never be 92
she felt every nerve in 48
she felt honor bound to 74
she felt quite alone in 56
she felt quite equal to 72
she felt quite proud of 118
she felt rather proud of 61
she felt really close to 44
she felt strong hands on 49
she felt uneasy about it 83
she felt uneasy about the 134
she felt would never be 61
she grew rather stout in 48
she grew snowy white at 53
she have known about it 57
she have known about the 158
she have known anything of 57
she have known where to 45
she heard anything about the 41
she heard every sound in 55
she heard water running in 127
she hears goods selling by 74
she held strong views on 80
she just crept shyly up 67
she just keeps right on 202
she just stood looking at 77
she just stood staring at 73
she kept close watch on 48
