sad cities dwell are of 62
sat around waiting for the 480
sat calmly looking out of 46
sat numbly waiting for the 43
sat through every day of 53
saw almost every one of 41
saw another reason for the 56
saw better reason for it 79
saw beyond doubt that the 57
saw itself faced with the 80
saw julius caesar and the 58
saw little option but to 93
saw little reason for the 162
saw little reason not to 118
saw little reason why he 42
saw little reason why the 46
saw madame merle and the 60
saw something about that in 50
saw something about that on 62
saw something white lying on 235
say beyond doubt that it 40
say enough about them to 53
say little about how the 175
say little about how to 85
say little about them in 47
say something about all of 117
say something about all the 185
say something about both the 104
say something about each in 72
say something about each of 900
say something about going to 270
say something about him by 52
say something about him in 91
say something about him or 40
say something about him to 51
say something about his or 99
say something about how an 45
say something about how he 288
say something about how it 368
say something about how my 47
say something about how the 1212
say something about how to 196
say something about how we 424
say something about one of 342
say something about one or 112
say something about that in 136
say something about that to 75
say something about them as 110
say something about them in 174
say something about this in 267
say something about this to 155
say something about two of 63
say something about who we 145
say something about why he 41
say something about why it 93
say something about why the 105
say something about why we 57
say something about you as 122
say something about you to 43
say something civil for me 44
say something rather than to 86
say something which can be 77
say something which has no 49
say something which may be 202
say something which they do 127
say twelve months for the 73
say whether really and in 43
say without doubt that the 134
seat without waiting for an 57
see almost every day in 99
see almost every man as 54
see almost every one of 74
see another human being as 152
see another human being in 125
see another nation fit to 49
see another reason for the 162
see another reason why it 53
see another reason why the 183
see beyond doubt that the 58
see fairly easily that the 56
see little option but to 62
see little reason for the 136
see little reason not to 82
see little reason why he 40
see little reason why it 53
see little reason why the 81
see myself drawn out of 85
see myself either dead or 51
see myself getting out of 63
see myself looking out of 46
see number seven one of 52
see oxford level with the 55
see rabbit getting out the 50
see whether anything can be 646
see whether anything was in 54
see without looking that he 58
see yonder pigeon that is 49
set almost flush with the 341
set before every one of 137
set farther apart than the 51
set ground rules for the 422
set higher goals for the 58
set itself right with the 81
set little mills for the 85
set myself above you in 63
set myself right with it 59
set myself right with my 154
set myself right with the 309
set strict rules for the 66
set target dates for the 95
set target ranges for the 52
sex object rather than as 136
she almost asked him to 50
she almost cried out at 84
she almost cried out in 278
she almost feared him at 55
she almost hoped that he 48
she almost longed for the 49
she already knows how to 431
she already knows that the 74
she always asked him to 67
she always began with the 58
she always cared for us 68
she always comes out on 48
she always feared that he 65
she always knows how to 134
she always picks him up 40
she always sided with the 58
she always slept with the 78
she always spoke with the 78
she always thinks she is 47
she always tried not to 68
she became aware for the 192
she became aware that an 71
she became aware that he 1278
she became aware that in 61
she became aware that it 573
she became aware that the 2853
she became bored with it 43
she became bored with the 137
she became drunk with the 73
she became known for the 60
she become aware that the 41
she boiled water for tea 49
she called after him as 1768
she called after him in 227
she called after them as 118
she calmly waits for the 112
she dreaded telling him the 48
she fights strong and the 122
she groped about for the 53
she hardly knows how to 118
she joined hands with the 80
she jumped right out of 70
she learned later that he 48
she learned later that the 58
she looked about for an 64
she looked about for the 194
she looked about her as 396
she looked about her at 393
she looked about her in 559
she looked about her on 71
she looked about her to 88
she looked after all the 64
she looked after him as 278
she looked after him in 71
she looked anything but the 42
she looked every bit as 544
she looked every bit of 91
she looked every bit the 305
she looked every day of 118
