sandals crossing a strip of 49
satisfy myself i shall go 50
scatter diagram a graph of 50
schools became a scene of 135
scoffed without a shock to 40
searched through a stack of 152
sections showed a layer of 53
secured before a search is 53
secured through a study of 102
service attain a level of 42
service before i stood at 49
service covering a period of 87
service covers a period of 97
service through a period of 67
sessions covering a period of 57
settled beyond a doubt by 80
shelter behind a clump of 81
shelter behind a point of 57
shortly become a nation of 46
shortly before a meeting of 55
shortly before i began my 82
shortly before i began to 59
shortly before i moved to 46
shuffle through a stack of 150
shuffling through a stack of 339
sixteen marrying a woman of 48
slavery became a topic of 53
slipped through a crack in 566
society enters a period of 61
society places a value on 82
society reaches a level of 61
society through a period of 102
society through a study of 114
society toward a state of 81
society without a sense of 126
society without a state is 47
soldier dipped a sponge in 40
soldier pointing a rifle at 42
soldier without a sword in 66
solution causes a change in 66
solution through a layer of 77
solution through a piece of 124
solution yields a value of 53
somehow convey a sense of 67
squeeze through a crack in 46
started building a house in 68
started building a house on 90
started noticing a change in 58
started toward a group of 46
stations through a period of 64
statute allows a court to 92
statute created a cause of 43
statute creates a cause of 188
statute creates a right in 46
statute creates a right of 76
statute creates a right to 107
stepped around a group of 44
stepped behind a clump of 74
stomach without a sense of 115
stopped before a group of 129
stopped before a house in 194
stopped before a house of 99
stopped before a house on 51
stopped before a stand on 56
stopped behind a clump of 80
stopped beside a clump of 49
stopped beside a group of 87
stopped beyond a doubt at 71
stopper carrying a piece of 43
stories convey a sense of 95
stories without a trace of 43
straining through a piece of 66
straining through a sieve or 53
streamed through a crack in 66
streets without a place to 44
strolling through a field of 42
student writes a paper on 40
studies covering a period of 135
studies follow a group of 63
studies spanning a period of 41
stumble across a flick of 66
subject became a topic of 54
subject before a meeting of 65
subject matter a claim is 100
subject through a study of 76
suffering through a period of 165
summons before a judge at 51
support through a grant to 50
surface causes a change in 65
surface exerts a force on 108
surface through a layer of 56
surveys covering a period of 54
survive through a period of 90
survive without a sense of 97
surviving spouse a right of 78
surviving spouse a right to 116
surviving spouse a share of 44
systems toward a state of 44
