sad mother was searching for 45
sang gaily all around her 46
sang hymns and prayed and 43
sang hymns and prayed for 57
sang while they worked and 40
sat close and raised his 41
sat grave and silent for 84
sat sipping her coffee and 40
sat sipping his coffee and 53
sat still and looked out 254
sat still and silent and 49
sat still and silent for 173
sat still and thought for 40
sat still and waited for 411
sat still and worked out 63
sat still long enough for 117
sat tight and waited for 211
sat under his preaching for 51
sat under his preaching with 49
sat under his shadow with 198
sat where she always sat 46
sat while she donned her 60
sat wishing for misery and 64
saw every one around them 96
saw opening out before him 50
saw simon and andrew his 416
saw spread out before her 46
saw spread out before him 252
saw spread out before them 195
saw where his marble was 107
say about her except that 108
say about him behind his 68
say about him except that 215
say about his feelings for 51
say about that except that 48
say about them except that 255
say about this except that 234
say about this matter and 101
say anything and neither did 440
say anything you should not 63
say black one minute and 48
say grace both before and 105
say truly and firmly that 40
say where one begins and 917
say witty and clever things 111
see about his cousin that 84
see about his dinner and 67
see again dear england and 52
see herbs and plants are 169
see people all around them 51
see place and duties for 101
see sails and shipping that 55
see spread out before him 80
see spread out before them 90
see spread out before you 93
see trees and houses and 40
see under our banner all 80
see where his brother was 50
see where one begins and 143
see where our feelings lead 53
see where this caution and 40
set about doing something for 60
set about his duties with 233
set apart for ladies and 57
set apart for prayer and 850
set apart for prayer for 61
set apart for public use 943
set apart for sacred use 423
set apart for special use 110
set aside all doubts and 41
set aside all regard for 63
set aside and another one 125
set aside any motive for 78
set aside for another day 113
set aside for another use 203
set aside for blacks and 46
set aside for carrying out 65
set aside for church and 99
set aside for common use 165
set aside for family and 72
set aside for family use 98
set aside for further use 62
set aside for future use 1715
set aside for income tax 70
set aside for indians and 50
set aside for meetings and 55
set aside for negroes and 50
set aside for planning and 79
set aside for prayer and 737
set aside for public use 1879
set aside for sacred use 85
set aside for special use 225
set aside for sports and 43
set aside for training and 171
set aside her coffee cup 41
set aside her knitting and 49
set aside his coffee and 48
set aside his coffee cup 48
set aside his doubts and 61
set aside his eldest son 73
set aside his guilty plea 47
set forms for actions and 108
set goals and attain them 109
set goals and pursue them 89
