scale down their expectations of 86
scale even more prodigiously in 42
scene bears some resemblance to 52
season your sole subsistence of 58
seeds have been distributed to 52
seeds were sown plentifully in 85
seizing upon those territories of 71
sense have been accomplices in 43
setting forth full particulars of 169
setting forth such particulars as 316
shall also have jurisdiction in 261
shall also have jurisdiction of 194
shall also have jurisdiction to 605
shall deem most advantageous to 93
shall deny such registration if 248
shall during their confinement be 70
shall ever have opportunity to 40
shall feel more comfortable if 63
shall feel much satisfaction in 49
shall file such certificate in 54
shall find more satisfaction in 70
shall find such abandonment to 45
shall give full opportunity to 229
shall give full particulars of 134
shall give full satisfaction to 43
shall give some particulars of 80
shall give some satisfaction to 119
shall give such instructions as 47
shall give such instructions to 53
shall give such particulars as 59
shall have been accompanied by 65
shall have been accumulated to 51
shall have been adjudicated in 63
shall have been appropriated by 149
shall have been appropriated to 74
shall have been ascertained as 48
shall have been ascertained by 323
shall have been ascertained in 79
shall have been ascertained or 46
shall have been constructed by 64
shall have been constructed in 86
shall have been distributed to 73
shall have been established as 297
shall have been established at 73
shall have been established by 671
shall have been established in 1082
shall have been established on 124
shall have been established or 52
shall have been established to 61
shall have been indemnified to 135
shall have been promulgated it 66
shall have been promulgated on 93
shall have been recommended by 306
shall have been recommended to 131
shall have been regenerated by 87
shall have been substituted in 51
shall have been surrendered to 124
shall have been transferred by 108
shall have been transferred in 50
shall have been transferred on 67
shall have been transferred or 55
shall have been transferred to 507
shall have been transmitted by 58
shall have been transmitted to 505
shall have free opportunity to 61
shall have full jurisdiction in 62
shall have full jurisdiction to 172
shall have full opportunity of 99
shall have full opportunity to 426
shall have great satisfaction in 244
shall have made satisfaction to 71
shall have more opportunity of 42
shall have more opportunity to 83
shall have much satisfaction in 156
shall have sole jurisdiction to 112
shall have some observations to 78
shall have some occurrences to 43
shall have some opportunity of 65
shall have some understanding of 48
shall have such compensation as 59
shall have such jurisdiction as 725
shall have such jurisdiction in 97
shall have such jurisdiction of 61
shall have such jurisdiction to 85
shall leave nothing unsatisfied by 74
shall make full compensation to 339
shall make full satisfaction to 52
shall make some observations in 54
shall make some observations on 449
shall make such adjustments as 56
shall make such adjustments in 68
shall make such arrangements as 1048
shall make such compensation to 95
shall make such conveyances of 129
shall make such distribution of 255
shall make such observations as 60
shall soon have opportunity to 57
shall suit their convenience to 45
shall take care effectually to 67
shall take great satisfaction in 103
shall take some opportunity of 49
shall take such legislative or 84
shall take your instructions in 66
shall tend unto preservation of 40
shall upon their promulgation be 281
shalt take thine inheritance in 97
shape bears some resemblance to 77
shape during early development of 43
shape have been transferred to 40
shell bears some resemblance to 81
shied away from acknowledging the 43
shied away from involvement in 102
shied away from participating in 69
shift away from agriculture in 146
shift away from agriculture is 52
shift away from agriculture to 195
shift away from concentrating on 44
shift away from manufacturing to 291
shift from heavy manufacturing to 116
shook their heads impatiently as 42
shops have been established in 126
shops have been established to 40
short there were adventurers of 40
shows very great differences in 40
since been more conspicuous to 89
since been used extensively as 48
since been used extensively by 101
since been used extensively in 187
since been used extensively to 77
since there must necessarily be 70
since there were differences in 99
since there were practically no 473
since there will undoubtedly be 70
sites have been established at 50
sites have been established by 93
sites have been established in 185
sites have been established to 96
sites have been interpreted as 398
spend more time concentrating on 285
spend more time investigating the 120
spend more time participating in 159
spend more time understanding the 90
spend much time contemplating the 81
spend much time investigating the 92
spend some time concentrating on 57
spend some time contemplating the 55
spend some time investigating the 170
spend some time understanding the 141
spend their time concentrating on 47
spend their time exclusively in 57
spend their time investigating the 41
spend your time concentrating on 129
spent four years investigating the 49
spent many years investigating the 341
spent more time concentrating on 64
spent more time investigating the 83
spent more time participating in 83
spent much time contemplating the 70
spent much time investigating the 170
spent some time investigating the 303
spent three years investigating the 87
springs from some resemblance in 54
staff from other departments to 52
staff have been transferred to 61
state made some compensation to 44
steel from room temperature to 58
stems from their involvement in 89
stems from their relationship to 88
stems from their understanding of 161
stems from their unwillingness to 110
steps have been implemented in 44
steps have been transmitted to 42
still bearing some resemblance to 45
still bears some resemblance to 186
still been seen occasionally in 60
still bore some resemblance to 260
still feel more comfortable in 46
still have some flexibility in 66
still have some opportunity to 43
still have their headquarters in 67
still more trying obstructions of 49
still some wish importunate to 99
still used very extensively in 41
still very much constrained by 70
story bears some resemblance to 170
study from early adolescence to 148
study have been established in 51
study have been interpreted as 43
study well these caricatures of 51
study will also investigate the 95
style bears some resemblance to 95
