sac is lined with a 199
sad to admit that i 55
sang the hymns with a 43
sat at lunch with a 62
sat at table for a 82
sat at table with a 441
sat he could see a 114
sat in court with a 46
sat in front and i 70
sat in front with a 148
sat in shock for a 71
sat so close that i 47
sat so still that a 88
sat so still that i 42
sat up again with a 107
sat up front with a 50
sat up talking for a 72
saw an indian with a 212
saw an opening for a 417
saw at first was a 272
saw in action than a 92
saw in every man a 181
saw in world war i 65
saw it again and i 53
saw my father for a 69
saw my father with a 70
saw my mother and i 44
saw my mother with a 45
saw no basis for a 57
saw no cause for a 55
saw no light but a 56
saw no place for a 130
saw no reason for a 1262
saw no reason that a 40
saw no reason that i 49
saw no reason why a 2993
saw no reason why i 4219
saw on landing was a 43
saw the basis for a 80
saw the blood and i 54
saw the child was a 45
saw the first day i 48
saw the first one i 49
saw the leather was a 75
saw the leaves and i 48
saw the light and i 43
saw the light was a 91
saw the opening for a 64
saw the rider was a 42
saw the rooms that i 86
saw the scots had a 53
saw the woman with a 58
saw the world with a 251
say at times with a 53
say by cutting off a 81
say he could get a 52
say he never had a 227
say he never saw a 87
say he would die a 211
say in closing that i 206
say in passing that a 97
say in passing that i 1045
say in reply that a 48
say in reply that i 379
say in writing that i 40
say it again and i 87
say it again that i 52
say it began with a 46
say it gives them a 128
say my father was a 300
say my glory was i 446
say my mother was a 133
say on learning that i 40
say or imply that a 113
say the bible was a 43
say the child has a 72
say the child was a 41
say the fault was i 41
say the house has a 55
say the people that i 365
say the tribe that i 74
say the words and i 56
say the words but i 40
say the words that i 144
say the words with a 51
say to brady that i 50
say to people that i 150
say up front that i 220
say we could get a 44
say we never had a 65
say we start with a 53
seal the edges with a 157
seal the joint with a 42
seal the opening with a 125
seal the title with a 63
seal the wound with a 56
seat he calls for a 40
seat in front and a 123
seat of honor with a 151
seat of learning and a 308
seat of louis was a 40
seat of power and a 84
seat of power for a 106
seat of power was a 56
seat of power with a 42
seat of which was a 105
see an indian with a 65
see an opening for a 113
see as anything but a 48
see at first how i 42
see at first was a 210
see at times with a 49
see if anything rings a 40
see in every man a 175
see in vision that i 63
see is mixed with a 63
see it again and i 80
see it again for a 363
see it ended ere i 56
see it shine and a 61
see me again and i 361
see me again but i 58
see me again for a 327
see me again that i 62
see me again with a 45
see me alone for a 108
see me every day i 42
see me happy for a 42
see me today and i 71
see my father and i 129
see my father for a 100
see my father was a 175
see my father with a 64
see my mother and i 154
see my mother for a 169
see my mother with a 92
see my smile and i 78
see no basis for a 330
see no cause why i 187
see no place for a 95
see no reason for a 1624
see no reason that a 140
see no reason that i 53
see no reason why a 18840
see no reason why i 10928
see the basis for a 143
see the beauty that i 51
see the child for a 120
see the child with a 61
see the danger that a 41
see the derby with a 56
see the empty path a 42
see the first use i 105
see the girls that i 67
see the house and i 64
see the house that i 53
see the image that i 43
see the light and i 90
see the light for a 97
see the light that i 42
see the people that i 121
see the place and i 87
see the point and i 43
see the point that i 68
see the reason for a 317
see the reason that a 44
see the reason why a 355
see the reason why i 347
see the river and a 58
see the search for a 86
see the women are a 58
see the world and a 82
see the world and i 158
see the world for a 209
see the world that i 52
see the world with a 828
see us again for a 67
set an alarm for a 62
set as though for a 49
set at upper end o 61
set in again with a 52
set in motion and a 394
set in motion and i 82
set in motion for a 1471
set in motion than a 777
set in motion was a 261
set in motion with a 2346
set in order and a 55
set in order for a 284
set in order with a 51
set in place and a 203
set in place for a 173
set in place with a 640
set in train for a 77
set in world war i 594
set is broke and i 46
set it afire with a 176
set it apart for a 258
set it aside for a 3741
set it aside with a 176
set it loose with a 59
set me hunting for a 58
set me thinking and i 111
set me thinking for a 64
set me thinking how i 68
set of axioms and a 613
set of axioms for a 511
set of books and a 472
set of books and i 47
set of books for a 628
set of books that i 137
set of books was a 110
set of books with a 154
set of cards and a 215
set of cards for a 279
set of cards with a 169
set of cases and a 43
set of cells with a 100
set of chips for a 71
set of clothing and a 44
set of clubs and a 206
set of doors was a 40
set of drums and a 97
set of earrings and a 118
set of facts and a 718
set of facts but a 139
set of facts for a 154
set of facts has a 166
set of facts that a 90
set of facts that i 87
set of facts with a 95
set of files and a 164
set of files for a 173
set of files with a 100
set of forms and a 159
set of forms for a 69
set of genes and a 207
set of genes for a 119
set of goals and a 1418
set of goals for a 444
set of goals with a 44
set of ideals and a 255
set of items and a 326
set of items for a 236
set of items that a 94
set of items with a 170
set of lines and a 41
set of lines for a 90
set of lines with a 164
set of meanings and a 135
set of meanings for a 98
set of names for a 46
set of needs and a 125
set of nodes and a 1567
set of nodes and e 1127
set of nodes and l 60
set of nodes with a 196
set of norms and a 345
set of norms for a 101
set of notes and a 176
set of notes for a 705
set of notes that i 41
set of pages for a 44
set of parts for a 155
set of people and a 294
set of people for a 51
set of people that i 205
set of people with a 460
set of pipes and a 44
