sad while before you can 71
sat close beside her and 126
sat close beside him and 74
sat looking around him with 47
sat staring before her with 45
sat staring before him with 56
saw every common jew and 51
saw henry depart with his 48
saw kitty morgan cut dead 78
saw plain enough that she 40
saw quite clearly now that 142
saw quite clearly that all 48
saw quite clearly that her 42
saw quite clearly that his 130
saw quite clearly that she 67
saw quite clearly that they 103
saw quite clearly that this 119
saw right through her and 43
saw right through him and 70
saw running toward them two 74
saw shine through her was 47
say about someone who has 168
say anything better than that 215
say anything except that she 129
say anything except that they 103
say anything except that you 67
say anything further than that 412
say anything unless you are 45
say grace before each meal 55
say quite openly that they 76
say quite simply that they 122
seal began twisting his head 81
seam after another and you 63
seas again became her own 66
seat large enough for two 123
seat sighing through all her 516
see anything beyond his own 58
see every object with and 50
see irene diamond and lee 48
see others suffer does one 72
see people deciding that they 42
see quite clearly now that 198
see quite clearly that all 87
see quite clearly that his 93
see quite clearly that our 57
see quite clearly that she 99
see quite clearly that they 161
see quite clearly that this 215
see quite clearly that you 240
see right through her and 138
see right through him and 269
see right through them and 113
see right through you and 160
see simon glover and his 46
see stand before you and 76
see strong reasons for not 42
see where pieces had got 130
set about building his new 53
set about building his own 223
set about building its own 140
set about carrying out her 52
set about carrying out his 526
set about carrying out its 52
set about carrying out this 84
set about carrying them out 71
set about figuring out how 106
set about scooping them out 97
set about searching for them 52
set about securing her new 73
set apart another day for 43
set aside solely for this 53
set aside unless they are 120
set right before all men 65
sex drive reaches its peak 96
she again nodded her head 40
she again raised her head 109
she again rested her head 44
she again stated that she 49
she again turned her head 69
she again turned with her 51
she asked before she had 41
she asked eagerly for song 80
she asked whether she had 61
she asked whether she was 47
she asked whether they had 99
she began carrying them off 53
she began dropping them far 42
she began searching for her 50
she bowed before him and 63
she cared deeply for her 81
she cared deeply for him 180
she cared enough for him 164
she cared enough for you 42
she cared little for any 52
she cared little for her 125
she cared little for him 89
she cared little for his 66
she cared little for that 57
she cared little for them 52
she cared whether she was 71
she climb beyond her own 53
she could accept that she 53
she could afford and was 52
she could afford for her 41
she could afford her own 116
she could afford them any 53
she could almost hear her 652
she could almost hear him 680
she could almost hear his 496
she could almost hear them 172
she could almost read his 166
she could almost see her 307
she could almost see him 464
she could almost see his 375
she could almost see that 55
she could almost see them 119
she could already read and 72
she could already see her 44
she could already see him 72
she could already see that 182
she could always get her 76
she could always get out 45
she could always get rid 46
she could always put her 56
she could always say she 190
she could always say that 111
she could always see him 49
she could always use her 40
she could answer for her 54
she could answer her own 126
she could arrange for her 74
she could arrange for him 130
she could arrange for them 58
she could arrange her own 46
she could assert her own 89
she could assist them with 44
she could assure him she 75
she could assure him that 450
she could assure them that 40
she could barely get her 278
she could barely get out 656
she could barely hear her 223
she could barely hear him 1048
she could barely hear his 153
she could barely hear them 110
she could barely put one 85
she could barely read and 119
she could barely see and 42
she could barely see her 272
she could barely see him 441
she could barely see his 253
she could barely see out 190
she could barely see them 116
she could become one with 43
she could before she had 62
she could before she was 53
she could better deal with 40
she could better see his 64
she could borrow his car 45
she could choose her own 437
she could clearly see her 154
she could clearly see him 46
she could clearly see his 204
she could clearly see that 561
she could decide how she 53
she could defend her own 60
she could design her own 41
she could devote all her 282
she could endure all things 55
she could ensure that her 111
she could escape with her 75
she could esteem him for 111
she could figure him out 85
she could figure out her 49
she could figure out how 1052
she could figure out that 53
she could figure out was 61
she could figure out who 135
she could figure out why 199
she could figure that out 171
she could figure them out 44
she could figure things out 141
she could figure was that 204
she could follow her own 136
she could follow him and 44
she could follow with her 52
she could forget all her 83
she could forget all that 62
she could forget her own 123
she could forget him and 46
she could forget she was 62
she could forget that she 209
she could handle and she 42
she could handle for one 96
she could handle her own 307
she could handle this one 49
she could hardly ask for 60
she could hardly ask him 107
she could hardly bear her 101
she could hardly bear him 63
she could hardly bear his 41
she could hardly bear this 50
she could hardly deal with 61
she could hardly get any 46
she could hardly get her 503
she could hardly get him 59
she could hardly get out 694
she could hardly get them 52
she could hardly hear her 194
