sac that acts as a 227
sang his songs to a 40
sap was used as a 196
sat all three in a 67
sat far back in a 102
sat far back on a 41
sat for days at a 76
sat for years in a 78
sat her down at a 204
sat her down in a 833
sat her down on a 1039
sat him down at a 388
sat him down by a 79
sat him down in a 1203
sat him down on a 1367
sat him down to a 169
sat his wife on a 54
sat out back in a 115
sat them down at a 133
sat them down in a 194
sat them down on a 286
sat them down to a 95
saw all hope of a 41
saw all life as a 65
saw and felt as a 84
saw and felt as i 60
saw and felt in a 115
saw and heard as a 124
saw and heard as i 109
saw and heard at a 41
saw and heard in a 405
saw and heard on a 70
saw and took up a 40
saw any hope of a 45
saw any kind of a 49
saw any part of a 40
saw any sign of a 186
saw each other as a 91
saw each other at a 381
saw each other in a 312
saw each other on a 276
saw has teeth of a 86
saw her bathing in a 45
saw her body as a 41
saw her come to a 69
saw her coming at a 42
saw her draw in a 46
saw her duty as a 40
saw her face as i 46
saw her face in a 140
saw her give me a 45
saw her leave in a 48
saw her life as a 254
saw her lift up a 58
saw her more as a 133
saw her name in a 50
saw her name on a 165
saw her once at a 118
saw her once in a 162
saw her only as a 737
saw her only at a 50
saw her pick up a 323
saw her role as a 201
saw her speak to a 54
saw her take up a 54
saw her work as a 191
saw him also as a 64
saw him come in a 52
saw him come to a 164
saw him coming at a 80
saw him coming in a 57
saw him draw in a 43
saw him give me a 78
saw him hold up a 49
saw him just as i 111
saw him leave in a 58
saw him less as a 45
saw him look at a 70
saw him more as a 292
saw him once as a 48
saw him once at a 270
saw him once in a 500
saw him once on a 41
saw him only as a 1114
saw him only at a 136
saw him only in a 54
saw him pick up a 702
saw him riding in a 50
saw him rise to a 53
saw him speak to a 172
saw him stop at a 81
saw him take up a 169
saw his body as a 42
saw his book as a 115
saw his dream of a 260
saw his duty as a 100
saw his duty in a 73
saw his face as a 86
saw his face as i 44
saw his face in a 293
saw his face on a 41
saw his life as a 649
saw his life in a 43
saw his name in a 268
saw his name on a 374
saw his plan as a 67
saw his role as a 689
saw his role in a 51
saw his task as a 239
saw his theory as a 76
saw his wife as a 170
saw his wife in a 265
saw his work as a 909
saw his work in a 76
saw how much of a 87
saw its role as a 256
saw its task as a 46
saw new york as a 382
saw nor heard of a 444
saw not much at a 118
saw not only as a 145
saw one case in a 50
saw one case of a 62
saw one hanging on a 237
saw one leaping at a 52
saw one once in a 89
saw one side of a 44
saw that even if i 47
saw that even in a 61
saw that life is a 102
saw that once in a 56
saw that only by a 48
saw that there is a 1530
saw them come to a 52
saw them coming in a 64
saw them form in a 48
saw them living in a 46
saw them more as a 71
saw them once in a 106
saw them only as a 323
saw them only at a 96
saw them only in a 42
saw they were at a 43
saw they were in a 416
saw they were of a 43
saw they were on a 93
saw this book as a 98
saw this case as a 111
saw this film as a 66
saw this more as a 95
saw this move as a 459
saw this once in a 59
saw this only as a 166
saw this plan as a 69
saw this post in a 138
saw this sign in a 64
saw this step as a 72
saw this task as a 64
saw this time as a 47
saw this trip as a 51
saw this work as a 186
saw two deer at a 47
saw was made by a 108
saw was part of a 272
saw you come in a 72
saw you come in i 64
saw you look at a 43
saw you once in a 56
saw you pick up a 42
saw you were in a 76
say and there is a 105
say any damn thing i 41
say any more to a 50
say any such of a 259
say can only be a 56
say for lack of a 99
say for sure if i 112
say for want of a 108
say her name in a 90
say his name in a 111
say his wife is a 45
say how much of a 728
say may come as a 66
say new york is a 64
say one must be a 46
say one word as a 64
say one word at a 159
say one word of a 72
say one word on a 81
say out loud as i 59
say out loud in a 57
say she died in a 62
