sad horns around the floor 89
sat looking across the river 55
sat looking across the table 102
sat looking through the light 42
sat right across the aisle 70
sat right across the table 103
sat staring across the table 86
saw about twenty or thirty 118
saw camel trains on shore 43
saw dense clouds of smoke 125
saw either before or since 78
saw large crowds of people 41
saw large flocks of birds 44
saw large flocks of geese 50
saw large flocks of sheep 60
saw light through the trees 41
saw miriam kneeling in front 49
saw seven houses of brick 117
saw sitting before the fires 46
saw small groups of people 83
say about anyone or anything 122
say anything before it began 75
say anything further in order 44
say anything severe it would 44
say grace before we begin 48
say today should be taken 97
say which course of action 120
seal until opened in court 115
sec period turned up again 64
see anything through the smoke 174
see beauty linked to beauty 48
see buyer beware in tours 154
see coral plants of every 58
see either philip or harry 63
see final column of table 59
see first column of table 63
see flora before the evening 78
see hearings before the house 111
see james instead of simon 57
see joint chiefs of staff 250
see large crowds of people 43
see large groups of people 67
see light through the trees 46
see moral issues in terms 42
see people standing in front 54
see right through the house 184
see right through the walls 72
see right through the whole 43
see small groups of people 112
see which course of action 56
see which should be first 129
set about adorning the house 61
set about building the first 185
set about building the house 48
set about painting an image 79
set about removing the table 46
set about scouring the rooms 57
set about searching the house 69
set aside except in cases 75
set aside twenty to thirty 52
set aside unless the court 54
set close beside the child 175
set either before or after 88
set right before the world 68
set right sooner or later 46
set singers before the altar 61
set whole nations in motion 128
sex appeal enough to budge 68
she added before he could 338
she again filled the fatal 80
she alone seemed to watch 54
she asked before he could 193
she asked whether he could 63
she asked whether he would 145
she asked whether it would 141
she badly needed the money 44
she began admiring the house 130
she began slowly to mount 51
she bends across the table 57
she broke through the crowd 77
she broke through the trees 52
she burst through the doors 70
she burst through the front 271
she comes across to others 42
she comes before the world 124
she comes bounding on tiptoe 86
she could accept the offer 40
she could afford to allow 56
she could afford to build 55
she could afford to carry 43
she could afford to dress 77
she could afford to laugh 233
she could afford to marry 76
she could afford to offer 40
she could afford to relax 133
she could afford to smile 189
she could afford to spare 62
she could afford to spend 344
she could afford to stand 44
she could afford to waste 59
she could always be found 245
she could answer he added 55
she could answer the phone 67
she could around the house 55
she could assign no cause 51
she could assign no reason 138
she could attend the meeting 42
she could attend the wedding 47
she could become the first 44
