so are small properties with 189
so does dante constantly bring 56
so does every shopkeeper with 57
so doing often disappoint both 44
so far above experience that 46
so far saved appearances that 47
so few people understand this 44
so one might anticipate that 47
so she could understand him 111
so she could understand how 81
so she could understand why 46
so she would understand that 133
so that every individual and 44
so that every individual can 456
so that every individual had 41
so that every individual has 320
so that every individual may 303
so that every individual who 132
so that every preparation was 56
so that large quantities are 100
so that large quantities can 123
so that later generations can 114
so that later generations may 313
so that local authorities can 276
so that local government can 93
so that others understand and 47
so that people everywhere can 165
so that people everywhere may 109
so that people understand and 41
so that people understand that 75
so that people understand them 46
so that senior management can 246
so that social scientists can 46
so that though conscience may 46
so that undue excitement and 63
so that valid conclusions can 183
so they could understand and 111
so they could understand how 87
so they could understand why 51
so they would understand and 43
so they would understand how 87
so they would understand that 247
so they would understand why 69
so you could understand them 45
so you would understand why 45
