sales tax was increased from 83
salts that can condense into 56
scale with that expected from 131
scare them and unsettle their 57
scene that all politics went 126
scene that had probably left 50
scent that was uniquely hers 146
scout and his companion were 42
seaman had not advanced many 49
seamen who had deserted from 204
seamen who had deserted their 175
search for all possible means 111
search for and appraise health 86
search for and retrieve data 126
search for new insights into 171
search out and identify those 43
season being far advanced when 90
season does not commence till 67
season had now advanced into 40
season was far advanced when 56
seated with his habitual worn 62
seems sad and stricken down 99
seems that his goodness will 74
sends you her sweetest kiss 66
sense than that enchanting dell 58
sense that they abstract from 49
sense that they consider only 92
sense that they describe what 59
sense things with mystical hues 135
serial and one parallel port 188
serve him for withdrawing from 73
serve his own personal ends 62
serve our own purposes into 106
seven seas and extended over 43
shake off this pedantic yoke 51
shaking her head violently from 60
shaking his head meanwhile from 45
shaking his head slightly from 57
shaking his head violently from 101
shall add one instance more 104
shall add one instance only 50
shall all this serenading cease 89
shall and may conceive great 64
shall and may lawfully sell 64
shall and may likewise from 72
shall bid our conflict cease 93
shall die with unshaken faith 56
shall fix our attention upon 42
shall for all purposes have 523
shall get our ultimate view 50
shall kings bring presents unto 465
shall lay his tranquil hand 45
shall lie with mistress ford 100
shall not long continue love 46
shall one day organize their 137
shall put this horseshoe into 93
shall say that justifying faith 99
shall see for yourself what 66
shall see his medicine face 53
shall see its likeness more 150
shall see our children stop 262
shall sit with luminous holy 53
shall then and thereafter have 56
shall try and persuade some 49
shall use all possible care 65
shall use all possible means 149
shame for his hairless body 53
shams and its financial jobs 41
share them with everyone else 40
share with you excerpts from 53
sharing with him whatever good 47
sheep that had wandered away 42
sheep that had wandered from 41
sheep that has wandered from 40
sheep who had wandered from 44
shews that they graduate into 43
shift are not entirely clear 42
shift that has occurred from 86
shift that has occurred over 94
ships and two frigates were 56
ships that had returned from 40
ships that had suffered most 83
shire and two burghers from 62
shire and two citizens from 95
shirt and his trousers were 48
shirt she had borrowed from 59
shock she had received from 99
shock she had received when 60
shook her head slightly from 58
shook her head violently back 40
shook her head violently from 254
shook his head dubiously over 60
shook his head dubiously when 69
shook his head gloomily when 49
shook his head slightly from 88
shook his head slightly when 45
shook his head solemnly over 56
shook his head violently back 57
shook his head violently from 296
shook off his friendly hand 43
shops are big business these 58
short head and splendid arch 53
showing that his services were 46
shown that this approach leads 90
shown that this approach will 57
shown that this condition will 49
shows how this supposed fact 43
shows that its socialist ideas 154
sight and her entrance into 43
sight than that majestic home 124
signs that this situation will 103
since and has recently been 44
since each man retained more 44
since god has bestowed upon 44
since his own children were 83
since his own quarters were 86
since she had actually seen 46
since she had awakened from 47
since she had recently been 45
since she had returned from 719
since she had returned home 356
since she had suffered from 66
since she was eighteen years 353
since she was fourteen years 553
since she was nineteen years 96
since then had produced three 140
since then had suffered from 42
since then has suffered from 59
since they are commonly used 283
since they are compiled from 42
since they are computed from 96
since they are contingent upon 60
since they are detached from 60
since they are distinct from 65
since they are divorced from 45
since they are excluded from 293
since they are intended only 78
since they are isolated from 107
since they are normally used 51
since they are obtained from 310
since they are obtained over 208
since they are obviously more 104
since they are probably more 106
since they are produced from 156
since they are scarcely ever 100
since they are somewhat more 163
since they bear directly upon 80
since they had acquired their 44
since they had actually been 40
since they had declared their 50
since they had departed from 121
since they had finished their 40
since they had formerly been 47
since they had obtained their 49
since they had received their 100
since they had recently been 77
since they had returned from 498
since they had withdrawn from 62
since this has recently been 53
since this was possible only 40
since you are resolved upon 40
singled out for attention from 59
singled out for attention here 135
singled out for attention were 61
singled out for attention when 46
singled out for exclusion from 140
siren who had awakened these 57
sites that are distinct from 99
skill she has bestowed upon 142
slain was not uncommon among 41
slimy eel and speckled frog 75
slips are all standard form 48
sloop and its contents were 78
small head and delicate face 50
smile did not disappear from 44
smile lit his handsome face 43
smile off his handsome face 48
smiling with his toothless mouth 60
snack bar and souvenir shop 89
snare for that ignorant young 67
socks and long trousers when 158
soils that are slightly acid 122
solve for two variables only 54
sorry she hath believed some 49
sorry they had invested there 97
space that had formerly been 111
speed and its distance from 64
spread fear and confusion among 86
spread his red nostrils wide 55
spread out and fastened down 95
spread out her beautiful arms 67
spread out its branches over 62
spread with due rapidity over 45
springs that with unbroken flow 56
stage with her uplifted hand 74
stand for any nonsense from 136
stand for two distinct ideas 115
staring with his greenish eyes 53
stars nor owl deceived their 77
stars that had expected more 98
start his own consulting firm 279
state and its agencies from 102
state and its agencies have 85
state and its agencies were 45
state and its citizens from 169
state and its citizens have 74
state and its citizens were 252
state and its citizens will 48
state and its distance from 41
state and its economic base 99
state and its officials from 42
state and its officials were 51
state can not continue when 42
state can not contract away 89
state did not continue very 50
state has not withdrawn from 42
state that had resulted from 47
state that has resulted from 62
state that our evidence from 49
state with any accuracy what 126
state with any precision what 345
stating that his services were 42
steel bar that extended down 173
steel beam and concrete slab 248
steps that are followed when 41
stick with her original plan 60
stick with his original plan 104
stick with our original plan 108
still are not entirely clear 51
still can not remember what 278
still can not remember your 54
still did not remember what 47
still does not indicate what 42
still doing any business there 43
still had not finished reading 45
still had not finished their 49
still had not finished when 68
still had not received their 143
still had not received word 76
still had not regained their 47
still had not resolved their 100
still had not returned from 505
still had not returned home 290
still had not returned when 144
still has its original meaning 95
still has not awakened from 43
still has not returned from 118
still ran and scuttled just 51
still rang with horseshoe iron 68
still was not entirely clear 89
still was not entirely sure 418
still was not finished when 57
still wet and slippery from 46
still who can remember well 43
still with his sonorous mirth 46
store and its contents were 49
story that two descents were 40
story was not entirely true 42
strip off its mystical veil 803
strong and his digestion good 206
stuck with his original plan 42
study area was obtained from 44
study does not indicate what 42
study him and meditate upon 56
study that has recently been 69
study was that patients were 41
study was that subjects were 58
stump than was commonly used 46
style that was distinct from 95
sugar and rum annually sent 120
sugar and rum imported into 46
sweet cup hath rendered many 97
swept her one scornful look 63
swore that they expected just 44
syringe and then injected into 62
