sad enough and bad enough 57
sad thought for that gentle 69
sat around all day watching 67
sat around eating and drinking 48
sat beside her and gently 65
sat beside her and handed 47
sat beside her and kissed 109
sat beside her and lifted 48
sat beside her and looked 192
sat beside her and opened 44
sat beside her and patted 96
sat beside her and picked 42
sat beside her and placed 97
sat beside her and pulled 198
sat beside her and reached 87
sat beside her and rubbed 67
sat beside her and stared 45
sat beside her and talked 176
sat beside her and turned 62
sat beside her and waited 74
sat beside him all through 46
sat beside him and looked 169
sat beside him and placed 68
sat beside him and pulled 45
sat beside him and reached 40
sat beside him and smiled 40
sat beside him and stared 57
sat beside him and talked 186
sat beside him and waited 90
sat beside his old friend 56
sat beside them and looked 66
sat frowning far out before 41
saw almost all his places 41
saw already that its phases 40
saw anyone with them except 76
saw before him his brother 53
saw before him too clearly 55
saw brutus with his dagger 63
saw clearly for one moment 42
saw common men and common 62
saw filled him with horror 83
saw joseph than her cheeks 65
saw mutual aid and mutual 61
saw troops who had fought 59
say something and mean something 68
say something and then changed 220
say something and then closed 140
say something and then thought 206
say something but then changed 73
say something but then thought 75
say something but was afraid 61
say something but was unable 65
say something that may remain 41
say something you may regret 40
say whether man has become 91
say whether she was asleep 45
say whether they are better 41
say whether they are likely 119
say whether this was merely 48
say without heat and without 40
seat beside her and opened 41
seat beside her and pulled 40
seat beside her and thought 42
seat beside him and looked 55
seat beside him and pulled 48
see anyone who has become 54
see clearly that her empire 47
see colors and hear sounds 61
see comets that are comets 41
see lights nor hear noises 131
see myself why you should 44
see neither man nor animal 81
see neither sun nor bitter 46
see poison ivy and poison 43
see sights and hear sounds 222
see something and hear something 42
see something new and exciting 46
see something new and strange 56
see something that may become 60
see something that was hidden 48
see through them and beyond 50
see through two long nights 228
see thyself that all manner 69
see visions and hear voices 724
see whether she was asleep 64
see whether she was pretty 46
see whether they are carrying 50
see whether they are guilty 53
see whether they are indeed 112
see whether they are likely 217
see whether they are merely 68
see whether they are normal 52
see whether they are suited 65
see whether they can afford 46
see whether they can detect 42
see whether they had learned 54
see whether they had weapons 232
see whether you are indeed 49
see whether you are likely 45
see whether you can afford 93
see whether you can answer 249
see whether you can arrange 43
see whether you can decide 49
see whether you can detect 229
see whether you can endure 41
see whether you can figure 193
see whether you can follow 101
see whether you can locate 117
see whether you can obtain 63
see whether you can recall 88
see whether you can reduce 54
see whither they are carrying 43
see whither they are drifting 48
set before you and before 95
sex sooner than they should 94
she adored and who adored 42
she agreed that she should 42
she agreed that they should 160
she agreed with her brother 59
she agreed with her friend 43
she agreed with her sister 134
she almost did not answer 112
she almost did not notice 583
she already had her answer 53
she always did and always 69
she always did for pretty 42
she always had and always 81
she always has and always 47
she always was and always 89
she argued that she should 47
she argued that they should 41
she became ill with cancer 126
she begged that they should 41
she blamed her for refusing 47
she bought all her clothes 65
she bought them all without 41
she breathed out her spirit 75
she buried her head deeper 87
she called for her brother 107
she called for her guards 75
she called for her sister 44
she called her old friend 66
she called him for dinner 60
she called him her dearest 90
she called him her little 233
she caught him and kissed 110
she caught him with another 123
she changed her eating habits 43
she clawed her way through 54
she clearly did not expect 41
she clearly did not intend 61
she cocked her head toward 115
she cooked for her family 60
she craned her head around 133
she danced her way through 53
she danced with her brother 83
she denied him with unholy 181
she denies and has forgot 40
she depart let her remain 47
she draped her arm around 99
she dreamed she was standing 50
she fights her way through 68
she fitted out two fleets 44
she forced her own little 58
she forced her way through 632
she forces her way through 46
she forgot her own terror 90
she formed her own opinion 42
she fought her way across 74
she fought her way through 762
she fought her way toward 78
she fought with her anguish 45
she gathers all her strength 49
she groped her way across 94
she groped her way through 236
she groped her way toward 119
she hacked her way through 49
she handed him her ticket 45
she handed him his coffee 440
she handed him his jacket 43
she hauled off and kicked 56
she hooked her arm around 130
she hooked her arm through 276
she hugged him and kissed 275
she inched her way across 88
she inched her way around 55
she inched her way closer 64
she inched her way through 76
she inched her way toward 208
she jerked her head around 741
she jerked her head toward 429
she joined her and walked 116
she jumped out with spirit 88
she kicked her way through 61
she kicked off her little 60
she kissed and was kissed 46
she kissed him and called 58
she kissed him and hugged 47
she kissed him and kissed 81
she kissed him and turned 46
she kissed one dear little 65
she kissed them all around 45
she learned her way around 77
she learned she had cancer 103
she learned she was carrying 45
she learned that her brother 250
she learned that her cousin 54
she learned that her family 81
she learned that her former 80
she learned that her friend 148
