sad and gloomy faith seems 41
sang for nobody else under 104
sap and strength from thence 40
sat and smoked their pipes 146
sat and stared into space 891
sat and talked till about 65
sat for almost three hours 49
sat with folded arms while 92
sat with pursed lips looking 48
saw and envied their happy 49
saw any simple body offer 68
saw her before last night 89
saw her candle pass above 45
saw her standing there looking 62
saw her touching face quite 66
saw him ascend into heaven 184
saw him before last night 78
saw him standing just beneath 44
saw him standing there looking 104
saw his native city again 45
saw his native land again 250
saw our planet from space 99
saw that strange deep light 58
saw them abound till about 82
saw them drinking salt water 45
saw this happen many times 74
saw too clearly what might 99
saw two bright eyes peeping 47
saw two horses more alike 107
saw two strange beings creep 64
saw with floating hair arise 49
say how greatly your visit 78
say may convey some notion 76
say not another word about 151
say one further word about 69
say one unkind word about 88
say that aliens have built 46
say that courts have ceased 49
say that elijah must first 291
say that nobody else could 44
say that pindar many times 72
say that prices have risen 45
say that twenty years later 52
say they looked like fools 49
say two leagues from where 41
say you should have known 49
seas and rivers were found 75
seas and waters over which 76
seas that seemed ready every 149
see any ground upon which 115
see for myself what could 81
see her dainty form about 64
see her double upon peter 55
see her hollow eyes fixed 71
see her little girl again 62
see her lovely face again 45
see her native land again 89
see her pretty face again 41
see her without some danger 143
see him around here again 81
see him ascend into heaven 41
see him safely home again 68
see him standing there looking 66
see his little girl again 56
see his native city again 111
see his native land again 685
see how anyone else could 244
see how greatly those stray 40
see how someone else might 127
see its halves fall apart 120
see its honest face within 55
see map inside back cover 63
see men fainting there again 42
see now whence these words 84
see one another ever again 52
see one another more often 116
see one another very often 369
see our fellow beings happy 60
see that little girl again 112
see them clapping their hands 48
see them clearly from where 44
see them guarding their homes 155
see them measuring their steps 50
see them printing their proud 718
see them scarring their faces 62
see them through hard times 110
see them through their first 71
see things through other people 114
see this gravel walk running 52
see why anyone else would 46
see why nations have risen 57
see you around here again 601
see you safely home again 53
see you safely sent either 48
see you through your first 59
see you without your royal 83
set for something more worthy 65
set him adrift among human 40
set new forces into motion 49
set off without saying anything 53
set that occurs most often 59
sex and become dona juana 68
sex and family life which 50
sex with someone else while 145
she and another young woman 124
she and dorothea were alone 86
she and eleanor were sitting 124
she can detect their lurking 141
she can hardly wait until 54
she can import more linen 86
she can obtain more silks 87
she did always brag about 60
she does little work makes 40
she get another good night 139
she got caught fast where 229
she had almost lost sight 52
she had already been asked 92
she had already been found 64
she had already been given 278
she had already been hired 59
she had already been looking 45
she had already been raped 53
she had already been running 42
she had already been taken 131
she had already been thinking 73
she had already been tried 40
she had already been twice 107
she had already been under 48
she had already been waiting 61
she had already been working 173
she had already been writing 71
she had already felt about 88
she had already heard about 242
she had already laid aside 200
she had already made plans 200
she had already told roger 211
she had always been about 85
she had always been alone 298
she had always been aware 433
she had always been close 368
she had always been drawn 144
she had always been given 101
she had always been happy 157
she had always been healthy 148
she had always been known 181
she had always been liable 41
she had always been looking 143
she had always been loved 40
she had always been loyal 61
she had always been moved 42
she had always been prone 67
she had always been proud 254
she had always been quick 217
she had always been quiet 62
she had always been quite 201
she had always been rather 243
she had always been right 287
she had always been seeking 83
she had always been since 54
she had always been strong 106
she had always been taken 98
she had always been thinking 46
she had always been under 70
she had always been uneasy 54
she had always been waiting 154
she had always been willing 126
she had always done since 155
she had always felt about 119
she had always felt alone 47
she had always felt close 41
she had always felt sorry 50
she had always heard about 211
she had always worn black 40
she had barely been aware 51
