sea and war together could 144
sea bed and subsoil beneath 60
sea for two hundred miles 41
sea with its thousand roads 44
so are his thoughts above 61
so bad and slipped about 74
so can not himself share 92
so does our heavenly father 43
so doing has decided right 43
so doing that congress acted 74
so far and gathered round 85
so far our topmost warning 63
so far that satiety level 54
so gay and sparkling beneath 50
so had her natural pride 60
so had this gallant nation 42
so hot and bothered about 463
so hot that denmark would 103
so long she herself lives 69
so low that farmers could 78
so low that workers could 62
so not for himself alone 123
so one can respect others 51
so rang and knocked again 55
so she was worried about 46
so that all classes might 129
so that all efforts could 129
so that all mankind could 174
so that all mankind might 226
so that all members could 414
so that all members might 176
so that all members would 206
so that all numbers above 58
so that all parties could 298
so that all parties might 215
so that all parties would 226
so that all persons could 69
so that all persons might 222
so that all persons within 105
so that all present could 584
so that all present might 282
so that all present would 41
so that all surface water 49
so that all surplus water 47
so that all teachers could 52
so that all teachers would 53
so that all workers could 124
so that all workers would 129
so that any bacteria which 46
so that any citizen could 116
so that any current flowing 42
so that any current which 104
so that any decision taken 47
so that any surplus water 44
so that any thievish tramp 46
so that both parents could 204
so that both parties could 454
so that both parties might 360
so that both parties would 230
so that dear friends might 55
so that each citizen could 44
so that each citizen would 43
so that each company could 113
so that each company would 49
so that each content falls 41
so that each country could 202
so that each country would 313
so that each division might 106
so that each element could 91
so that each partner could 56
so that each partner would 74
so that each soldier could 49
so that each soldier might 104
so that each soldier would 40
so that each student could 768
so that each student knows 61
so that each student might 148
so that each student would 454
so that each subject could 152
so that each subject would 187
so that each workman could 109
so that few persons could 47
so that for several hours 198
so that for several months 478
so that for several weeks 309
so that had elapsed since 94
so that has elapsed since 57
so that her brothers could 47
so that her friends could 347
so that her friends might 123
so that her friends would 158
so that her husband could 3090
so that her husband might 1212
so that her husband would 1647
so that her majesty could 43
so that her parents could 548
so that her parents might 97
so that her parents would 603
so that her receipt after 48
so that her thoughts would 90
so that his absence would 185
so that his brothers could 104
so that his brothers might 83
so that his brothers would 139
so that his carriage could 82
so that his clients could 97
so that his company could 290
so that his company might 42
so that his company would 107
so that his conduct never 102
so that his country could 201
so that his country might 272
so that his country would 103
so that his enemies could 398
so that his enemies might 302
so that his enemies would 285
so that his features could 403
so that his friends could 803
so that his friends feared 40
so that his friends might 426
so that his friends would 495
so that his journey might 66
so that his majesty could 197
so that his majesty might 600
so that his majesty would 239
so that his message could 110
so that his message might 41
so that his message would 91
so that his parents could 541
so that his parents might 138
so that his parents would 483
so that his partner could 128
so that his position could 92
so that his position might 91
so that his position would 166
so that his remains could 81
so that his remains might 40
so that his results could 41
so that his stomach could 40
so that his thoughts could 137
so that his thoughts might 48
so that his thoughts would 131
so that his visitor could 42
so that his workers could 145
so that its absence would 87
so that its average speed 103
so that its average value 163
so that its capture would 78
so that its central point 131
so that its classic beauty 59
so that its corners point 84
so that its effects could 165
so that its effects would 127
so that its highest point 382
so that its inmates breathe 80
so that its maximum value 316
so that its members could 1962
so that its members might 632
so that its members would 650
so that its minimum value 95
so that its natural period 180
so that its position could 213
so that its position would 48
so that its present value 161
so that its purpose would 50
so that its removal would 120
so that its results could 106
so that its results would 46
so that its retinal image 133
so that its secrecy might 65
so that its several parts 121
so that its surface shall 112
so that its surface would 90
so that new members could 42
so that one becomes aware 184
so that one country would 239
so that one wonders where 40
so that our country could 151
so that our country would 138
so that our enemies would 48
so that our eternal truths 111
so that our friends could 63
so that our heroine added 46
so that our parents could 114
so that our parents would 150
so that our religion might 56
so that our results would 90
so that she herself could 896
so that she herself might 592
so that she herself would 369
so that team members could 189
so that that country would 97
so that that trouble which 52
so that they concern others 44
so that they enhance rather 136
so that they exactly match 42
so that they increase rather 45
so that they operate within 40
so that they overlap about 118
so that they project about 237
so that they project above 228
so that they reflect light 124
so that they require close 63
so that they require large 47
so that they support rather 54
so that this concept would 56
so that this country could 200
so that this country might 116
so that this country would 148
so that this equation shows 117
so that this immense social 209
so that this material could 117
so that this message shall 54
so that this problem could 71
so that this process could 131
so that this process would 42
so that this project could 162
so that this question could 120
so that this science flows 56
so that two persons could 454
so that two persons might 83
so that two persons sitting 59
so they are usually found 64
so why get excited about 68
so you can compare notes 135
so you can quickly change 65
so you can quickly check 79
so you can quickly refer 145
so you can specify which 53
