sea they 55 sea two 70
sea two 87 sing him 46
so that 47 so was 62
so that 158 so not 45
so had 126 so was 100
so was 43 so that 88
so was 45 so one 45
so sky 53 so sky 201
so two 99 so not 171
so that 449 so they 343
so that 62 so this 74
so age 91 so that 51
so this 105 so was 323
so his 123 so him 44
so not 59 so his 65
so each 115 so her 57
so this 57 so her 54
so had 47 so was 43
so was 75 so two 40
so being 130 so that 42
so that 52 so that 54
so this 99 so has 43
so this 41 so our 102
so had 70 so was 67
so was 58 so one 40
so was 61 so them 60
so being 285 so going 201
so her 95 so his 78
so our 212 so that 295
so this 1103 so you 71
so one 117 so this 99
so had 417 so has 78
so was 1013 so you 47
so its 138 so this 67
so can 430 so did 53
so does 160 so had 606
so has 1195 so lay 80
so led 101 so may 99
so met 61 so ran 95
so sat 53 so was 10107
so all 58 so her 243
so his 1116 so its 9573
so this 104 so two 59
so that 41 so air 98
so area 85 so head 53
so old 47 so sun 53
so top 40 so two 212
so day 48 so its 64
so them 146 so and 60
so each 231 so god 68
so her 362 so him 733
so his 72 so one 154
so our 85 so that 183
so them 204 so you 224
so that 121 so bath 117
so this 76 so being 609
so doing 76 so not 44
so her 77 so you 45
so our 42 so and 62
so that 209 so this 53
so its 84 so his 66
so him 51 so this 599
so her 67 so him 200
so his 100 so them 208
so this 122 so own 44
so that 55 so his 41
so was 64 so was 86
so his 51 so its 50
so and 97 so bear 130
so his 47 so lot 52
so path 65 so path 46
so his 54 so his 53
so use 43 so with 52
so all 43 so any 48
so his 83 so old 46
so our 296 so real 130
so that 53 so this 689
so war 706 so that 364
so was 57 so men 45
so with 45 so him 80
so them 42 so his 42
so are 72 so him 47
so his 70 so our 80
so this 55 so that 114
so each 92 so him 53
so way 53 so them 50
so his 78 so this 112
so his 63 so that 101
so his 63 so that 103
so him 86 so his 53
so our 60 so all 110
so his 167 so our 114
so this 244 so her 54
so him 142 so them 66
so you 117 so law 74
so his 59 so you 90
so for 126 so hath 123
so that 87 so that 73
so use 42 so that 319
so was 43 so two 67
so that 91 so being 56
so death 55 so end 47
so was 43 so man 52
