sack all the towns and 62
safe and he would not 46
safe and the strong are 151
safe for the child and 99
safe for the fetus and 94
safe for the mother and 345
safe for the night and 84
safe for the people and 49
safe for the people who 130
safe for the white man 220
safe man to trust with 44
safe out of sight for 65
safe use of drugs and 42
safe use of tools and 156
safe way of finding out 42
safe way of getting rid 77
safe way to avoid being 44
safe way to avoid this 61
safe way to carry out 48
safe with me until you 66
sage and the lotus are 51
said act to which this 142
said all he could for 60
said all he could say 344
said all he could see 73
said all he would say 44
said all the names she 42
said all the others had 73
said all the right things 4226
said all the usual things 195
said all the words that 41
said and he could not 104
said and he shook his 69
said and he would not 75
said and is still being 61
said and the hymns sung 55
said and the meeting was 40
said any thing about his 49
said but he could not 90
said for it after all 96
said for it until you 88
said for the claim that 476
said for the court that 260
said for the first few 85
said for the first two 101
said for the notion that 524
said for the people who 76
said for the reason that 133
said for the thesis that 600
said had he known that 587
said how he could not 90
said how he longed for 56
said not to agree with 44
said not to allow this 41
said not to bother her 45
said not to bother him 93
said not to bother with 119
said not to bother you 167
said not to exist and 55
said not to exist for 48
said not to occur with 55
said not to touch him 43
said not to touch them 45
said not to worry and 310
said not to worry that 143
said not to worry too 63
said not to worry you 46
said now to stand for 81
said pot of pinks did 40
said she no longer had 144
said sum of money and 500
said sum of money for 88
said sum of money has 56
said sum of money was 172
said sum of money with 64
said than to anything that 51
said that an action for 142
said that an action was 47
said that an actor who 47
said that an author who 47
said that an indian was 50
said that an offer was 41
said that an order for 63
said that an order had 121
said that an order was 80
said that as jonah was 49
said that as though you 66
said that at about this 89
said that at first her 72
said that at first his 54
said that at first she 656
said that at first they 408
said that at night she 90
said that at night they 92
said that at times his 49
said that at times she 186
said that at times they 178
said that he acted with 97
said that he alone had 170
said that he alone was 306
said that he asked for 303
said that he asked her 75
said that he asked him 78
said that he asked his 137
said that he asked them 51
said that he awoke and 58
said that he based his 282
said that he began his 263
said that he began with 50
said that he broke his 72
said that he built his 58
said that he cared for 249
said that he cared not 289
said that he chose his 66
said that he chose not 41
said that he chose this 84
said that he could add 51
said that he could and 225
said that he could ask 82
said that he could bear 72
said that he could beat 91
said that he could bring 279
said that he could but 68
said that he could buy 138
said that he could cut 70
said that he could deal 45
said that he could die 68
said that he could earn 47
said that he could fix 67
said that he could fly 79
said that he could get 1288
said that he could heal 44
said that he could hear 608
said that he could lead 54
said that he could leap 50
said that he could not 57433
said that he could now 349
said that he could pay 58
said that he could put 327
said that he could read 415
said that he could run 111
said that he could say 157
said that he could see 3434
said that he could sit 47
said that he could sue 52
said that he could then 94
said that he could try 55
said that he could use 295
said that he could win 48
said that he cried out 101
said that he dared not 434
said that he drank too 66
said that he durst not 193
said that he earned his 50
said that he ended his 49
said that he feared for 157
said that he feared his 165
said that he feared not 61
said that he feared she 86
said that he feared that 1721
said that he feared them 41
said that he feels that 317
said that he first had 67
said that he first met 179
said that he first saw 196
said that he found all 49
said that he found her 134
said that he found him 185
said that he found his 377
said that he found one 117
said that he found out 153
said that he found that 1230
said that he found them 202
said that he found this 219
said that he found two 87
said that he found you 85
said that he hated her 53
said that he hated his 112
said that he hated war 41
said that he hoped all 66
said that he hoped and 102
said that he hoped for 407
said that he hoped god 48
said that he hoped his 614
said that he hoped not 77
said that he hoped one 147
said that he hoped she 364
said that he hoped that 6773
said that he hoped they 396
said that he hoped this 212
said that he hoped you 60
said that he hopes that 199
said that he knows how 77
said that he knows that 595
said that he liked and 53
said that he liked being 81
said that he liked her 228
said that he liked him 76
said that he liked his 257
said that he liked that 46
said that he liked them 173
said that he liked this 84
said that he lived and 73
said that he lived for 170
said that he lived his 43
said that he lived near 40
said that he lived not 52
said that he lived ten 51
said that he lived with 182
said that he longed for 230
said that he loved and 68
said that he loved god 51
said that he loved her 2308
said that he loved him 102
said that he loved his 519
said that he loved them 94
said that he loved you 113
said that he loves her 49
said that he loves his 49
said that he loves you 50
said that he makes his 52
said that he makes them 41
said that he might ask 55
said that he might bring 64
said that he might get 90
said that he might not 600
said that he might say 44
said that he might see 53
said that he might try 59
said that he might use 58
said that he might yet 46
said that he never ate 101
said that he never did 355
said that he never got 254
said that he never had 1645
said that he never has 40
said that he never let 61
said that he never met 282
said that he never put 44
said that he never read 276
said that he never sat 59
said that he never saw 1561
said that he never was 343
said that he noted that 44
said that he often did 88
said that he often got 48
said that he often had 209
said that he often sat 44
said that he often saw 75
said that he ought not 711
said that he really did 721
said that he really had 347
said that he really saw 60
said that he really was 214
said that he saved his 90
said that he shall not 152
said that he slept but 109
said that he slept with 145
said that he spent all 71
said that he spent his 320
said that he spent two 130
said that he spoke for 234
said that he spoke not 114
said that he spoke with 289
said that he still did 162
said that he still had 647
said that he still has 70
said that he still was 160
said that he stood for 203
said that he tells his 60
said that he thinks that 467
said that he thinks you 44
said that he tried his 43
said that he tried not 54
said that he voted for 219
said that he wants his 83
said that he wants you 40
said that he would act 311
said that he would add 139
said that he would aid 45
said that he would and 335
said that he would ask 1629
said that he would bear 247
said that he would beat 128
said that he would bet 95
said that he would bring 1663
said that he would but 93
said that he would buy 611
said that he would cut 300
said that he would deal 263
said that he would die 1105
said that he would end 86
said that he would far 44
said that he would fix 168
said that he would fly 178
said that he would get 2424
said that he would hang 78
said that he would head 46
said that he would hear 211
said that he would lay 317
said that he would lead 379
said that he would let 1071
