seeking to 44 seems we 55
selling as 40 senior to 45
seven in 88 seven to 60
shall of 395 shall in 147
shall to 318 shall or 109
shall the 43 sharp or 43
shown of 52 since to 44
small the 181 small up 56
small the 62 small in 45
social in 73 social in 50
social an 42 social he 76
social it 54 social the 162
social the 56 social to 236
social so 139 social the 49
social to 43 social in 57
social of 42 social in 64
social the 62 social to 1288
social in 51 social it 192
social the 64 social it 41
social to 43 social up 42
social the 125 social an 40
social the 90 social to 736
social the 59 social the 40
social to 112 social to 72
social to 80 social it 49
social on 53 solid the 140
solid to 133 solid the 58
solid to 54 solid the 124
sound to 46 sound the 95
spend on 45 state to 46
state to 50 state the 87
steps in 2476 steps on 104
steps or 2874 steps so 616
steps to 9712 still the 60
still to 52 still in 44
still at 73 still to 105
still in 40 still of 47
stone in 360 stone in 63
strong by 110 strong in 48
strong is 80 strong the 86
strong to 57 study of 65
sugar by 47 sunny the 69
