facilities and regulated sectors are 45
familiarity was sometimes carried too 91
familiarity with political customs and 61
fatalistic old testament religion and 46
friendship and partiality towards them 67
friendship and political alliance with 101
friendship had developed between them 266
friendship had subsisted between them 107
friendship that developed between him 74
friendship that developed between them 167
friendship that subsisted between him 107
friendship that subsisted between them 274
friendship that subsisted between this 45
