face beaming with the joy 58
face down with the head 225
face felt hot as she 51
face from day to day 1179
face from him as she 60
face from them at that 241
face from year to year 46
face from you if you 151
face from you so that 392
face gave him an air 44
face gave way to one 193
face gave you the idea 46
face grew hot as she 133
face grew red as his 47
face grew red as she 54
face grew sad as she 43
face grew set in its 55
face grow hot as she 83
face grow hot as with 60
face like one of his 61
face like that at that 80
face like that of one 92
face lost all of its 78
face other than the one 48
face said that he did 68
face said that he had 126
face said that he was 211
face told her he did 103
face told her he had 198
face told her he was 583
face told her it was 201
face told him he had 210
face told him he was 216
face told him it was 183
face told that he had 65
face told that he was 79
face very near to his 47
face what they do not 103
face when they do not 226
face when they go out 42
face when you do not 151
face will read it and 52
fact also that he had 49
fact also that he was 78
fact also that it was 48
fact been going on for 263
fact done out of that 84
fact from day to day 91
fact from one of his 54
fact gave one an idea 78
fact make use of that 82
fact make use of them 47
fact make use of this 107
fact means that we can 102
fact meant that it was 51
fact more than in any 68
fact more than to any 113
fact nine out of ten 74
fact only one of its 45
fact only one of them 211
fact only one or two 129
fact only two of them 56
fact there are no real 79
fact there are no two 66
fact there are so few 97
fact there can be any 40
fact there may be two 48
fact there was as yet 59
fact there was at that 67
fact there was in that 64
fact there was no end 94
fact there was no one 1088
fact there was no real 404
fact there was no way 279
fact true that the idea 41
fact very few of them 245
fact went all the way 118
fact went out of his 69
fact will not be set 85
fade away and the sun 82
fade away one by one 116
fade away with the dying 45
fade away with the end 47
fade from day to day 93
fading away and the new 63
fading away day by day 67
fading from day to day 40
fads come and go and 95
fail from day to day 89
fail when one of its 53
fail when they do not 304
fain call new is not 49
fain flee out of his 178
fain have had me see 58
fain have him at his 59
fain have one of his 104
fain have put it off 61
fain have put me off 81
fain hope that he may 44
fain hope that it may 93
fain hope that it was 49
fain keep all the cry 177
fain know how it can 159
fain know how it was 98
fain know that the man 56
fain know why it may 43
fain meet with the man 107
fair game for the men 62
fair game for the red 82
fair hair out of her 60
fair hair out of his 80
fair julia hung on his 216
