few have 44 few help 40
few their 55 for also 42
for also 51 for hearing 93
for have 214 for wish 61
for their 69 for their 45
for were 52 for their 198
for also 47 for went 53
for used 54 for been 93
for been 44 for high 126
for some 41 for data 99
for more 68 for other 40
for other 43 for those 48
for been 48 for have 48
for more 68 for other 42
for their 463 for those 54
for young 187 for youth 138
for been 115 for their 49
for their 117 for also 67
for also 126 for been 132
for other 42 for been 42
for also 40 for been 55
for been 70 for loss 93
for other 64 for been 59
for have 69 for time 50
for home 1046 for only 239
for india 61 for their 44
for other 118 for post 102
for their 78 for young 139
for have 227 for want 56
for were 89 for wish 116
for their 41 for youth 879
for health 109 for other 44
for living 41 for ruling 45
for debt 45 for self 51
for making 228 for their 318
for other 374 for their 51
for also 67 for only 47
for there 48 for those 60
for were 78 for will 97
for also 232 for been 269
for been 214 for only 49
for other 41 for youth 45
for lack 94 for have 63
for been 57 for work 86
for their 54 for self 143
for theft 70 for self 162
for deaths 66 for loss 148
for other 62 for been 65
for more 1189 for other 48
for rent 252 for health 124
for also 42 for health 102
for other 43 for been 65
for there 149 for also 50
for other 48 for been 50
for dating 104 for lord 51
for your 117 for been 60
for also 42 for were 46
for also 136 for been 48
for been 89 for jews 162
for peace 145 for also 45
for their 99 for also 46
for have 143 for also 41
for were 49 for also 55
for such 112 for been 50
for years 75 for have 59
for must 51 for only 99
for their 57 for were 96
for also 43 for been 89
for only 42 for been 40
for torn 70 for their 46
for their 61 for youth 49
for help 45 for made 47
for been 42 for been 57
