far wider application than that 62
few basic principles that are 65
few basic principles that can 89
few royal personages who can 44
few social scientists who has 45
few urban occupations they had 45
few words acquainted him with 44
for action consistent with this 159
for basal metabolism and for 63
for civil government and for 55
for class discussions and for 62
for class instruction and for 264
for creating characters who are 56
for daily consumption and for 52
for drawing inferences that are 179
for ethnic minorities and for 89
for ethnic minorities than for 71
for every individual and are 40
for every individual and for 273
for every individual and that 110
for every individual man and 92
for every individual who has 210
for every individual who was 43
for every misfortune that can 87
for every misfortune that had 52
for every naturalist who has 128
for every transaction with his 41
for final consumption and for 71
for fixed categories and men 69
for forming statements and for 74
for fresh consumption and for 64
for fresh vegetables and meat 40
for getting acquainted and for 48
for getting information and for 61
for gothic literature and art 40
for group activities and for 58
for growing vegetables and for 51
for human consumption and are 155
for human consumption and can 75
for human consumption and for 1072
for human consumption and has 69
for human consumption and its 59
for human consumption and may 70
for human consumption and not 99
for human consumption and that 754
for human consumption and thus 40
for human consumption and use 265
for human consumption and was 118
for human consumption are not 138
for human consumption but for 100
for human consumption can not 105
for human consumption does not 85
for human consumption may not 42
for human consumption than any 42
for human consumption that are 54
for human consumption was not 60
for human fellowship and for 40
for large quantities than for 67
for light microscopy and for 50
for local authorities and for 108
for local consumption and are 66
for local consumption and for 1836
for local consumption and not 223
for local consumption and that 121
for local consumption but for 146
for local consumption than for 46
for local disposition and use 322
for local government and for 234
for local government and its 53
for local industries and for 49
for marie antoinette and her 42
for party associations are not 50
for people everywhere and that 43
for people everywhere who are 42
for racial minorities and for 54
for radar facilities that are 44
for reader information and does 149
for royal government and its 264
for senior executives who are 46
for sharing information and for 99
for small businesses and for 164
for small businesses than for 69
for small businesses that are 207
for small businesses that can 122
for small businesses that may 55
for social acceptance and for 69
for social activities and for 67
for social betterment are apt 50
for social integration and for 50
for social interaction and for 292
for social interaction and that 50
for social interaction that are 42
for social legislation and for 110
for social psychology and for 44
for social scientists and for 73
for social scientists who are 142
for state government and for 45
for storing information and for 82
for which applicants are being 117
for which candidates are being 463
for which compliment she was 56
for which facilities are not 181
for which information was not 255
for which precedents are not 42
for which predictions are being 85
for which punishment does not 43
for which references are not 40
for which statistics are not 301
for white settlement and for 46
for whose destruction they had 53
for whose edification they are 46
for whose instruction they are 65
