faced fop shines sleek with 40
faced her family since her 62
faced that blinding light and 44
faced with higher costs and 44
faced with marble slabs and 50
faced with serious social and 44
faces death without raising his 60
facts and crimes which are 57
facts and events which are 267
facts and events which had 75
facts and events which led 42
facts and events which may 55
facts and forces which are 97
facts and reasoning about them 59
facts and skills which are 57
facts and theories which are 150
facts and values which are 61
facts are learned about him 156
facts are widely known and 47
faint and sickly winds for 76
falling and circling round and 43
falling they reeled about with 45
falls and rapids where they 102
falls and rapids which are 93
fancy for horned frogs has 40
farming and cattle raising and 127
farming and cattle raising are 112
farms are family owned and 46
fasting and prayer night and 348
father and brother could not 69
father and brother would not 121
father and sister loved and 116
father had already given her 43
father had already given him 83
father had always given her 47
father had always hoped that 54
father had become blind and 72
father had fought under sir 99
father had placed about him 159
father had shaken hands with 75
father had talked about his 66
father was always looking for 135
father was always meeting him 53
father was always telling her 67
father was always telling him 74
father who toiled night and 77
father with gentle words and 77
fault with thyself rather than 80
fault you commit while you 51
feared his spouse would get 40
feared she should never see 71
feared that someone might try 40
feared they should never see 49
feared yet greater evils than 71
feasts and bloody rites than 48
feasts that lasted longer than 43
feeling and choice which you 47
feeling and emotion rather than 152
feeling and thought which are 67
feeling and thought which lead 108
feeling for another human being 178
feeling for nature which has 46
feeling for nature which was 70
feeling has already found its 187
feeling she became harsh and 50
feeling she should never get 53
feeling that something awful had 127
feeling that something awful was 416
feeling that something really bad 112
feels how loudly every man 50
fetal and infant growth and 73
fever and trench fever are 43
fever and typhus fever are 60
fever and yellow fever are 114
fever that burned within her 42
fever that burned within him 48
fewer and farther apart than 43
fewer and larger farms and 92
fewer than twenty drums had 43
fewer than twenty hours per 92
field and forest emits its 56
field and garden crops and 129
field and garden crops are 49
field for further study and 63
field for future study and 49
field they dreaded worse than 96
fight all public evils and 238
fight and perish rather than 102
fight for better housing and 42
fight for better wages and 1264
fight for decent wages and 105
fight for higher wages and 1374
fight for higher wages for 55
fight for little round top 350
fight for market share and 133
fight for sicily within his 46
fight one another rather than 130
filed and served within ten 109
filed for periods longer than 86
files are binary files that 106
filling her vacant hours with 66
fills our vacant hearts with 63
final and without appeal and 124
final int static final int 204
finding him should smite him 175
finding his strength every day 94
finding out something about her 121
finding out something about him 96
finding out something about his 55
finding out something about them 87
finding that neither threats nor 81
finds his supper waiting for 49
finds its proper place and 122
fines and prison terms are 49
fines and prison terms for 440
fingers had become stiff and 40
fired and church bells rung 42
