far had 49 far long 537
fear war 47 fer heap 41
fit lead 45 fit man 44
fit seat 50 fly had 91
for did 45 for year 80
for did 86 for can 42
for and 78 for new 43
for man 40 for had 160
for was 253 for was 84
for and 99 for was 67
for gap 58 for fear 52
for can 42 for get 41
for got 53 for had 46
for was 50 for man 60
for new 90 for new 48
for few 73 for long 58
for new 43 for way 80
for new 89 for long 91
for had 86 for was 66
for was 94 for man 47
for long 43 for can 117
for die 116 for get 113
for got 105 for had 246
for was 604 for can 135
for had 49 for was 43
for was 45 for was 117
for man 77 for can 229
for did 245 for had 365
for saw 64 for was 437
for can 140 for man 48
for man 99 for man 46
for man 89 for way 65
for sum 98 for sum 452
for wit 50 for sum 267
for had 160 for had 144
for owe 55 for was 51
for had 52 for was 43
for man 108 for can 42
for new 110 for had 48
for had 66 for new 56
for had 143 for was 44
for wear 116 for had 207
for was 146 for had 70
for did 107 for had 162
for had 2010 for had 51
for had 78 for was 53
for had 49 for had 112
for put 72 for and 124
for new 40 for may 46
for and 61 for had 62
for was 47 for had 66
for and 145 for cut 53
for and 55 for new 65
for can 56 for had 48
for had 146 for new 227
for can 152 for had 145
for may 167 for mean 48
for was 139 for and 53
for man 59 for and 69
for man 86 for did 75
for had 224 for and 54
for had 90 for new 75
for yet 94 for can 48
for was 129 for had 89
for and 108 for got 43
for had 297 for ask 46
for can 101 for did 84
for had 294 for was 60
for won 48 for had 99
for and 84 for and 74
for had 57 for bit 44
for dead 50 for few 177
for man 586 for new 133
for real 58 for sad 61
for war 50 for ask 66
for can 1399 for did 753
for had 1433 for let 76
for may 181 for mean 48
for put 101 for saw 213
for see 140 for was 3455
for saw 85 for had 311
for few 41 for man 44
for now 68 for was 46
for had 42 for had 59
for had 40 for had 136
for was 413 for had 43
for was 64 for and 302
for and 85 for and 70
for and 55 for and 68
for and 40 for had 660
for set 55 for then 43
for was 43 for did 50
for had 41 for had 51
for had 40 for was 45
for had 139 for was 41
for had 60 for was 47
for and 49 for few 58
for had 42 for year 45
for had 44 for was 76
for and 41 for had 63
for had 49 for owe 91
for and 53 for had 46
for few 43 for was 55
