far doubtful 143 far supposed 78
few officers 42 few sufficed 44
few expected 51 few condition 52
few disorder 86 few syndrome 59
few embraced 48 few approach 137
few commonly 56 few remained 61
few survived 57 few hazarded 48
fit strongest 52 for concrete 63
for purposes 1014 for financial 82
for accepted 141 for desertion 117
for synthesis 93 for assigned 161
for movement 86 for authority 66
for pakistan 111 for scholars 77
for students 55 for personal 117
for politics 48 for personal 41
for purposes 66 for advanced 103
for students 357 for children 45
for families 95 for patients 71
for pregnant 133 for enlisted 85
for children 72 for yourself 46
for allergic 136 for backward 130
for confined 56 for crippled 274
for deprived 119 for developing 179
for diagnosed 69 for disabled 361
for eligible 73 for enrolled 48
for expected 46 for functioning 66
for homeless 79 for involved 71
for mentally 429 for orphaned 53
for otherwise 56 for partially 53
for referred 63 for rejected 50
for retarded 198 for seriously 70
for severely 208 for sexually 79
for struggling 178 for visually 189
for attended 79 for received 110
for suffered 57 for injuries 71
for infection 610 for condition 165
for disorder 170 for syndrome 49
for stoicism 107 for conquest 89
for military 45 for transfer 50
for abstract 135 for likeness 58
for handmaid 41 for boroughs 55
for entirely 63 for improved 272
for monitoring 238 for treatment 344
for services 131 for business 51
for obtained 40 for military 177
for recreation 57 for children 83
for children 47 for ionization 43
for inserted 75 for officers 237
for citizens 46 for africans 44
for everyone 52 for involved 52
for judgment 46 for incurred 43
for incurred 56 for internal 62
for children 85 for homeless 42
for children 313 for buchanan 43
for military 47 for purposes 248
for regarded 46 for supplies 56
for surprise 91 for richards 102
for potential 84 for strangers 70
for eternity 83 for thousands 75
for thousands 68 for improved 40
for reported 210 for domestic 66
for organism 65 for believed 132
for suffered 55 for external 172
for external 87 for external 85
for materials 45 for immortal 95
for withstand 48 for mentally 238
for retarded 135 for purposes 44
for majority 163 for transfer 125
for supplies 77 for positive 57
for positive 358 for enlisted 93
for students 96 for controls 46
for actively 89 for addicted 44
for admitted 133 for agitated 46
for allergic 825 for comatose 58
for confined 117 for confused 92
for diagnosed 100 for enrolled 45
for expected 160 for initially 41
for mentally 91 for otherwise 109
for potential 43 for pregnant 119
for recovering 121 for referred 58
for seriously 202 for severely 380
for suicidal 93 for undergoing 277
for unlikely 71 for tolerate 158
for received 282 for suffered 109
for injuries 279 for fracture 75
for infection 778 for literacy 153
for condition 430 for diagnosis 97
for disorder 335 for syndrome 141
for physical 64 for contingent 64
for property 117 for partially 42
for document 55 for negative 360
for negative 288 for security 236
for returned 53 for materials 82
for designed 49 for exported 43
for produced 196 for designed 74
for gestation 49 for security 51
for increases 205 for subjects 56
for industry 48 for essential 59
for involved 112 for normally 43
for required 46 for boldness 65
for declared 338 for cultural 41
for persists 134 for exchanged 41
for economic 40 for provided 44
for received 44 for rendered 164
for supplied 91 for products 71
for personal 42 for provided 207
for rendered 45 for supposed 56
for rendered 107 for benefits 110
for afforded 60 for deserted 44
for expected 43 for admitted 56
for attempting 59 for completing 43
for developing 58 for disabled 106
for eligible 74 for employed 70
for enrolled 601 for expected 64
for involved 77 for mentally 87
for otherwise 48 for prepared 50
for required 85 for seriously 57
for severely 77 for struggling 399
for visually 327 for attended 65
for finished 46 for received 71
for injuries 65 for received 70
for materials 62 for produced 55
for intended 70 for indicate 61
for infection 50 for diastolic 147
for thousands 81 for returned 40
for consider 42 for everyone 107
for servants 72 for everyone 64
