far i feel the ground 83
fear a loss of status 259
fear i have in regard 66
fear i have no advice 70
fear i have no answer 47
fear i have no chance 101
fear i have no choice 111
fear i lost my temper 58
fear i must be forced 45
fear i will be unable 81
fix a mark of infamy 52
fix a rate of return 62
fly a hawk is hovering 94
fly a sheaf of arrows 64
for a baby he fathers 91
for a baby to arrive 55
for a baby to become 105
for a baby to digest 130
for a baby to jounce 41
for a bale of cotton 386
for a band of french 128
for a band of horses 57
for a band of indians 196
for a band of militia 46
for a band of rebels 53
for a band of thieves 73
for a band of twenty 81
for a bank of clouds 76
for a bank of england 241
for a bank of secure 224
for a bank or credit 96
for a bank or public 150
for a bank to accept 65
for a bank to become 70
for a bank to borrow 116
for a bank to charge 92
for a bank to expand 69
for a bank to extend 58
for a bank to handle 53
for a bank to invest 67
for a bank to obtain 69
for a bank to refuse 57
for a beast of burden 565
for a beer or coffee 49
for a beer or something 216
for a bell to summon 52
for a belt or girdle 76
for a bill in equity 209
for a bill of review 275
for a bill of rights 9106
for a bill on england 123
for a bill on london 112
for a bill the holder 160
for a bill to become 831
for a bill to enable 214
for a bill to extend 60
for a bill to induce 60
for a bill to permit 72
for a bill to reduce 55
for a bill to remove 64
for a bill to reward 126
for a bill to secure 146
for a bill to settle 60
for a bird in flight 109
for a bird of another 75
for a bird to choose 67
for a bird to escape 55
for a bite of dinner 257
for a bite of something 251
for a bite of supper 794
for a blow is always 57
for a boat to arrive 135
for a boat to attend 72
for a boat to borrow 74
for a boat to convey 192
for a boat to return 100
for a boat to travel 62
for a body is called 108
for a body of english 57
for a body of ethical 54
for a body of finite 44
for a body of french 163
for a body of indians 50
for a body of liquid 40
for a body of militia 78
for a body of native 57
for a body of opinion 44
for a body of police 81
for a body of thought 141
for a body of troops 1024
for a body of twenty 63
for a body to absorb 46
for a body to become 72
for a body to escape 64
for a body to remain 147
for a body to travel 72
for a book by itself 75
for a book he wanted 128
for a book in english 212
for a book in itself 864
for a book of common 52
for a book of essays 417
for a book of fiction 161
for a book of mormon 48
for a book of stamps 57
for a book of travel 260
for a book of verses 49
for a book on england 47
for a book on english 43
for a book on german 45
for a book on london 52
for a book on modern 137
for a book or something 84
for a book to become 72
for a book to follow 42
for a book to review 47
for a bout of drinking 47
for a bout of malaria 82
for a bowl of lentil 473
for a bowl of oatmeal 59
for a bowl of watery 110
for a breath of cooler 71
for a bust of southey 78
for a call of nature 339
for a call to another 51
for a call to higher 64
for a call to return 67
for a camp of twenty 57
for a cart to convey 44
for a cart to travel 46
for a case of cancer 45
for a case of canned 94
for a case of disease 88
for a case of measles 100
for a case of murder 55
for a case of nerves 72
for a case of scotch 46
for a case of severe 46
for a case of simple 91
for a case of twelve 100
for a case of twenty 48
for a case of urgent 40
for a cask of brandy 130
for a cast of twenty 47
for a cell to become 217
for a cell to divide 245
for a cell to retire 45
for a cheat at common 90
for a city of almost 49
for a city of london 44
for a city of refuge 138
for a city of twenty 58
for a city or county 735
for a city to become 79
for a city to obtain 42
for a clap of thunder 157
for a coat or jacket 44
for a code of morals 62
for a coke or something 137
for a copy of cicero 50
for a copy of horace 59
for a copy of milton 40
for a copy of robert 42
for a copy of verses 498
for a copy of virgil 52
for a copy or copies 110
for a core of common 45
for a cost of around 99
for a cost of twenty 40
for a crew of twelve 64
for a crew of twenty 145
for a crop of barley 126
for a crop of cotton 49
for a crop of winter 142
for a crop to mature 131
for a cure of cancer 59
for a cure to cancer 47
for a date on friday 61
for a date or something 119
for a debt of another 60
for a debt of twelve 53
for a debt of twenty 201
for a debt on simple 57
for a debt or charge 231
for a debt or demand 270
for a depth of detail 61
for a depth of twelve 49
for a depth of twenty 146
for a disc of radius 98
for a dish of coffee 120
for a dish of gossip 130
for a dish of lentil 42
for a dish of pigeons 101
for a dish of stewed 295
for a disk of radius 150
for a door of escape 97
for a door or window 728
for a dose of castor 65
for a dose of costly 64
for a dose of physic 53
for a dose of poison 95
for a dose of reality 162
for a dram of brandy 217
for a dram of liquor 41
for a drop in prices 83
for a drop of brandy 239
for a drop of coffee 136
for a drop of liquid 110
for a drop of liquor 74
for a drop of radius 176
for a drop of something 149
for a duty of twenty 53
for a duty to rescue 364
for a fact he thought 47
for a fact so singular 55
for a fair or preaching 58
for a fall in demand 66
for a fall in market 41
for a fall in prices 347
for a fall of prices 103
for a fall of profit 91
for a fall or winter 143
for a fast in london 66
for a file or folder 1908
for a fine of twenty 211
