facility from little to great 92
families have become the norm 192
families have become the rule 40
families have chosen to live 61
families left behind in their 42
families most likely to have 57
families move through the life 59
families vary greatly in their 76
families vary widely in their 45
families were broken up when 42
families were forced to find 57
families were forced to flee 234
families were forced to give 91
families were forced to leave 624
families were forced to live 482
families were forced to make 75
families were forced to move 485
families were forced to rely 87
families were forced to seek 116
families were forced to sell 280
families were forced to send 67
families were forced to take 136
families were forced to work 81
families were heavily in debt 44
families were likely to have 175
families were secure in wealth 46
families were thought to have 64
families were unable to care 76
families were unable to cope 46
families were unable to find 68
families were unable to keep 47
families were unable to make 49
families were unable to meet 83
farewell rays through the open 49
favorite text editor or word 71
favorite text editor to edit 72
filtered down through the ages 221
filtered down through the leafy 85
filtered down through the soil 90
filtered down through the thick 109
filtered down through the tree 40
filtered down through the years 112
financial data relating to such 80
finished high school he went 44
finished high school in june 100
finished high school in three 425
finished high school or gone 41
finished just before he died 73
finished making changes to your 48
finished their course in faith 487
finished their supper in great 73
flexible form appears to take 121
floaters into blocks of five 281
followed down through the years 50
followed what appears to have 49
footstep will surely do when 58
formerly been matter of great 74
formerly have broken my heart 60
formerly held before the lord 60
formerly were always at their 85
fortunes were linked to those 64
fostered these tastes at their 53
fourteen days before the date 1079
fourteen days before the hearing 554
fourteen days before the next 240
fourteen days before the said 163
fourteen days before the sale 48
fourteen days before the time 243
fourteen days before the trial 84
fourteen years before he died 123
fourteen years before the birth 132
fourteen years before the date 95
fourteen years before the next 49
fourteen years before the time 79
fourteen years instead of five 58
fourteen years thought to kill 80
fracture from becoming an open 56
fracture when standing on edge 41
frequent cups prolong the rich 410
frequent meals instead of three 63
friendly dawn appearing at last 128
fulfilling their duties to their 102
fulfilling your mission in life 53
functions from worlds to sets 81
functions from worlds to truth 133
functions well enough to hold 41
functions will remain the same 65
