faces cast thousand beams upon 144
fancy some letters have been 64
farms were divided into four 50
farms were divided into three 124
father ever devoted more time 74
feared losing control over their 43
feeling came strongly upon john 46
feeling less selfish came over 52
feels good against your skin 45
feels sure everything will come 40
fewer side effects have been 71
field make everything seem wrong 52
fifty grim visages were seen 50
films during following five years 44
final bank reserve must lend 42
fines were imposed upon those 57
fingers will moulder from their 63
fired their machine guns into 60
fires were lighted over their 52
firms were divided into three 91
first eager greetings were paid 46
first five editions have been 63
first four volumes have been 44
first free election ever held 62
first gold brought back from 90
first grey brothers lost their 43
first step towards home rule 41
first step towards some kind 42
first step towards their goal 40
first step towards their union 46
first step usually make some 130
first their demands were high 63
first three columns have been 40
first three criteria have been 44
first three factors have been 80
first three gospels have been 48
first three hundred years there 48
first three volumes have been 180
first time anybody ever said 65
first time efforts were made 60
first warm greetings were over 40
fixed eyes lowered their lids 67
flash there returns back upon 61
flies will deposit their eggs 44
force were decided five days 98
force will finally pass into 45
force will prevent their moving 43
forms have evolved over time 64
found their country once more 51
found their verdict upon their 46
fourth will perhaps have been 146
fresh agar culture will kill 40
fully four hundred feet high 40
fully three hundred feet high 57
fully three thousand feet high 44
