fable he gives now and 43
faced an enemy that had 44
faced an enemy that was 72
faced an enemy who was 88
faced by people who are 278
faced by people with hiv 113
faced by women and men 260
faced by women who are 260
faced by women who had 42
faced by women who try 41
faced the crowd that had 45
faced the danger with his 91
faced the enemy with his 42
faced the river and had 47
faced the river and was 83
faced the setting sun and 75
faced the stream that ran 50
faced the woman who had 92
faces as though they had 122
faces he could not see 350
faces in order that they 116
faces of father and son 70
faces of george and his 117
faces of mother and son 58
faces of people she had 197
faces of people who are 401
faces of people who did 101
faces of people who had 510
faces of pryer and his 59
faces of which are not 44
faces of white men and 113
faces of women and men 138
faces of women who are 52
faces of women who had 126
faces of women with wings 70
faces on which his eye 63
faces on which they act 50
faces on which they are 44
faces on which they lie 49
faces to which they are 156
faces we could not see 96
facts as above set out 136
facts as others see them 103
facts as though they had 62
facts as would lead any 46
facts by calling them all 48
facts by which they are 335
facts in issue set out 156
facts in order that they 164
facts in order that you 156
facts in which she had 67
facts in which they are 226
facts in which they had 61
facts in words that are 56
facts of decay and death 46
facts of human sin and 71
facts of which are not 171
facts of which are set 377
facts of which can not 45
facts of which did not 49
facts of which she had 59
facts of which she was 242
facts of which that law 43
facts of which they are 997
facts of which they can 120
facts of which they had 380
facts of which they may 64
facts of which you are 234
facts on which they are 2202
facts on which they can 127
facts on which they had 57
facts on which you can 49
facts or truths that are 49
facts the state has not 67
facts to agree with this 43
facts to light and that 50
facts to point out that 44
facts to prove that his 56
facts to prove that they 99
facts to prove that this 162
facts to sense that has 41
facts to which they are 800
facts to which they bear 82
facts to which they can 44
facts to which they had 137
facts to which they may 75
facts we shall see that 100
faded or dusty and dingy 62
fades to black and then 56
failing to agree with his 48
failing to appear for his 66
failing to carry out any 145
failing to carry out her 120
failing to carry out his 1130
failing to carry out its 678
failing to carry out one 64
failing to carry out our 70
failing to carry out that 142
failing to carry out this 360
failing to carry them out 393
failing to point out that 1106
failing to strip them with 114
fails to agree with him 69
fails to agree with his 65
fails to agree with its 108
fails to agree with that 71
fails to agree with them 54
fails to allow for any 82
fails to allow for this 81
fails to appear for his 110
fails to apply for its 73
fails to carry its own 53
fails to carry out all 63
fails to carry out any 608
fails to carry out her 128
fails to carry out his 1700
fails to carry out its 1041
fails to carry out that 227
fails to carry out this 417
fails to carry them out 380
fails to carry with him 47
fails to close for any 63
fails to defeat its own 44
fails to grasp its own 48
fails to offer any real 51
fails to point out any 86
fails to point out his 51
fails to point out how 158
fails to point out its 49
fails to point out that 4498
fails to point out this 55
fails to point them out 99
fails to point this out 127
fails to prove any one 90
fails to prove that all 42
fails to prove that his 51
fails to prove that she 54
fails to prove that they 100
fails to prove that this 73
fails to reveal its own 42
fails to spell out how 54
fails to state that this 71
fails to write out and 54
fails to write them out 46
faint at first and then 178
faint by fasting too long 43
faint to stand and see 56
falling at first and then 47
falling in fancy with one 51
falling on units that are 54
falls at first and then 149
falls in april and may 135
falls on angels and men 46
falls on minds that are 45
false or allow that our 44
false to anything that you 59
false to claim that all 58
false to claim that this 52
famed in story and song 135
fancy of heaven and earth 48
fancy we shall not run 65
fanning my brows with his 47
fanning the water with his 48
farce of thanking god for 142
fared no worse than his 91
fared the worse for being 56
fared the worse for his 47
fares the world with you 46
farming in which they are 45
farms in order that they 44
farms of maine and new 55
farms on which they are 310
farms on which they had 539
farms so large that they 47
farms to which they are 61
farms to which they had 75
fascia by which they are 53
fatal to enter any war 127
