face color 46 fair minor 79
fall sleep 45 farm elect 91
farm loads 75 feel shake 49
feel sides 44 fell chair 56
fell hands 61 fell hands 66
fell judge 44 fell fours 44
fell horse 137 fell sword 204
fell period 46 fell knees 43
fell horse 52 fell knees 45
felt peers 42 felt sides 47
felt found 53 felt faint 112
film period 232 find could 52
find wants 59 find would 91
find people 50 five first 40
five first 318 flee odious 251
foot water 66 form water 729
four first 124 four first 231
four equal 63 four period 42
four about 40 free vault 68
free ports 52 free place 43
from ceased 54 from where 163
from steel 267 from party 43
from within 56 from water 520
from cedar 144 from would 41
from types 88 from anything 99
from major 67 from change 76
from views 68 from really 46
from father 60 from either 70
from latin 105 from force 97
from tulsa 63 from space 199
from taken 59 from exist 58
from lofty 50 from which 42
from crime 47 from swiss 49
from might 42 from ruled 40
from crook 46 from first 66
from looks 157 from views 99
from under 74 from looks 71
from might 89 from might 41
