factious man after a first 77
factors can cause a change 119
factors may cause a change 73
factors that cause a change 155
factors that cause a child 49
factors that cause a shift 87
factors that place a child 90
factors that place a woman 42
faculty for telling a story 53
features hid under a cloud 127
figment can cover a large 43
figured that maybe i could 79
following one morning a fresh 44
following one which i shall 40
follows for nearly a league 43
freedom for which i could 40
freedom with which a father 65
freedom with which i shall 75
freedom with which i spoke 52
freedom with which i write 368
friends and after a while 126
friends for quite a while 211
friends had given a grand 44
function that takes a state 123
function that takes a value 76
