failed even more completely than 70
fallen early into dissipation and 54
fallen into some scandalous sin 44
family have been frightened out 90
family have been identified and 110
family have been identified with 251
family have been remarkable for 45
family were well acquainted with 68
farther from their particular and 51
fathers were only acquainted with 367
fields from crop cultivation and 186
fields have been cultivated for 46
fields have been discovered and 245
figure your loss separately for 76
findings from these interviews are 43
findings have been consistent with 125
findings have been correlated with 148
findings have been criticized for 48
findings have been replicated and 199
findings have been replicated for 53
findings have been replicated with 151
findings have been summarized and 42
findings were also consistent with 215
findings were more consistent with 84
findings were most consistent with 76
follow from some particular act 40
follow from these assumptions that 137
follow from these principles that 175
follow some open enterprise set 41
forbear once more recommending her 61
forced into early retirement and 135
forced into early retirement due 43
forced into early retirement for 59
forces have been determined for 47
forces into their horizontal and 106
formed from more households than 42
formed when great confidence was 97
former have been identified with 50
former life only remarkable for 85
former much more frequently than 226
fought much more stubbornly than 53
