face fell fifty per cent 44
face from israel and from 83
face from showing you what 49
face grew black with anger 56
face grew black with rage 67
face grew livid with rage 134
face grew paler and more 48
face grew paler than ever 46
face grew white with anger 59
face grew white with rage 58
face grow stern and cold 282
face hard truths and take 118
face more round than oval 125
face soon after she heard 48
face went black with anger 44
face went black with rage 74
face went black with wrath 46
face went white with anger 132
face went white with fury 46
face went white with pain 45
face went white with rage 144
fact into which you have 98
fact only about ten years 50
fact there could not have 45
fact there never had been 90
fact there never has been 165
fact there never was such 70
fact there would not have 40
fact upon which they were 59
fact upon which you base 475
fact upon which you rely 88
fade into night ere their 113
fail crying aloud for peace 50
fain have every one like 82
fain have taken her also 57
fain will never its faith 41
fair arms about his neck 40
fair arms round his neck 41
fair hair about her pure 644
fair hair which she wore 50
fair land where they were 47
fair wind under all sail 130
fair young beech that here 41
fair young girls had heard 116
faith fair scorn doth gain 41
faith from which they spring 80
faith from which they were 42
faith into which they have 44
faith into which they were 251
faith into which you were 61
faith made whole with deed 92
faith upon which our faith 138
faith upon which they were 92
faith will never get into 48
fall away beneath his feet 91
fall away every one from 135
fall back right and left 76
fall back until they were 49
fall from grace and faith 44
fall from grace and lose 54
fall from grace had been 349
fall from grace has been 263
fall from heaven had been 48
fall from power had been 157
fall from power two years 95
fall from round her like 159
fall from under his hand 47
fall into danger for want 85
fall into decay and ruin 415
fall into decay for want 94
fall into error for want 79
fall into hands that will 201
fall into place and form 155
fall into place and give 114
fall into place and life 142
fall into place and make 398
fall into unity with those 45
fall open where they will 57
fall some where and must 47
fall well within this range 146
fall when first she heard 58
fame soon spread all over 57
fare much worse than those 114
farm land which had been 103
farm land which has been 154
farm life which had been 47
fast rule about how many 75
fast rule about how much 129
fate from which they have 45
fate from which they were 62
fate from which you have 74
fate more worthy our size 46
fate over which they have 82
fate slung round his neck 56
fats from which they were 43
fears from which they spring 101
fears were borne out when 89
fears were mingled with some 48
feed these people with bread 146
feed upon grass and other 42
feed upon right and truth 99
feel good about being able 205
feel good about being here 181
feel good about being part 303
feel good about being there 316
feel good about doing good 47
feel good about doing what 67
feel good about each other 976
feel good about going back 49
feel good about her body 147
feel good about his body 49
feel good about his life 61
feel good about his work 70
feel good about how much 107
feel good about not having 45
feel good about our work 83
feel good after and what 377
feel less alone and less 276
feel less alone and more 355
feel less alone with their 185
feel less rather than more 47
feel less tense and more 97
feel less tired and more 104
feel like jumping off when 138
feel like playing any more 283
feel like playing this game 57
feel like running and hiding 60
feel like talking any more 346
feel like talking things over 88
feel like tossing him into 140
feel like wasting any more 47
feel like working any more 209
feel like writing any more 320
feel more alive and more 202
feel more alive than ever 546
feel more alive than when 76
feel more alone than ever 692
feel more alone than when 103
feel more rather than less 167
feel more tired than ever 65
feel much safer and more 97
feel pity rather than anger 43
feel safe until they were 85
feel sure about doing good 117
feel tears filling her eyes 44
feel their child has been 40
feel their hands are tied 96
feel their trust has been 49
feel very happy and good 59
feel very happy and very 147
feel very proud and very 64
feel very quiet and self 123
feel very small and very 251
feel very sorry for having 46
feel very sorry for other 60
feel very sorry for poor 357
feel very sorry for these 111
feel very sorry for those 121
feel very sorry for what 82
feel very sorry for your 82
feel very sorry that your 95
feel when faced with such 53
feel your spine than your 105
feel your words are true 106
fees were lower than those 67
feet away could not have 50
feet deep which had been 54
feet from where they were 703
feet from where you were 65
feet have beaten new paths 42
feet high above its base 61
feet high above our heads 73
feet high which had been 77
feet were armed with most 81
feet were black and blue 40
feet were black with dirt 56
feet were bound with rope 49
feet were broad and flat 45
feet were caked with dirt 43
feet were large and flat 78
feet were small and well 342
feet were stiff with cold 64
feet were swept out from 98
feet were tired and sore 72
feet wide apart and arms 73
feet wide apart and your 88
fell among thorns are those 67
fell away beneath her feet 49
fell away beneath his feet 118
fell back about one mile 49
fell back after his last 43
fell back gasping for breath 40
fell back right and left 103
fell back until they were 53
fell down about him like 103
fell down after they were 119
