face bore every mark of 166
face came stealing over me 42
face from every part of 40
face last night when he 98
face swung round upon me 80
face went white when he 86
face were tight tied up 64
face will shine upon me 64
fact also gives rise to 50
fact been drawn from the 41
fact been taken from the 44
fact been taken over by 90
fact from which there is 210
fact have given rise to 42
fact only about half of 78
fact only about half the 40
fact some times gave the 63
fact take place during the 81
fact take place when the 44
fact there would seem to 128
fact took place during the 93
fact upon which there is 88
fact well burnt into me 47
fact well known among the 57
fact well known from the 71
fact will appear from the 45
fact will appear when we 40
fair dealing where there is 63
fair dealing which must go 49
fair dealing would seem to 60
fair dome where suit is 76
fair eyes which knew me 50
fair face ceased when it 71
fair fame never dies of 40
fair maid whose heart he 57
fair play would seem to 55
faith been thrust upon me 176
fall back again into the 3539
fall back again upon the 562
fall back again when the 46
fall back easily into the 47
fall down again into the 115
fall down again upon the 166
fall down daily from the 43
fall face first into the 249
fall face first onto the 103
fall from above upon the 55
fall from grace during the 289
fall from grace into the 308
fall from grace when he 127
fall from grace when the 46
fall from grace will be 40
fall from heaven into the 464
fall from heaven unto the 1988
fall from heaven upon the 530
fall from power during the 55
fall from thence upon the 83
fall from which there is 132
fall into decay during the 98
fall into decay when the 112
fall into either even or 58
fall into error from the 205
fall into error when we 83
fall into every kind of 233
fall into every sort of 97
fall into place along the 51
fall into place during the 100
fall into place just as 106
fall into place like the 286
fall into place once the 287
fall into place once we 150
fall into place over the 124
fall into place when it 41
fall into place when the 336
fall into place when we 420
fall like leaves from the 132
fall like manna from the 184
fall more easily into the 207
fall more often into the 91
fall most easily into the 149
fall much below those of 43
fall once again into the 249
fall took place when the 46
fall very easily into the 41
fall well below those of 351
fame soon spread over the 40
fangs were gleaming upon me 137
fans have never heard of 43
farm five miles from the 89
farm five miles north of 165
farm five miles south of 198
farm five miles west of 142
farm four miles from the 80
farm four miles north of 208
farm four miles south of 197
farm four miles west of 179
farm hand still more by 43
farm nine miles north of 40
farm some miles from the 102
farm three miles from the 108
farm three miles north of 680
farm three miles south of 298
farm three miles west of 287
fast ball right down the 187
fast rule about when to 62
fate from which only the 42
fate from which there is 233
fate hers could have no 69
fats from foods such as 50
fears were based upon the 108
feed onto items such as 128
feed their lamps from the 61
feel awed while gazing at 89
feel from within must be 44
feel good about coming in 43
feel good about coming to 187
feel good about having the 62
feel good about leaving the 42
feel good about living in 127
feel good about making the 60
feel good about some of 75
feel good about taking the 62
feel good about what he 401
feel good about what is 133
feel good about what we 1336
feel like driving back to 64
feel like getting back to 218
feel like getting down on 134
feel like getting into an 75
feel like getting into it 262
feel like getting into the 123
feel like jumping into the 236
feel like running away or 50
feel like running away to 47
feel like running back to 46
feel like sinking into the 69
feel like sitting down on 49
feel like sitting down to 59
feel like walking back to 45
feel like walking down the 41
feel most growing upon me 67
feel sweat running down my 79
feel sweat running down the 47
feel tears rolling down my 55
feel tears running down my 119
feel their hearts warm to 72
feel their power over me 51
feel time passing away as 396
feel very badly over it 45
feel very happy over it 42
feel very happy over the 84
feel wave after wave of 57
feel well taken care of 353
feet came rolling along the 68
feet came running along the 41
feet deep would have to 45
feet down stream from the 71
feet from either side of 235
feet from sinking into the 129
feet have never trod the 68
feet high rises from the 45
feet high swept down the 51
feet high swept over the 53
feet kept sinking into the 60
feet like sunny gems on 50
feet tall crept past me 77
feet were burning from the 45
feet were dangling over the 89
feet were keeping time to 97
feet were sinking into the 161
feet were still upon the 66
feet were taken from the 65
feet were thrust into the 125
feet wide running along the 50
feet will stand upon the 42
fell away again into the 49
fell back again among the 47
fell back again into my 42
fell back again into the 1066
fell back again upon the 175
fell down again into the 72
fell down again upon the 155
fell down bound into the 372
fell down either side of 41
fell down while trying to 57
fell even lower during the 48
fell face first into the 1661
fell face first onto the 321
fell feet first into the 48
fell fled wailing over the 125
fell from above into the 64
fell from favor during the 68
fell from grace during the 91
fell from grace when he 127
fell from grace when the 65
fell from heaven during the 118
fell from heaven into the 532
fell from heaven unto the 57
fell from heaven upon the 375
fell from power during the 119
fell from power early in 57
fell from power over the 41
fell from power when he 66
fell from power when the 46
fell into decay during the 277
fell into decay when the 132
fell into error when he 112
fell into every kind of 155
fell into place during the 81
fell into place just as 91
fell into place like the 123
fell into place when he 107
fell into place when it 41
fell into place when the 103
fell into ruins during the 65
fell into verse when it 87
fell last night from the 64
fell like manna from the 55
fell like music upon the 89
fell more easily into the 70
fell once again into the 179
fell once again upon the 53
fell open again when he 63
fell soon after into the 141
fell very short even of 51
fell well below those of 56
felt even worse when he 158
felt even worse when the 65
felt good about giving the 104
felt good about having the 51
felt good about what he 289
felt good about what we 149
felt last night when he 62
felt like every bone in 102
felt like falling down on 56
felt like fleeing from the 103
felt like getting back to 50
felt like getting down on 101
felt like handing back the 61
felt like jumping into the 135
felt like jumping over the 70
felt like running away to 74
felt like running back to 98
felt like running down the 69
felt like running from the 82
felt like running into the 63
felt like running over to 42
felt like setting fire to 42
felt like sinking into the 265
felt like sitting down in 48
felt like sitting down on 85
felt like sitting down to 49
felt like walking into the 76
felt only where there is 62
felt over every inch of 100
felt over every part of 58
felt sick every time he 64
felt some alarm from the 137
felt some guilt over the 65
felt sure could only be 45
felt sure would come to 41
felt sure would soon be 61
felt sweat running down my 45
felt tears rolling down my 163
felt tears running down my 246
felt their hearts beating as 161
felt their lives were in 163
felt there would have to 51
felt there would soon be 61
felt upon first seeing the 42
felt very badly over the 77
felt very badly when he 45
felt very happy over the 44
felt very happy when he 82
felt very happy when the 108
felt very proud when he 76
felt very proud when the 57
felt very sorry when he 44
felt very sorry when it 47
felt very tired from the 43
felt very uneasy when he 40
felt wave after wave of 240
felt well taken care of 68
felt were missing from the 46
felt what could only be 82
felt when running away as 44
fern some dozen feet in 87
file ever moved from the 58
file from which data is 150
file their front teeth to 279
file were drawn from the 114
filing date shall have the 47
fill page after page in 206
fill page after page of 721
fill some small part of 43
fill their sides full of 289
fill their water jars at 54
fill those whose life it 55
find areas where there is 58
find case after case of 65
find meaning where there is 49
find mile after mile of 55
find more people like the 41
find much favor among the 64
find page after page of 417
find some happy work to 58
find some legal means of 56
find some place else to 299
find some place upon the 69
find some quiet time to 75
find some small hook by 61
find some spare time to 50
find some which seem to 56
find such people more to 90
find their entry into the 47
find their final meaning in 42
find their first jobs in 130
find their hands full of 69
find their hands tied by 134
find their homes shut up 44
find their level among the 63
find their names among the 49
find their place among the 583
find their place only in 76
find their place side by 72
find their place upon the 67
find their reply only on 63
find these books just as 99
find these terms used in 56
find these words from the 48
find these words used in 43
find three sorts among the 57
find very quick ways of 64
find what looks like an 88
find what looks like the 44
find what works best in 68
find your place among the 66
fine clean sands give the 66
fine deep voice made an 103
fine iron filings over the 64
fine rain falling amid the 63
fine spring morning when the 61
fine string passing over the 67
fine wire wound over the 59
fine young horse from the 87
finger will never find us 69
fire come running down the 50
fire from either side of 131
fire from every part of 156
fire from getting into the 54
fire from heaven upon the 1063
fire from heaven upon us 59
fire from which there is 96
fire last night when he 102
fire three shots from the 53
fire three shots into the 148
fire three times during the 104
fire took place during the 75
fire were dancing upon the 79
fire will never cease to 78
firing back hotly upon the 58
firing shot after shot at 209
firing three shots into the 53
firing took place during the 76
firing took place from the 147
firm ideas about what he 52
firm look often awes the 57
firm will either have to 55
fish from getting into the 49
fish just taken from the 60
fish tank built into the 59
fish were found along the 104
fish were taken during the 51
fish were taken from the 427
fish were thrown into the 139
fish were thrown upon the 57
fish when taken from the 45
fits less easily into the 82
fits more easily into the 627
fits more neatly into the 181
fits most easily into the 179
fits very easily into the 193
fits very neatly into the 566
five days after birth the 58
five days after date of 67
five days after filing the 114
five days after leaving la 50
five days after leaving the 208
five days after making the 41
five days after taking the 81
five days later came the 75
five days later from the 47
five days later took the 41
five days later when he 171
five days later when the 355
five more hands come to 79
five more times during the 98
