face and the shadows under 63
face for an instant longer 45
face for the answers which 89
face for the outside world 113
face out the present storm 87
face that is totally lacking 111
face was of egyptian brown 402
face with an elderly woman 43
face with the dilemma which 45
face with the general truths 41
face with the moonlit front 65
face with the outside world 127
face with the problem which 565
face with the question which 242
face with the visible world 122
fact for the national court 48
fact has no precise sense 59
fact than the average rumor 42
fact than the popular notion 61
fact that an accused acted 119
fact that an adopted child 59
fact that an exchange takes 43
fact that an increasing share 102
fact that at certain times 486
fact that at present people 47
fact that he avoided raising 54
fact that he himself could 164
fact that he himself knows 44
fact that he himself lived 95
fact that he himself might 79
fact that he himself never 161
fact that he himself often 71
fact that he himself owned 62
fact that he himself seems 42
fact that he himself would 218
fact that he himself wrote 109
fact that he several times 54
fact that he studied under 53
fact that in america today 91
fact that in ancient china 42
fact that in ancient egypt 75
fact that in ancient japan 68
fact that in ancient times 956
fact that in britain today 43
fact that in certain cases 1892
fact that in certain forms 80
fact that in certain parts 253
fact that in certain types 91
fact that in colonial times 76
fact that in general people 52
fact that in general terms 69
fact that in general women 42
fact that in granite dykes 106
fact that in previous times 40
fact that in several cases 824
fact that in several parts 44
fact that in several steps 91
fact that in similar cases 41
fact that in typhoid fever 42
fact that it brought about 216
fact that it usually takes 189
fact that my company sells 80
fact that my husband would 42
fact that my parents never 47
fact that my parents would 82
fact that no country could 50
fact that no current flows 74
fact that no european nation 46
fact that no precise short 92
fact that the account given 66
fact that the accused acted 76
fact that the accused could 112
fact that the accused would 46
fact that the adopted child 68
fact that the adrenal gland 48
fact that the adverse party 88
fact that the african people 78
fact that the african slave 52
fact that the alleged crime 49
fact that the alleged libel 40
fact that the ancient greek 231
fact that the ancient indian 133
fact that the ancient people 49
fact that the ancient state 46
fact that the ancient world 156
fact that the animals could 60
fact that the animals which 99
fact that the answers given 57
fact that the applied field 65
fact that the arterial blood 95
fact that the average adult 158
fact that the average black 148
fact that the average child 186
fact that the average daily 241
fact that the average earnings 133
fact that the average error 42
fact that the average grade 105
fact that the average gross 40
fact that the average growth 78
fact that the average holding 90
fact that the average human 217
fact that the average indian 157
fact that the average level 220
fact that the average period 74
fact that the average power 102
fact that the average price 947
fact that the average rates 49
fact that the average reader 114
fact that the average rural 54
fact that the average score 97
fact that the average speed 87
fact that the average stock 41
fact that the average total 144
fact that the average value 608
fact that the average voter 49
fact that the average wages 50
fact that the average white 68
fact that the average woman 307
fact that the average working 217
fact that the average yearly 100
fact that the average yield 294
fact that the bacteria which 61
fact that the balance sheet 403
fact that the british could 184
fact that the british crown 103
fact that the british fleet 306
fact that the british force 56
fact that the british indian 55
fact that the british isles 242
fact that the british nation 246
fact that the british naval 44
fact that the british never 99
fact that the british people 373
fact that the british power 41
fact that the british press 91
fact that the british prime 173
fact that the british ships 78
fact that the british state 67
fact that the british still 125
fact that the british trade 56
fact that the british working 114
fact that the british would 218
fact that the calcium salts 49
fact that the capital costs 47
fact that the capital gains 76
fact that the capital goods 71
fact that the capital stock 280
fact that the capital value 66
fact that the capital which 72
fact that the catholic party 43
fact that the central banks 122
fact that the central board 131
fact that the central bureau 91
fact that the central focus 64
fact that the central issue 105
fact that the central parts 54
fact that the central people 42
fact that the central point 114
fact that the central power 87
fact that the central region 67
fact that the central water 42
fact that the chicago board 42
fact that the chinese could 88
fact that the chinese never 50
fact that the chinese people 599
fact that the chinese state 71
fact that the chinese would 91
fact that the circuit court 109
fact that the classes which 46
fact that the coastal plain 42
fact that the coastal state 153
fact that the colonial period 42
fact that the colonial power 67
fact that the colonial state 345
fact that the colored people 371
fact that the columbia river 64
fact that the company could 341
fact that the company makes 52
fact that the company might 60
fact that the company never 67
fact that the company owned 49
fact that the company still 62
fact that the company which 101
fact that the company would 207
fact that the conduct which 62
fact that the congress could 45
fact that the congress party 496
fact that the congress which 87
fact that the congress would 49
fact that the contour lines 45
fact that the control group 1026
fact that the coriolis force 62
fact that the coulomb force 60
fact that the council could 135
fact that the council would 48
fact that the country could 224
fact that the country needs 98
fact that the country party 59
fact that the country people 158
fact that the country still 129
fact that the country which 257
