far degraded them below the 156
far exceeded all others in 293
far exceeded any pride he 49
far exceeded that given to 119
far exceeded that shown in 54
far exceeded that which he 89
far exceeded that which is 44
far exceeded that which the 115
far exceeded that which we 89
far excelled all others in 122
far modified his views as 48
far outstrip all others in 42
far outweigh all others in 52
far overcame her sense of 90
far subjects are bound to 43
far surpassing all others as 95
far surpassing all others in 92
far surpassing that found in 44
far surpassing that which is 101
far surpassing that which it 44
far surpassing that which the 46
fat droplets are found in 60
fat envelope was thrown by 52
fat globules are found in 69
fear everyone who looks as 50
fear overcome his sense of 98
few articles and books on 43
few articles that could be 60
few articles that might be 40
few chapters may serve to 79
few citizens are aware of 88
few citizens are willing to 61
few comments may serve to 49
few concepts that apply to 56
few consider and prize it 58
few elements are found in 59
few elements are given in 50
few elements that could be 50
few examples are cited in 95
few examples are cited to 69
few examples are found in 259
few examples are found of 63
few examples are given as 78
few examples are given in 1574
few examples are given of 372
few examples are given on 66
few examples are given to 400
few examples are known in 186
few examples are known of 265
few examples are known to 93
few examples are shown in 1034
few examples can serve to 71
few examples for which the 60
few examples may serve as 430
few examples may serve to 1510
few examples that could be 76
few examples that might be 86
few extracts may serve to 56
few families are willing to 58
few families who lived in 90
few managers are willing to 124
few marriages are happy is 139
few materials are given in 91
few materials with which to 74
few occasions for blame in 62
few officers are willing to 56
few painters who belong to 61
few passages are cited by 40
few patients are aware of 61
few patients are willing to 188
few patients who appear to 45
few pictures hung round the 43
few problems for which the 51
few products for which the 67
few products that could be 46
few questions are asked by 50
few questions are asked of 55
few questions ask about the 59
few questions that could be 54
few questions that might be 74
few questions with which the 45
few reserves with which to 48
few sanctions with which to 62
few scholars are aware of 42
few scholars are willing to 100
few students are aware of 88
few students are willing to 92
few students who chose to 45
few subjects with which he 40
fix attention and touch the 46
flu epidemic that swept the 61
fly straight and level at 221
fly straight and level in 46
fly straight and level on 42
fly straight and level to 51
fly whenever she opens it 63
for abortions for women on 85
for accuracy and beauty of 40
for accuracy and speed in 122
