faced new 59 fancy new 41
fancy was 85 father few 40
father year 127 father man 59
father car 41 father new 171
father job 104 father man 256
father boy 170 father son 138
father new 43 father bit 40
father new 55 father few 59
father day 43 father job 42
father son 141 fawning way 65
feeling was 40 feeling was 41
fight die 49 finding new 73
finding man 105 finding had 61
finding was 90 fired man 169
first man 79 first poet 86
first had 128 first was 106
first saw 43 first dead 46
first had 62 first was 285
first tax 73 first had 54
first was 985 first was 70
first mean 52 first was 113
fixed had 63 flask few 89
flesh man 93 floor few 40
force man 98 force year 53
force man 104 force let 51
force job 40 forming new 41
forms new 46 forms new 180
found new 142 found few 60
found did 43 found was 123
found few 56 found did 92
found had 48 found was 66
found few 60 found was 54
fresh too 48 funds new 209
