face gleams round and red 184
face looking dried and his 141
face paled beneath his tan 44
face taken after his death 83
face which spoke her joy 133
face white beneath its tan 202
fact alone shows how far 103
fact passing under his own 90
fact taken place and that 44
fact which boded ill for 41
fact which could not but 93
fact which might lead one 45
fact which shows how far 107
fact which shows that his 69
fact which shows that they 217
fact which shows that this 74
fact which tells its own 80
fact which would lead one 61
fading lamps waned dim and 40
fair herds which they saw 50
fair large front and eye 769
fair maids often cry and 47
fair price shops are not 67
fair round belly with fat 73
fair woman bowed her head 62
faith alone could heal and 54
faith which bound him and 40
faith which makes them see 41
fall apart after his death 102
fall apart under its own 62
fall neatly under any one 42
fall sweet dreams for thee 48
fast rules about how long 50
fate truly worse than death 96
fears which could not but 47
feel about people and things 54
feel about people who are 362
feel about where they are 41
feel about where you are 217
feel badly about not being 244
feel horse where they are 47
feel kinda sorry for him 50
feel quite sorry for her 324
feel quite sorry for him 478
feel quite sorry for them 72
feel quite sorry for you 62
feel rather sorry for her 127
feel rather sorry for him 270
feel rather sorry for his 53
feel rather sorry for them 253
feel really sorry for her 413
feel really sorry for him 186
feel really sorry for them 103
feel really sorry for you 236
feel right about doing that 106
feel truly sorry for them 45
feel uneasy about his own 45
feel worse about that than 96
feel wrongs which tie him 61
feet first rather than head 63
feet shall stand that day 55
feet spread apart and his 94
feet under water with all 41
fell apart after his death 297
felt awful sorry for him 55
felt badly about his own 41
felt badly about not being 97
felt badly about this and 45
felt easily where she was 42
felt kinda sorry for him 47
felt quite sorry for her 307
felt quite sorry for him 859
felt quite sorry for them 150
felt quite sorry that his 44
felt rather sorry for her 406
felt rather sorry for him 848
felt rather sorry for his 45
felt rather sorry for them 215
felt rather vexed with her 79
felt really sorry for her 401
felt really sorry for him 628
felt really sorry for them 109
felt really sorry for you 42
felt right sorry for her 41
felt truly sorry for her 189
felt truly sorry for him 225
felt truly sorry for them 48
felt uneasy about him and 43
felt uneasy about his own 40
felt uneasy about this new 43
felt until after his death 44
felt would serve for two 48
fifth night after she was 58
find ample scope for all 82
find ample scope for his 180
find ample scope for its 48
find anything which has not 78
find eagles drawn with all 44
find either fools who are 50
find found found fit fit 140
fine emery paper and then 73
fine flour mingled with oil 1183
fine flour mixed with oil 2836
fine grass patch not far 61
fine house built for him 41
fine print which has not 94
fine right where they are 48
fine smooth older one who 81
fine tenor voice and sang 56
fine tenor voice and was 51
fine walking telling you men 55
fine whale which they had 62
fire burning night and day 135
fire burns night and day 42
fire first broke out and 47
fire which broke out and 61
fire which broke out near 139
fire which burns out for 81
fire which burnt for ten 44
fire which every now and 71
fire which makes him and 43
fire which never goes out 114
