far ask pardon as befits 69
far has failed to comply 95
far off across the fields 66
far off across the valley 69
far off across the waters 60
far out across the desert 75
far out across the fields 78
far out across the plains 111
far out across the silent 40
far out across the valley 69
far out across the waters 54
far out beyond the limits 79
far out through the window 43
far out toward the center 50
far out toward the middle 52
far too freely in comedy 48
far too humble to aspire 44
far too little in return 45
far too little of brooding 43
far too little to enable 57
far too little to permit 54
far too little to supply 86
far too modest to assume 87
far too narrow to permit 78
far too polite to mention 72
far too scanty to enable 97
far too scanty to permit 99
far too serious to ignore 42
far too serious to permit 99
far too simple to assume 47
far too tempting to resist 54
fear and desiring to remain 48
fear and hatred of blacks 159
fear and hatred of england 95
fear and hatred of france 62
fear and hatred of soviet 42
fear and hatred of whites 49
fear any person or animal 174
fear has seized the greeks 57
fear real causes of terror 46
fear that changes in methods 87
fear that little by little 41
fear that someone or something 147
fear that something or someone 94
fear that welled up inside 102
fear they should be stolen 68
fear they should be thought 62
fear they should be turned 48
fear this caused in sparta 222
fed and clothed at public 79
fed and clothed in return 52
fed and clothed the family 58
fed them through the winter 101
fee for claims in excess 53
fee for entering the mosque 48
few are likely to become 55
few are likely to escape 44
few are likely to follow 52
few can afford the luxury 114
few can afford to ignore 61
few can forbear to relate 79
few long chains of reasoning 68
few old scores to settle 59
few who aspire to serious 69
few who govern the million 49
few who wished to remain 55
fit and proper in devout 57
fit and rejoin the broken 50
fit for building of houses 271
fit for exciting the flames 103
fit for watering the ground 116
fit for yielding the various 55
fly and lifted me upward 64
fly for refuge to christ 44
fly for refuge to england 52
fly for refuge to france 54
fly for safety to france 73
fly off through the escape 66
fly out through the window 177
fog that filled the valley 58
for aid through the merits 41
for all answer he cleared 66
for all before the rigors 91
for all changes to become 1353
for all damage or injury 159
for all energy in excess 48
for all except the lowest 200
for all figure is finite 71
for all grades of public 75
for all grades of pupils 40
for all grades of school 117
for all groups of plants 41
for all groups of pupils 68
for all injury or damage 68
for all levels of divers 73
for all levels of factor 136
for all levels of higher 54
for all levels of income 1241
for all levels of mental 44
for all levels of office 97
for all levels of output 1056
for all levels of planning 116
for all levels of public 172
for all levels of readers 162
for all levels of riders 109
for all levels of school 207
for all levels of skiers 236
for all levels of training 170
for all losses in excess 56
for all losses or damage 224
for all lovers of english 51
for all lovers of nature 52
for all manner of advice 47
for all manner of building 49
for all manner of cattle 367
for all manner of causes 160
for all manner of crimes 239
for all manner of disease 76
for all manner of events 49
for all manner of favors 51
for all manner of places 62
for all manner of plague 96
for all manner of public 312
for all manner of reasons 906
for all manner of sexual 43
for all manner of special 90
for all manner of sports 43
for all manner of strange 77
for all manner of useful 60
for all nations to follow 143
for all periods of english 47
for all phases of design 96
for all phases of flight 423
for all phases of school 183
for all points of detail 51
for all pupils in england 45
for all pupils in grades 153
for all pupils of school 42
for all regions of canada 49
for all seasons by robert 224
for all seemed to listen 55
for all shades of opinion 438
for all stages of disease 189
for all stages of ovarian 48
for all stages of school 45
for all states of matter 52
for all states of nature 312
for all states of stress 215
for all states to follow 88
for all tender or heroic 45
for all through the summer 88
for all through the winter 73
for all values of energy 47
for all values of output 55
for all values of stress 92
for and grasping an object 95
for and hasten by prayer 45
for and impact of online 51
for and methods of arriving 195
for and obtain the patent 131
for and placed in special 42
for and supply of cotton 62
for and supply of credit 321
for and supply of energy 235
for and supply of female 43
for and supply of output 57
for and supply of pounds 71
for and supply of public 120
for and supply of skills 77
for and supply of sterling 185
for and supply of various 144
for any airman or ground 51
for any amount in excess 1553
for any amount of credit 67
for any amount of damage 41
for any amount of income 55
for any amount of riotous 42
for any avenue of escape 133
for any bodily or mental 72
for any brother or sister 56
for any career in europe 60
for any chance of escape 219
for any chance of safety 48
for any chance to escape 75
for any choice of initial 47
for any choice of values 44
for any county in england 156
for any county or county 105
for any damage he caused 44
for any damage he causes 95
for any damage it causes 98
for any damage or injury 1550
for any damage or losses 49
for any damage so caused 58
for any damage to person 123
for any degree of mental 41
for any detail in return 48
for any disease or injury 50
for any editor to endure 58
for any errors in spelling 52
for any errors or faults 49
for any excess of weight 58
for any excess so issued 77
for any excuse to attack 60
for any excuse to escape 100
for any existing or future 52
for any greater or lesser 506
for any injury he causes 76
for any injury or damage 4070
for any injury or disease 68
for any injury to person 371
for any insult or injury 63
for any levity to escape 40
for any losses in excess 49
for any losses or damage 123
for any losses or treated 71
for any manner of rotten 44
for any manner of treason 90
for any master or person 222
for any mortal to admire 82
for any number in excess 93
for any number of actions 40
for any number of actual 95
for any number of agents 51
for any number of assets 53
for any number of blocks 59
for any number of bodies 144
for any number of cattle 70
for any number of causes 139
for any number of changes 52
for any number of claims 79
for any number of colors 63
for any number of copies 171
for any number of crimes 64
for any number of cycles 158
for any number of digits 86
for any number of dishes 41
for any number of events 180
for any number of fields 46
for any number of forces 369
for any number of future 103
for any number of groups 231
for any number of guests 132
for any number of highly 43
for any number of horses 94
for any number of inputs 307
for any number of issues 91
for any number of layers 191
for any number of lenses 63
for any number of levels 174
for any number of masses 53
for any number of nights 104
for any number of periods 542
for any number of phases 207
for any number of places 53
for any number of plates 56
for any number of points 505
for any number of pounds 55
for any number of pupils 69
for any number of random 86
for any number of reasons 25448
for any number of rounds 58
for any number of series 55
for any number of shares 541
for any number of shipping 90
for any number of simple 47
for any number of slaves 122
for any number of special 136
for any number of stages 295
for any number of states 69
for any number of traits 48
for any number of troops 111
for any number of values 150
for any number of verses 43
for any number of voices 88
for any number of worlds 43
for any object of public 169
for any office of profit 280
for any office of public 449
for any office or public 1183
for any output in excess 42
for any parent or teacher 83
for any parity of wisdom 115
for any pension or profit 285
for any person in charge 212
for any person of candor 101
for any person of common 166
for any person on behalf 632
for any person or agency 72
for any person or entity 330
for any person or family 54
for any person or object 41
for any person or vessel 67
for any person to accept 97
for any person to accuse 69
for any person to arrest 63
for any person to assert 42
for any person to assist 135
for any person to assume 128
for any person to attend 126
for any person to become 238
for any person to charge 59
for any person to commit 204
for any person to compel 70
for any person to comply 98
for any person to conceal 67
for any person to convey 76
for any person to decide 115
for any person to deface 80
for any person to demand 67
for any person to effect 374
for any person to employ 238
for any person to endure 40
for any person to entice 56
for any person to escape 67
for any person to expect 43
for any person to export 234
for any person to expose 91
for any person to follow 112
for any person to harbor 57
for any person to import 348
for any person to induce 91
for any person to injure 76
for any person to loiter 84
for any person to obtain 445
for any person to occupy 96
for any person to permit 278
for any person to pursue 57
for any person to refuse 490
for any person to remain 132
for any person to remove 482
for any person to resist 62
for any person to retain 66
for any person to secure 43
for any person to settle 46
for any person to suffer 58
for any person to supply 52
for any person to travel 123
for any person to violate 554
for any refund or credit 64
for any relief or remedy 215
for any school of thought 124
for any school or school 48
for any severe or serious 55
for any shares of common 108
for any source of income 113
for any speaker of english 49
for any speech or debate 16340
for any system of bodies 77
for any system of forces 256
for any system of morals 170
for any system of thought 250
for any system of values 128
for any teacher or parent 46
for any teacher to handle 42
for any thought of profit 95
for any treason or felony 206
for any vessel to escape 76
for any volume of output 47
for any writer of fiction 72
for bed before my guests 250
for being active in groups 69
for being rooted in something 50
for being unable to accept 228
for being unable to answer 131
for being unable to attend 432
for being unable to comply 60
for being unable to defend 44
for being unable to follow 64
for being unable to forget 42
for being unable to handle 107
for being unable to manage 49
for being unable to master 113
for being unable to obtain 76
for being unable to resist 146
for being unable to return 51
for being unable to supply 78
for both groups of mothers 125
for both groups of plants 51
for both groups of pupils 55
for both groups of readers 63
for both groups of states 56
for both nations the golden 53
for both nations to impeach 48
for both reasons he wished 105
for but failed to obtain 51
for doing poorly in school 95
