fact dignity 42 farm workers 44
fate control 78 fears violence 40
feel swiftly 72 feel emotions 135
felt aversion 42 filing spouses 919
find against 102 fine dollars 49
fine schemes 49 five dollars 125
five hundred 240 five thousand 401
five dollars 248 five millions 86
five thousand 971 five dollars 112
five thousand 62 five dollars 53
five knights 98 five members 269
five thousand 61 five thousand 145
five thousand 137 five thousand 146
five seconds 75 five between 80
five thousand 154 five dollars 126
five dollars 262 five millions 47
five persons 44 five dollars 288
flux density 137 flying towards 76
folk culture 177 four sisters 55
four vessels 64 four dollars 274
four millions 60 four thousand 163
four wounded 95 four dollars 227
four millions 106 four persons 81
four talents 55 four thousand 946
four dollars 289 four thousand 176
four wounded 56 four dollars 97
four thousand 159 four divided 60
four thousand 160 four thousand 151
four seconds 161 four seconds 47
four dollars 61 four bishops 42
four dollars 209 four florins 60
four dollars 488 four millions 48
four persons 49 four quakers 59
free himself 50 free exchange 65
from material 78 from columbia 381
from vassals 50 from islands 496
from position 74 from burdens 54
from priests 42 from ireland 99
from financing 1134 from america 65
from germany 82 from ireland 103
from effects 90 from sources 55
from sources 50 from science 110
from america 112 from animals 51
from upwards 41 from germany 98
from sources 43 from america 41
from purpose 79 from dollars 46
from sources 300 from sources 61
from science 53 from general 87
from violence 59 from ireland 48
from germany 49 from america 45
from sources 47 from sources 48
from religion 152 from ireland 44
from rhodesia 266 from european 676
from sources 459 from because 105
from sources 57 from sources 225
from details 40 from motives 47
from motives 45 from motives 84
from dialogue 46 from himself 51
from rhodesia 142 from germany 84
from sources 212 from european 66
from european 48 from germany 68
fuel control 135 fuel highest 74
