failures have been reported when 43
families have been excluded from 69
families have been recorded from 104
families have been reported from 104
families have been uprooted from 54
families sent their children away 47
families sent their children there 43
families went their separate ways 80
families when their children were 59
families when their husbands were 45
fractions have been isolated from 234
fractions have been obtained from 102
fractions have been prepared from 52
functions have been analyzed from 121
functions have been combined into 53
functions have been enlarged even 44
functions have been obtained from 72
functions have only recently been 40
