faced outcasts 43 faced nineteen 49
facts probable 47 facts squarely 43
facts recorded 40 failing alkaline 43
fairy felicity 168 falling direction 54
falling shoulder 70 falling category 58
falling category 586 falling shoulder 105
falling standard 52 falls shoulder 47
falls category 91 falls category 446
falls category 2901 falls category 83
falls shoulder 140 falls syllable 237
fatal pressure 108 fatal pressure 53
fatal pressure 60 feels prospect 48
fewer scruples 48 field direction 63
field approach 120 field demanded 43
fifty direction 51 fifty direction 60
fifty concrete 92 fight platform 40
files computer 64 files warrants 63
films chainsaw 55 films instinct 170
final instinct 50 final evolution 42
final minister 56 finding directly 86
finding problems 136 fired shoulder 50
firms computer 63 firms andersen 173
firms anderson 41 first minister 433
first american 117 first regarded 41
first sickness 110 first attention 221
first christian 223 first inquirer 71
first occurred 40 first infection 88
first consider 170 first compound 85
first quarters 49 first concerning 69
first companion 212 first obtained 47
first american 263 first artistic 65
first christian 402 first educator 150
first agreeably 68 first consists 43
first contains 68 first authority 47
first mandible 91 first interval 52
first trenches 242 first approach 57
first mentioned 56 first produced 75
first shoulder 162 first document 52
first incisors 88 first receives 44
first consists 129 first contains 129
first presents 42 first consider 43
first thereafter 195 first scholars 55
first filtered 45 first whitened 61
first sunlight 145 first sunshine 81
first barracks 53 first occurred 42
first activity 44 first distress 54
first activity 60 first presence 50
first solutions 61 first yourself 57
first children 170 first patients 51
first students 144 first resource 56
first analysis 53 first processing 51
first problems 165 first children 84
first students 91 first patients 49
first formation 304 first infection 49
first formation 57 first involves 40
first yourself 49 first minister 1184
first brackets 136 first compared 57
first minister 523 first quarters 147
first seriously 50 first remember 1784
first believed 49 first directly 59
first daylight 151 first temporal 312
first evolution 137 first politics 53
first american 198 first pictures 57
first eighteen 41 first practice 220
first occurred 42 first possible 51
first deepened 57 first declared 47
first movement 45 first doctrine 47
first minister 192 first atlantic 43
first soldiers 48 first migration 50
first refugees 109 first american 108
first settlers 50 first sentence 406
first complete 134 first quotation 63
first sentence 4630 first equations 127
first minister 111 first philippe 124
first elizabeth 91 fishing peasantry 54
fixed interval 41 flaking vertical 49
flame outwards 111 flesh trickled 68
flowing trickled 74 flows lawrence 47
fluid cylinder 57 fluid arteries 42
fluid descends 57 flyby approach 128
foods products 779 foods products 41
force anywhere 61 force counties 87
forms ventures 174 forty direction 94
forty socialism 80 found servants 45
found settlers 79 found children 53
found catholics 223 found sciences 45
found villages 49 found analysis 51
found equations 165 found cavities 43
found children 58 found quantity 121
found medicine 54 found articles 387
found numerous 218 found instance 94
found observed 50 found attention 40
fourth minister 133 frame opposite 122
fresh products 54 fresh buckskin 47
front daylight 95 front frontier 59
front american 57 front elevation 101
front barracks 90 fruit branches 79
fuels vehicles 50 fully condition 45
funding services 142 funding authority 235
funding sciences 496 funding progress 40
funding wildlife 44 funds business 104
funds security 291 funds progress 130
funds pursuant 51 funds security 178
funds forthcoming 50 funny situation 44
