far been confined largely to 161
far been directed towards the 52
far from abandoning himself to 72
far from adequate because of 40
far from beautiful according to 41
far from committing himself to 60
far from complete account of 60
far from complete because it 48
far from complete because of 104
far from complete because the 61
far from complete picture of 157
far from expressing himself in 40
far from flattering account of 58
far from flattering picture of 72
far from friendly towards the 71
far from impartial summary of 42
far from militating against the 301
far from presenting herself in 43
far from protesting against the 107
far from subjecting herself to 55
far into christian history to 73
far less agreeable chapter of 52
far less distance between the 41
far more accurate account of 76
far more accurate picture of 599
far more adequate account of 48
far more ambitious attempt to 45
far more ambitious program of 42
far more ambitious project in 43
far more ambitious project of 53
far more bitterly opposed to 43
far more complete account of 93
far more complete command of 45
far more complete picture of 274
far more convincing account of 40
far more criminal species of 87
far more dangerous because it 78
far more dangerous because of 63
far more dangerous enemies of 54
far more detailed account of 339
far more detailed picture of 266
far more detailed studies of 48
far more directly related to 82
far more immediate concern to 82
far more intimate picture of 41
far more intimate relation to 65
far more moderate penalty on 40
far more numerous between the 67
far more numerous classes of 43
far more numerous members of 53
far more numerous offspring of 126
far more positive picture of 74
far more powerful because it 51
far more powerful element in 43
far more powerful factors in 48
far more powerful position to 40
far more profound effects on 87
far more realistic picture of 217
far such questions concern the 147
fear from military ambition in 113
few more fruitful sources of 41
few were troubled because the 65
few will transmit progeny of 316
few years relations between the 81
fix your attention chiefly on 40
for asian american studies at 51
for asian american studies in 52
for best supporting actress as 111
for best supporting actress in 901
for data transfer between the 431
for dual processing systems in 138
for early american history in 72
for early american studies at 87
for even moderate numbers of 41
for ever declaiming against the 50
for fast transfer between the 139
for free movement between the 47
for full equality between the 84
for full recourse against the 355
for gene transfer studies in 73
for giving evidence against the 86
for giving financial support to 141
for good citizens outside the 49
for good relations between the 1422
for having attached himself to 50
for having offended against the 138
for having rebelled against the 135
for having remained faithful to 151
for having revolted against the 52
for having suffered himself to 222
for health problems related to 168
for health services research at 161
for health services research in 205
for health services research of 66
for health services research on 74
for high reynolds numbers the 50
for leading protests against the 41
for making decisions affecting the 131
for making decisions regarding the 567
for making decisions related to 265
for making detailed studies of 52
for making speeches against the 42
for many chemical reactions in 96
for many children because of 40
for many lukewarm friends of 75
for many patients because it 41
for many patients because of 67
for many problems related to 62
for many purposes according to 43
for many purposes because it 122
for many purposes because of 107
for many purposes besides the 100
for many purposes including the 143
for many purposes related to 41
for many purposes superior to 76
for many students because it 67
for many students because of 66
for mary earnestly desired to 74
for mass transfer between the 141
for more accurate control of 122
for more accurate recording of 43
for more adequate control of 83
for more adequate support of 50
for more advanced courses in 304
for more advanced studies in 170
for more advanced studies of 58
for more advanced versions of 60
for more complete control of 70
for more complete details of 80
for more complete details on 205
for more complete removal of 99
for more complete reviews of 70
for more detailed account of 127
for more detailed aspects of 45
for more detailed recording of 42
for more detailed research in 103
for more detailed research on 138
for more detailed reviews of 153
for more detailed studies in 138
for more detailed studies of 990
for more detailed studies on 231
for more detailed studies to 88
for more equality between the 45
for more rigorous control of 61
for more rigorous research in 49
for more rigorous research on 53
for more rigorous studies of 45
for more specific aspects of 78
for more specific details of 101
for more specific details on 145
for more specific measures of 41
for more specific studies of 58
for more vigorous efforts to 122
for most children between the 65
for most computer systems is 44
for most elements present in 76
for most patients because it 53
for most patients because of 103
for most purposes because it 92
for most purposes because of 92
for most purposes because the 55
for most students because of 43
for much valuable material on 47
for north american affairs in 118
for north american affairs of 42
for north american affairs to 80
for north american studies at 146
for north american studies of 58
for open conflict between the 52
for open rebellion against the 99
for open syllable lengthening in 44
for other backward classes in 68
for other expenses related to 50
for other possible sources of 241
for other potential sources of 105
for other problems related to 58
for other purposes according to 47
for other purposes because of 95
for other purposes besides the 328
for other purposes including the 68
for other purposes outside the 74
for other purposes related to 186
for other purposes subject to 52
for other variables related to 60
for past offenses against the 62
for poor relations between the 41
for post graduate studies in 65
for size analysis because of 59
for some abstract concept of 53
for some authentic account of 48
for some children because of 72
for some critical remarks on 48
for some definite purpose in 44
for some definite purpose of 53
for some definite purpose or 48
for some distance against the 59
for some distance between the 640
for some distance follows the 45
for some distance outside of 97
for some distance outside the 274
for some distance towards the 604
for some distance upstream of 43
for some essential features of 50
for some judicious remarks on 78
for some nefarious purpose of 90
for some nobleman brought up 41
for some patients because of 128
for some possible romance or 78
for some purposes because it 49
for some purposes because of 45
