faced in their daily work 56
faces of other human beings 51
faces of their loved ones 433
faces of these people were 154
faces of these women were 84
faces of your loved ones 130
faces we have never seen 215
facts as those which have 56
facts in these cases were 71
facts in those cases were 43
facts of life which have 69
facts of life which make 48
facts of life which must 98
facts of life would have 88
facts of their daily life 136
facts of these cases were 73
facts to other facts more 51
facts we have cited seem 43
fades the iris after rain 82
failing in such proof must 54
failing to look after their 45
failing to take action when 102
fails to give anything like 53
fails to take action when 59
fails to take fully into 139
fails to take place during 42
fails to take place when 277
fails to teach where there 49
fails to throw light upon 61
falling in heavy folds upon 368
falling in love feels like 86
falling in slow motion from 51
falling on like units must 143
falling on their faces when 49
falling on your blind spot 54
falling on your cheek from 221
falls on your blind spot 88
falls the least white star 343
falls to zero again when 54
falls to zero twice during 85
fancy to have flowing hair 191
farming in their spare time 93
farms in their spare time 53
fatal to their reaching their 47
fates of their loved ones 67
father at last fixed upon 220
father of three grown sons 48
father of your puppy were 249
father or other adult male 160
father or other close male 131
father or other senior male 49
favor of free trade among 50
favor of free trade have 52
favor of free trade were 49
favor of those which were 48
favor to give about half 156
fealty to their liege lord 87
feared my sobs would break 75
feared no good would come 75
feared the duke might come 58
feared the lady would have 58
feared the time might come 41
feared the time would come 58
feared to have fully laid 68
feasting by some shady spring 49
feasting on their flesh till 45
feather of some passing bird 42
feeding of deer would soon 133
feeding or living apart from 64
feeling is very strong among 66
feeling is very strong here 111
feeling of dread comes over 56
feeling of dread crept over 142
feeling of dread stole over 62
feeling of dread swept over 140
feeling of having taken part 60
feeling of loss swept over 109
feeling of love within their 105
feeling of pain arising from 88
feeling of pain crept over 88
feeling of peace comes over 130
feeling of peace stole over 122
feeling of peace swept over 46
feeling of pity swept over 42
feeling of these later days 41
feeling of what might have 78
feeling of your inner life 62
feeling so good about what 90
feeling the sweat running down 102
feeling to take cases like 46
feels at those dutch cows 46
feels no ideas about what 50
fence at least eight feet 51
fence to keep people from 50
fetch me some water from 106
fiber in your daily diet 75
field in areas where there 64
field is also taken into 42
field of aching snowy lime 44
field of tall indian corn 50
field of their blind fury 40
field of view which will 45
field of view would have 62
field of wheat where once 41
field of work which will 49
field of young indian corn 179
field or else would have 63
field to your working life 67
fiend as ever stole into 114
fifty or even forty years 45
fifty or even sixty feet 82
fifty or even sixty years 167
fifty or even thirty years 353
fifty or more miles away 218
fifty or more miles from 165
fifty or more people were 57
fifty or more yards away 58
fight the good fight even 46
fight the good fight from 43
fight the good fight there 40
fight the good fight when 58
filed at least seven days 101
filed at least thirty days 162
files in your local site 83
files on your local disk 49
files on your local hard 399
files to your local hard 324
filial in their feeling when 91
filling up page after page 114
filling up their spare time 50
fills the bill every time 51
finding of those facts upon 41
finding of those which show 61
finding so many human beings 261
finding the best route from 47
finds no home within thine 145
fined in sums varying from 60
fined to have right done 76
finer or more pliant thread 102
fingers of their right hand 1387
fingers of your right hand 12575
fingers on your right hand 449
fired at such close range 317
fired at such short range 65
fired at very close range 352
fired at very short range 164
fired the five shots into 46
fired the last round from 63
fires of hell still upon 68
first be clear about their 60
first be clear about what 844
first he held aloof from 49
first he just stood there 172
first of many steps leading 40
first of many times during 89
first of many times over 47
first of many times when 252
first of many trips into 56
first of many which have 42
first of many which were 261
first of many which will 41
first of mere human birth 44
first of their naval wars 54
first of these arose from 195
first of these cases came 110
first of these cases there 302
first of these cases will 46
first of these civil wars 41
first of these comes from 486
first of these dated from 79
first of these dates back 82
first of these dates from 234
first of these facts will 52
first of these forms part 40
first of these gives rise 153
first of these might have 98
first of these might well 45
first of these names means 40
first of these parts will 42
first of these raids took 45
first of these rests upon 108
first of these seven years 49
first of these springs from 52
first of these stems from 343
first of these terms means 124
first of these which will 46
first of these words means 124
first of these would have 375
first of these would seem 85
first of those which have 383
first of those which were 206
first of what would come 55
first of what would soon 110
first of what would turn 207
first on your right hand 52
first or only rails ever 96
first the case where only 119
first the case where there 632
first the road comes moving 45
first the road which leads 54
first thing laid aside when 194
first thing many people think 75
first thing most people think 183
first thing most people want 102
first thing your father will 63
first thing your reader sees 45
first to break loose from 247
first to cast doubt upon 130
first to come under fire 205
first to find fault when 51
first to give anything like 82
first to have acted upon 90
first to make known their 127
first to make quite sure 51
first to talk about what 99
first to think about what 53
first to third place among 47
first to throw doubt upon 79
first to throw light upon 220
first to turn aside from 91
first to turn aside into 62
fishing in their spare time 62
fishing on great slave lake 62
fixed at least thirty days 560
fixed at their lower ends 294
fixed at their upper ends 76
fixed on some lofty ideal 42
fixed on some small hole 70
fixed to some rigid body 131
fixed to some solid body 78
fixed to take place early 139
fixed to take place very 46
flank of army group north 348
flank of army group south 318
flaps of skin taken from 58
flash of blue light from 40
flash of even white teeth 164
flash of very white teeth 97
flash of what might have 62
fleet of five ships from 52
fleet of five ships left 47
fleet of four ships left 46
fleet of full thirty sail 68
fleet of some forty sail 75
fleet of these danes came 44
fleet to sail round from 77
flesh of kids whose milk 44
flesh of other human beings 137
flesh of their right arms 84
flesh of those which were 98
flick of salt water gets 49
flies do rise again from 103
flock of these birds were 51
flock of these birds will 62
flock of wild crows came 81
flock of wild ducks flew 90
flock of wild ducks were 65
flock of wild geese came 69
flock of wild geese flew 377
flock of wild geese flying 320
flock of wild geese rose 51
flock of wild geese taking 43
flock of wild geese went 73
flock of wild geese were 184
flock of wild swans flew 56
flood of cheap goods from 65
flood of cheap grain from 54
flood of soft light upon 46
flood of tears burst forth 82
flood of tears burst from 263
flood of tears would have 79
floor of their hotel room 72
floor of their house into 49
floor on your right side 163
flour to keep dough from 118
flowing in from every side 50
flowing in their veins will 56
flowing of many people into 111
flows in from heaven into 56
flush of anger faded from 73
flush of anger spread over 114
flush of anger swept over 41
flute of bone taken from 48
focus of their social life 112
focus on areas where there 158
focus on five major areas 175
focus on four broad areas 46
focus on four major areas 319
focus on those which have 96
focus on three broad areas 264
focus on three major areas 679
focus on what might have 224
focus on what others have 144
focus on what people have 113
focus on what people think 133
focus on what people want 46
focus on what seems most 99
focus on your inner self 117
folding my arms tight upon 45
folds of skin which form 41
folds of their large post 86
folks at home would have 49
folks at home would know 43
folks at home would like 49
folks in these parts have 64
folks of great house were 80
foods in their daily diet 81
foods in your daily diet 225
foods to your daily diet 76
fools as some would make 76
force as many black folk 53
force at some point during 61
force at work which brings 44
force is just plain nuts 100
force is only about half 51
force it into healthy ones 54
force it will stream into 68
force of arms could have 59
force of arms could keep 58
force of arms ruler over 47
force of arms which lies 40
force of arms would have 151
force of arms would take 82
force of many times their 64
force of other words from 56
force of some noble truth 88
force of their whole body 44
force of these words fell 48
force of these words will 44
force of three times their 105
force of truth could have 80
force of will could have 74
force of will would have 51
force the other party into 207
force to keep order among 88
force to what would have 44
forcing of some lower part 93
forks in their hands making 62
forming so many drags upon 155
forming the heavy round arch 66
forms is their change into 122
forms of faith which have 49
forms of life arise from 91
forms of life arose from 56
forms of life change most 53
forms of life could have 134
forms of life might have 291
forms of life which come 47
forms of life which from 46
forms of life which give 73
forms of life which grow 50
forms of life which have 2247
forms of life which live 145
forms of life which make 96
forms of life which once 144
forms of life which seem 42
forms of life which were 487
forms of life which will 92
forms of life would find 41
forms of life would have 299
forms of life would seem 47
forms of male bonding must 60
forms of their social life 147
forms of these tests were 50
forms of these verbs were 52
forms of these words were 55
forms of those which have 44
forms of union which were 45
forms of wealth which have 54
forms of work which have 48
forms of work which were 97
forms of your light will 55
forms the most vital part 93
forms the true outer angle 66
forty or even fifty feet 73
forty or even fifty years 438
forty or even sixty feet 48
forty or even sixty years 50
forty or even thirty years 150
forty or more miles away 48
