far of 201 fit or 42
for the 68 for at 93
for of 49 for in 51
for to 57 for the 61
for in 80 for at 82
for in 64 for the 81
for the 67 for the 86
for of 40 for the 47
for the 82 for the 121
for to 272 for the 68
for of 90 for it 126
for of 249 for the 82
for the 67 for the 49
for of 55 for of 61
for of 46 for the 69
for the 145 for in 110
for the 56 for of 169
for in 55 for the 71
for the 1579 for the 100
for to 44 for the 459
for of 47 for the 56
for of 49 for the 46
for the 74 for of 90
for the 63 for of 63
for the 201 for to 160
for of 82 for the 581
for of 67 for in 43
